"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
1.03701991247792e-169,-7.81696438256331,0.038,0.961,3.4943422970856e-165,"Igkv8-21","B cells","Significant"
4.70824970053892e-142,-5.75487425576105,0.093,0.938,1.5864918190936e-137,"Ighg2b","B cells","Significant"
9.28558536753729e-75,-1.13319640418388,0.873,0.997,3.12887084544537e-70,"S100a8","B cells","Significant"
1.64432283247156e-66,-1.21270101165145,0.861,0.997,5.54071021629616e-62,"S100a9","B cells","Significant"
8.69762819134527e-60,-3.77175641026586,0.156,0.646,2.9307527953557e-55,"Slpi","B cells","Significant"
2.64223248605471e-56,-6.38356175976034,0.021,0.424,8.90326658500996e-52,"Ighv1-72","B cells","Significant"
1.86551569971767e-47,-1.0653742157683,0.619,0.935,6.28604170176867e-43,"Camp","B cells","Significant"
9.63208477645608e-41,-3.88555489415036,0.055,0.39,3.24562728627464e-36,"Igkv12-89","B cells","Significant"
1.56656178126884e-39,-0.796223912660507,0.639,0.904,5.27868657816348e-35,"Ngp","B cells","Significant"
8.80673660009682e-35,-0.896456461509651,0.694,0.93,2.96751796476862e-30,"Igkc","B cells","Significant"
2.25833117630125e-31,2.12731530475604,0.552,0.149,7.60967273166469e-27,"Cecr2","B cells","Significant"
2.84084515796385e-30,-3.27708363640725,0.033,0.289,9.57251184427499e-26,"Igkv4-59","B cells","Significant"
3.28733633533167e-30,2.24334620642463,0.558,0.199,1.10770085155336e-25,"Vpreb3","B cells","Significant"
1.42626699286339e-29,2.1553885362728,0.555,0.191,4.80594925915247e-25,"Pafah1b3","B cells","Significant"
1.06684985237292e-28,0.544928131509493,0.832,0.329,3.59485726255578e-24,"Xist","B cells","Significant"
2.32366065632931e-27,2.72810025854107,0.469,0.126,7.82980694756723e-23,"Ifi27l2a","B cells","Significant"
2.84497261733007e-27,-0.672178839544231,0.304,0.011,9.58641973135541e-23,"Igkv15-103","B cells","Significant"
3.17003460607495e-27,1.88457149498164,0.574,0.222,1.06817486086301e-22,"Cnp","B cells","Significant"
1.85612628704783e-26,1.13125899047466,0.729,0.357,6.25440313683636e-22,"Zeb2","B cells","Significant"
2.10846605520186e-26,1.60804394081182,0.565,0.205,7.10468721960818e-22,"Cd72","B cells","Significant"
4.75795676367122e-26,1.38377305159132,0.729,0.438,1.60324111108666e-21,"Cd79b","B cells","Significant"
5.48463881976738e-26,-2.46468308978816,0.012,0.213,1.84810389670882e-21,"Igkv5-39","B cells","Significant"
7.90308560540792e-26,-0.907652886689836,0.237,0.567,2.66302372559825e-21,"Lcn2","B cells","Significant"
1.01052394795862e-25,1.36182953843813,0.789,0.567,3.40506149504137e-21,"Tmsb10","B cells","Significant"
4.27130890231121e-25,-1.5464754412993,0.371,0.66,1.43926024772278e-20,"Elane","B cells","Significant"
7.78433880597095e-25,3.2696487770131,0.313,0.031,2.62301080405997e-20,"Igkv1-110","B cells","Significant"
1.8258131891495e-24,5.70340151921759,0.28,0.014,6.15226012215816e-20,"Ighv6-3","B cells","Significant"
2.29052465827716e-24,1.36337732322578,0.718,0.438,7.71815188853072e-20,"Ucp2","B cells","Significant"
5.82771553732806e-24,1.19305976546405,0.749,0.444,1.96370702745806e-19,"Cd79a","B cells","Significant"
7.17464188792338e-24,-1.48494453171266,0.292,0.596,2.41756733055466e-19,"Mpo","B cells","Significant"
9.93117037862738e-24,1.38675283738292,0.617,0.281,3.34640717078228e-19,"Ptprcap","B cells","Significant"
1.00780378841872e-23,-8.57854831067523,0,0.163,3.39589564545573e-19,"Uty","B cells","Significant"
1.21451017000548e-23,-1.05070037964337,0.912,0.907,4.09241346885047e-19,"Arhgap15","B cells","Significant"
1.29130775948619e-23,2.05850451756869,0.44,0.124,4.35119062636468e-19,"Akap12","B cells","Significant"
1.87550791278177e-23,1.11378106069251,0.861,0.742,6.31971146290947e-19,"H3f3a","B cells","Significant"
2.55968031094761e-23,-8.68892347785636,0,0.16,8.62509877576908e-19,"Eif2s3y","B cells","Significant"
3.45453774900673e-23,2.00637965357695,0.509,0.205,1.16404103990531e-18,"Chchd10","B cells","Significant"
3.71090694789501e-23,2.27348781100947,0.393,0.093,1.2504272051627e-18,"Il7r","B cells","Significant"
4.11004306311294e-23,1.59550161559927,0.538,0.208,1.38492011054654e-18,"Cxcr4","B cells","Significant"
4.40162149070406e-23,0.895724349706067,0.838,0.677,1.48317037750764e-18,"Rps3a1","B cells","Significant"
5.77206567678123e-23,-1.10635687563445,0.113,0.382,1.9449552504482e-18,"Retnlg","B cells","Significant"
6.10789968769406e-23,1.70821101646272,0.469,0.143,2.05811787876539e-18,"Atp1b1","B cells","Significant"
7.42266738215223e-23,1.04188266390174,0.826,0.629,2.50114200109002e-18,"H2-D1","B cells","Significant"
1.87091470617448e-22,1.34378769071809,0.677,0.362,6.30423419392552e-18,"Btg1","B cells","Significant"
6.61307109827358e-22,1.05544386439876,0.893,0.831,2.22834043727427e-17,"Ptma","B cells","Significant"
8.15757208857481e-22,1.57640495892428,0.725,0.463,2.74877549096617e-17,"Dnajc7","B cells","Significant"
5.10237514426358e-21,1.41176681717595,0.603,0.292,1.71929632861106e-16,"Ifi209","B cells","Significant"
1.10729227026099e-20,-4.83588261755374,0.01,0.171,3.73113203387142e-16,"Ighg2c","B cells","Significant"
1.66136745882888e-20,-2.42752666649692,0.005,0.157,5.5981437892698e-16,"Igkv6-13","B cells","Significant"
2.18233522794289e-20,1.34438092722295,0.668,0.41,7.35359678407636e-16,"Cd24a","B cells","Significant"
3.73952910729601e-20,1.17575405771637,0.61,0.27,1.26007172799446e-15,"Siglecg","B cells","Significant"
4.05160422072556e-20,1.04207110087724,0.739,0.517,1.36522855821568e-15,"Oaz1","B cells","Significant"
4.15522062363258e-20,-8.17793539077379,0,0.138,1.40014314133923e-15,"Ddx3y","B cells","Significant"
4.94238148110571e-20,0.805999442555054,0.88,0.775,1.66538486387338e-15,"Eef1a1","B cells","Significant"
9.78350965599469e-20,2.76390604280671,0.326,0.073,3.29665141368397e-15,"Sox4","B cells","Significant"
1.02583455068725e-19,1.30991414184281,0.424,0.129,3.45665210199577e-15,"Niban3","B cells","Significant"
1.08339867227692e-19,0.741115076929042,0.845,0.601,3.65062016610432e-15,"Fth1","B cells","Significant"
1.1007746046572e-19,0.954521155692914,0.766,0.567,3.7091701078529e-15,"Cfl1","B cells","Significant"
1.6298982321238e-19,1.1414576688294,0.596,0.289,5.49210508296437e-15,"Prdx1","B cells","Significant"
3.74540356549684e-19,0.894357552988035,0.766,0.542,1.26205118542981e-14,"Ubb","B cells","Significant"
4.17828478376135e-19,1.50828565054507,0.471,0.18,1.40791484073622e-14,"Bcl7a","B cells","Significant"
4.71947793996773e-19,1.69291042511824,0.385,0.11,1.59027528665152e-14,"Tifa","B cells","Significant"
7.61320225959679e-19,0.971654747622793,0.799,0.559,2.56534463339373e-14,"Hsp90ab1","B cells","Significant"
8.47393729288148e-19,0.893916696330261,0.806,0.64,2.85537791020934e-14,"Rpl28","B cells","Significant"
9.46423175615286e-19,1.00831241790955,0.708,0.43,3.18906753255327e-14,"Hspa8","B cells","Significant"
1.09682821728134e-18,0.97626993116711,0.756,0.57,3.6958723609512e-14,"Calm1","B cells","Significant"
1.11392706268297e-18,1.49124326946102,0.553,0.281,3.75348863041653e-14,"Pgls","B cells","Significant"
1.31224263769559e-18,1.96437103440151,0.43,0.16,4.42173279197907e-14,"Arl5c","B cells","Significant"
1.49991406445016e-18,0.916763434573769,0.729,0.475,5.05411043157127e-14,"Rps25","B cells","Significant"
1.76317205717702e-18,1.40998609477074,0.524,0.236,5.9411845638637e-14,"Selenow","B cells","Significant"
1.99012518768745e-18,1.35504621550579,0.593,0.298,6.70592583243163e-14,"Jund","B cells","Significant"
2.61578039824534e-18,1.01275625069277,0.572,0.278,8.81413362992749e-14,"Slc1a5","B cells","Significant"
3.27835094065569e-18,1.23457639382338,0.562,0.261,1.10467313296334e-13,"Spib","B cells","Significant"
3.83333847228472e-18,1.03932495160512,0.603,0.303,1.29168173162106e-13,"Ppp1ca","B cells","Significant"
6.29394716620614e-18,1.24439139538799,0.589,0.301,2.12080843712482e-13,"Fcrla","B cells","Significant"
7.23886156275352e-18,0.992988882794904,0.579,0.27,2.43920679218543e-13,"Cox7a2l","B cells","Significant"
8.04737865254132e-18,1.65009140353233,0.43,0.16,2.71164471076032e-13,"Psmd8","B cells","Significant"
1.21614229780792e-17,0.733805777324434,0.826,0.638,4.09791308669358e-13,"Rpl19","B cells","Significant"
1.26446709193961e-17,-2.5807553859306,0.16,0.374,4.26074831299972e-13,"Gsr","B cells","Significant"
1.31572732339993e-17,1.07673307235158,0.558,0.25,4.43347478892839e-13,"H2-Q4","B cells","Significant"
1.4491107264489e-17,0.883965984792614,0.766,0.565,4.8829235038422e-13,"Rack1","B cells","Significant"
1.46187820096033e-17,1.26011868849263,0.435,0.152,4.92594478595593e-13,"Marcks","B cells","Significant"
1.69238574000954e-17,0.925989678113652,0.729,0.559,5.70266298953614e-13,"Rpl29","B cells","Significant"
1.90597065150287e-17,0.79327081760698,0.768,0.508,6.42235870730406e-13,"Rpl7a","B cells","Significant"
2.05730037174391e-17,1.39289236542318,0.476,0.199,6.93227933262829e-13,"Serinc5","B cells","Significant"
2.2851049935285e-17,1.73192518191842,0.407,0.143,7.69988978619362e-13,"Ndufs8","B cells","Significant"
2.29251909065033e-17,1.45055412303486,0.524,0.247,7.72487232785537e-13,"Septin1","B cells","Significant"
2.3156949669824e-17,-0.876514298961939,0.354,0.607,7.8029657607439e-13,"Lyz2","B cells","Significant"
2.38401347830837e-17,0.831186249698532,0.672,0.376,8.0331718165079e-13,"Irag2","B cells","Significant"
2.67286340461727e-17,0.710846305682448,0.802,0.618,9.00648052819836e-13,"Rpl11","B cells","Significant"
4.60000199471713e-17,0.822032982651643,0.771,0.584,1.55001667213988e-12,"Rps11","B cells","Significant"
7.47995173477583e-17,0.658216013951447,0.909,0.837,2.52044453655006e-12,"Actb","B cells","Significant"
7.73848991858318e-17,1.16553208529472,0.466,0.18,2.60756156296579e-12,"Cpsf2","B cells","Significant"
8.20170221347631e-17,0.799610885592033,0.79,0.576,2.76364557785298e-12,"H3f3b","B cells","Significant"
9.47730924485329e-17,1.14327395569777,0.579,0.289,3.19347412314576e-12,"Ypel3","B cells","Significant"
1.00031723803231e-16,0.916055964992426,0.692,0.407,3.37066896527367e-12,"Cox8a","B cells","Significant"
1.11659416854427e-16,1.92314524690469,0.344,0.104,3.76247571032676e-12,"Elof1","B cells","Significant"
1.18752202368374e-16,-0.908006744930193,0.184,0.433,4.00147421100474e-12,"Pglyrp1","B cells","Significant"
1.19276640682794e-16,1.06919229271236,0.612,0.334,4.01914568444743e-12,"Nol7","B cells","Significant"
1.41974703840618e-16,2.6361884866615,0.277,0.056,4.78397962061346e-12,"Myl4","B cells","Significant"
1.48908862079517e-16,-7.91858951656693,0,0.112,5.01763301663141e-12,"Kdm5d","B cells","Significant"
1.49079811774656e-16,0.994537952097671,0.698,0.424,5.02339333755882e-12,"Pkig","B cells","Significant"
1.5595290332772e-16,1.96823352568612,0.323,0.084,5.25498903053084e-12,"Hes6","B cells","Significant"
1.65357881887026e-16,1.22888771495473,0.478,0.202,5.57189918806523e-12,"Ubxn1","B cells","Significant"
1.70788875182463e-16,-3.18586143211805,0.005,0.129,5.75490193814827e-12,"Igkv3-4","B cells","Significant"
1.70892380816477e-16,1.10077457541304,0.541,0.25,5.758389663992e-12,"S100a10","B cells","Significant"
1.87451186450769e-16,1.56990186953268,0.388,0.138,6.31635517864512e-12,"Mrpl43","B cells","Significant"
1.90670386054078e-16,1.00797148281321,0.789,0.517,6.4248293284782e-12,"Bach2","B cells","Significant"
2.08640647560492e-16,0.895363715963446,0.711,0.458,7.03035526019834e-12,"Rbm3","B cells","Significant"
2.17153777172271e-16,1.19245824676464,0.595,0.32,7.31721367559683e-12,"Psme1","B cells","Significant"
2.26314723460993e-16,0.858039513955957,0.854,0.657,7.62590092174163e-12,"H2-K1","B cells","Significant"
2.52818978878598e-16,1.04609992414042,0.531,0.244,8.51898831229326e-12,"Nedd8","B cells","Significant"
2.68827757313223e-16,-1.29142760649577,0.242,0.486,9.05842011042636e-12,"Ltf","B cells","Significant"
2.73408702021788e-16,0.9461865905812,0.641,0.374,9.21277962332616e-12,"Eif3f","B cells","Significant"
2.83187897461367e-16,1.22690738285317,0.54,0.284,9.54229939285822e-12,"Dynll1","B cells","Significant"
3.30742506935255e-16,0.69927216768575,0.825,0.705,1.11446995136904e-11,"Rps7","B cells","Significant"
3.31371442311351e-16,2.03258589615209,0.299,0.07,1.11658921201233e-11,"Agbl1","B cells","Significant"
3.69739862851168e-16,1.01012679932942,0.576,0.298,1.2458754418633e-11,"Pfdn5","B cells","Significant"
3.90436874902322e-16,1.4462745711435,0.46,0.205,1.31561609367086e-11,"Lgals9","B cells","Significant"
4.40167017000071e-16,1.25005977586615,0.402,0.138,1.48318678048344e-11,"Blvrb","B cells","Significant"
4.89743399153146e-16,1.08804443469078,0.596,0.346,1.65023935778644e-11,"Cox6a1","B cells","Significant"
5.09204809284647e-16,0.92102019517261,0.789,0.626,1.71581652536555e-11,"Actg1","B cells","Significant"
5.21179989519534e-16,2.04909998234558,0.296,0.07,1.75616809268502e-11,"Gm32196","B cells","Significant"
6.31534216487461e-16,1.37577764441691,0.46,0.185,2.12801769587615e-11,"Ppm1e","B cells","Significant"
6.68371318747893e-16,0.955816147430422,0.627,0.362,2.2521439956529e-11,"Uqcrh","B cells","Significant"
6.82362892797753e-16,0.927179411988664,0.716,0.511,2.29929000357131e-11,"Naca","B cells","Significant"
7.10351126212605e-16,1.0623064436911,0.607,0.348,2.39359915488599e-11,"Zfp706","B cells","Significant"
7.37681906391865e-16,0.741435625823222,0.797,0.612,2.48569295177803e-11,"Rps14","B cells","Significant"
7.42235055022473e-16,0.874273360774412,0.778,0.576,2.50103524140372e-11,"Ly6e","B cells","Significant"
7.67129489414877e-16,0.725473864176235,0.792,0.584,2.58491952753237e-11,"Rpl26","B cells","Significant"
7.97645114351638e-16,1.71167601889417,0.388,0.143,2.68774497731928e-11,"Xrcc6","B cells","Significant"
8.29946561156897e-16,0.676970610089314,0.792,0.579,2.79658793247428e-11,"Rps23","B cells","Significant"
9.58097418215297e-16,1.13274366532005,0.405,0.143,3.22840506041827e-11,"Cib1","B cells","Significant"
9.64549360842065e-16,0.767503268595041,0.799,0.666,3.25014552629342e-11,"Rps26","B cells","Significant"
1.00338817364987e-15,0.700020555987754,0.809,0.643,3.38101678993059e-11,"Rpl9","B cells","Significant"
1.16648327740553e-15,0.776026877018699,0.796,0.652,3.93058205154567e-11,"Rpl32","B cells","Significant"
1.24459887376416e-15,1.37021578324457,0.643,0.419,4.19380036503571e-11,"Ly6d","B cells","Significant"
1.37310845845699e-15,2.91336412003089,0.271,0.062,4.62682626161669e-11,"Gfra1","B cells","Significant"
1.4067955669781e-15,0.726956466928051,0.794,0.621,4.7403383424894e-11,"Rps28","B cells","Significant"
1.5908021897982e-15,-1.85620276656972,0.162,0.374,5.360367058744e-11,"Igf1r","B cells","Significant"
1.611309736437e-15,0.700348224913967,0.796,0.652,5.42946928789811e-11,"Rpl6","B cells","Significant"
1.71084986457912e-15,-1.56528278159495,0.194,0.416,5.76487970368582e-11,"Alcam","B cells","Significant"
1.71736368532944e-15,0.786661133810364,0.77,0.528,5.78682867408609e-11,"Eef2","B cells","Significant"
1.8196960009684e-15,0.941816333299386,0.586,0.295,6.13164764486312e-11,"Gabarap","B cells","Significant"
2.13142099529179e-15,0.872977253857773,0.677,0.43,7.18203618573523e-11,"Cox4i1","B cells","Significant"
