"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
8.61557567425841e-36,-8.87063299116738,0.028,0.974,2.90310437919811e-31,"Igkv8-21","DC","Significant"
2.42325440028781e-20,-3.32986121422449,0.121,0.868,8.16539802720982e-16,"Ighg2b","DC","Significant"
1.12176980296017e-15,-6.72195744890997,0.007,0.447,3.77991552805459e-11,"Ighv1-72","DC","Significant"
4.85791507553322e-12,-1.96998099929771,0.858,1,1.63692306385167e-07,"S100a8","DC","Significant"
1.24460166943881e-11,-5.14183474726554,0.014,0.368,4.193809785341e-07,"Igkv12-89","DC","Significant"
5.1163712256587e-11,-7.54717760678373,0,0.289,1.72401244819795e-06,"Igkv4-59","DC","Significant"
4.27437187608683e-10,-6.8784719965034,0,0.263,1.44029234736622e-05,"Igkv5-39","DC","Significant"
5.16488697530032e-09,-2.49068338763262,0.404,0.816,0.000174036031519719,"Igkc","DC","Significant"
1.26124376875368e-08,-1.42511116659996,0.83,1,0.000424988700319242,"S100a9","DC","Significant"
2.8260292115439e-08,-6.2557215945308,0,0.211,0.000952258803121832,"Eif2s3y","DC","Significant"
2.8260292115439e-08,-7.059997608004,0,0.211,0.000952258803121832,"Uty","DC","Significant"
2.2431372479291e-07,-6.55611152021082,0,0.184,0.00755847527062191,"Primpol","DC","Significant"
5.87477951587756e-07,-1.70364876093783,0.298,0.711,0.019795657056701,"Elane","DC","Significant"
1.0886860668826e-06,2.61312325560854,0.723,0.395,0.0366843657096762,"Ly6a","DC","Significant"
1.20255195288979e-06,1.41465211116637,0.879,0.605,0.0405211906045743,"Stat1","DC","Significant"
1.43717414174398e-06,1.79858839405423,0.794,0.421,0.0484270198802052,"Irf7","DC","Significant"
1.86518803491737e-06,0.932085734637905,0.972,0.421,0.0628493760245756,"Xist","DC","Not Significant"
3.65825019417279e-06,1.10926308794058,0.929,0.816,0.123268398542846,"Mndal","DC","Not Significant"
1.36282774411285e-05,-6.18030511489687,0,0.132,0.459218436656265,"Ighg2c","DC","Not Significant"
1.36282774411285e-05,-5.40968845588501,0,0.132,0.459218436656265,"Ddx3y","DC","Not Significant"
1.39653310216244e-05,-1.85698938077334,0.298,0.632,0.470575794104655,"Slpi","DC","Not Significant"
1.55839686959211e-05,-1.33793214945596,0.617,0.842,0.525117409177757,"Ngp","DC","Not Significant"
2.36354824460324e-05,-3.80380271448457,0.007,0.158,0.796421216501508,"Noct","DC","Not Significant"
2.78600412625701e-05,0.828977745442004,0.901,0.737,0.938771950383563,"Rsrp1","DC","Not Significant"
3.17008683702625e-05,1.14578756144473,0.837,0.553,1,"H2-Q7","DC","Not Significant"
3.36393912319489e-05,1.33951010580235,0.759,0.474,1,"H2-Q4","DC","Not Significant"
3.9359425400598e-05,-1.91789427558009,0.184,0.5,1,"Lcn2","DC","Not Significant"
4.13972384126961e-05,-5.56683911413084,0.128,0.395,1,"Igkv14-126","DC","Not Significant"
6.02092035695455e-05,5.7626942852049,0.326,0,1,"Igkv1-110","DC","Not Significant"
7.09267249256663e-05,1.65733987985417,0.738,0.5,1,"Ifi27l2a","DC","Not Significant"
7.22224267316927e-05,-1.20024840099435,0.149,0.447,1,"Ltf","DC","Not Significant"
7.54278508591107e-05,-2.52397591491269,0.078,0.316,1,"Ifitm2","DC","Not Significant"
7.66851823940083e-05,4.10088938760539,0.411,0.079,1,"Iigp1","DC","Not Significant"
8.45055173557397e-05,-1.64522984132452,0.511,0.816,1,"Camp","DC","Not Significant"
8.71527052315314e-05,0.901835295034871,0.872,0.658,1,"Rnase6","DC","Not Significant"
9.07123483718465e-05,2.84518454635309,0.397,0.053,1,"Gm21188","DC","Not Significant"
0.000105219981251428,-6.07181755299511,0,0.105,1,"Igkv3-4","DC","Not Significant"
0.000105219981251428,-5.00540185015315,0,0.105,1,"Ighv1-53","DC","Not Significant"
0.000105219981251428,-4.84658644391798,0,0.105,1,"Itgb2l","DC","Not Significant"
0.000111165063061038,-1.53047062525549,0.128,0.395,1,"Pde4b","DC","Not Significant"
0.000111980046970246,1.36996149484062,0.809,0.553,1,"Ly6c2","DC","Not Significant"
0.000121126060708324,5.14485492875667,0.305,0,1,"Igkv15-103","DC","Not Significant"
0.000127792953445242,1.49789822133497,0.596,0.237,1,"BC147527","DC","Not Significant"
0.000128531927173032,2.79943901708875,0.411,0.079,1,"Ifi44","DC","Not Significant"
0.000134860890185467,3.51841067657318,0.383,0.053,1,"Isg15","DC","Not Significant"
0.00016148064726173,-4.46856599909213,0.007,0.132,1,"Atf3","DC","Not Significant"
0.000168262945212879,2.55535408176433,0.411,0.079,1,"Lgals3bp","DC","Not Significant"
0.000179684225895539,-1.86233630817052,0.241,0.5,1,"Otulinl","DC","Not Significant"
0.000183343453480315,0.911429469570122,0.936,0.763,1,"Sp100","DC","Not Significant"
0.000184442717088471,1.03889161949721,0.787,0.474,1,"Dhx9","DC","Not Significant"
