"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
1.00369109180486e-09,-7.55566980326869,0.029,1,3.38203750294567e-05,"Slpi","Fibroblasts","Significant"
3.67690311215574e-09,-6.91293226595661,0.059,1,0.0001238969272672,"Ighg2b","Fibroblasts","Significant"
1.14304501712542e-07,-7.29433428123411,0.059,0.889,0.0038516044897058,"Igkv8-21","Fibroblasts","Significant"
4.16879664674104e-07,-4.02704684087979,0.088,0.889,0.0140471771808586,"Cd74","Fibroblasts","Significant"
5.86494234675519e-06,-7.88732608229367,0,0.556,0.197625097316263,"Igkv12-89","Fibroblasts","Not Significant"
2.92396566662647e-05,-3.85622237659721,0.294,0.889,0.985259471026454,"Igkc","Fibroblasts","Not Significant"
5.22725121073064e-05,-2.06308828896191,1,1,1,"S100a8","Fibroblasts","Not Significant"
7.35022470786232e-05,-2.38371452545985,0.588,1,1,"Camp","Fibroblasts","Not Significant"
0.000116228991746288,-3.44702156628197,0.206,0.778,1,"Elane","Fibroblasts","Not Significant"
0.000201624574536556,-2.20854271261829,0.941,1,1,"S100a9","Fibroblasts","Not Significant"
0.000328620973188258,3.83221148071999,0.853,0.222,1,"Pde4d","Fibroblasts","Not Significant"
0.000599334884139243,-6.1374683252008,0.029,0.444,1,"Igkv4-59","Fibroblasts","Not Significant"
0.000642112041354747,-6.59585235125088,0,0.333,1,"Orm1","Fibroblasts","Not Significant"
0.000642112041354747,-6.26324639890545,0,0.333,1,"Laptm5","Fibroblasts","Not Significant"
0.000642112041354747,-5.87981416515112,0,0.333,1,"Rex1bd","Fibroblasts","Not Significant"
0.000642112041354747,-6.09926623764387,0,0.333,1,"Slc36a1","Fibroblasts","Not Significant"
0.000642112041354747,-5.86410045810261,0,0.333,1,"6030458C11Rik","Fibroblasts","Not Significant"
0.000660545295202075,-1.30784387196868,0.5,1,1,"Gm19951","Fibroblasts","Not Significant"
0.00089981064016735,-3.97088357527035,0.088,0.556,1,"Ola1","Fibroblasts","Not Significant"
0.00089981064016735,-3.31362820129555,0.088,0.556,1,"Agk","Fibroblasts","Not Significant"
0.0010340542354228,-2.60186697028413,0.618,0.889,1,"Ngp","Fibroblasts","Not Significant"
0.00113653866178672,2.95252507788301,0.824,0.222,1,"Epas1","Fibroblasts","Not Significant"
0.0012891630214955,3.22919431951564,0.765,0.222,1,"Tcf12","Fibroblasts","Not Significant"
0.00256889874063096,4.92545417656671,0.618,0,1,"Arglu1","Fibroblasts","Not Significant"
0.00269583236334825,-1.25040294342669,0.941,1,1,"mt-Atp6","Fibroblasts","Not Significant"
0.00272036794943104,-3.53952234351183,0.059,0.444,1,"Fhdc1","Fibroblasts","Not Significant"
0.00290810087158996,-1.93164975811339,0.618,0.889,1,"Actb","Fibroblasts","Not Significant"
0.00319693719346372,-3.53317727316821,0.059,0.444,1,"Krtcap2","Fibroblasts","Not Significant"
0.00319693719346372,-3.37051657390574,0.059,0.444,1,"Bmp4","Fibroblasts","Not Significant"
0.00374844673668433,-3.25847046439244,0.059,0.444,1,"S100a10","Fibroblasts","Not Significant"
0.00383104917987575,-1.79350960343549,0.294,0.778,1,"H2az1","Fibroblasts","Not Significant"
0.00396970168722004,-2.02988730768431,0.324,0.778,1,"Anp32b","Fibroblasts","Not Significant"
0.00434258583620608,-0.686444643829539,0.882,1,1,"Cdk8","Fibroblasts","Not Significant"
0.00438511624642221,-2.68338401049892,0.059,0.444,1,"Zfp800","Fibroblasts","Not Significant"
0.00475257896665873,-1.41372879716247,0.882,0.889,1,"mt-Nd4","Fibroblasts","Not Significant"
0.00489739399513259,-4.84431477926347,0.029,0.333,1,"Cks1b","Fibroblasts","Not Significant"
0.00489739399513259,-4.47513054069052,0.029,0.333,1,"Calm3","Fibroblasts","Not Significant"
0.00489739399513259,-4.3591370611896,0.029,0.333,1,"Clpp","Fibroblasts","Not Significant"
0.00524576796950497,4.63067021563455,0.559,0,1,"AW554918","Fibroblasts","Not Significant"
0.00524576796950497,4.79405596076262,0.559,0,1,"Tmem164","Fibroblasts","Not Significant"
0.0057352695404283,-0.864033596586911,0.882,1,1,"mt-Cytb","Fibroblasts","Not Significant"
0.00587871991350479,-3.57292953514386,0.029,0.333,1,"Aldh9a1","Fibroblasts","Not Significant"
0.00587871991350479,-3.43422935790614,0.029,0.333,1,"Spata1","Fibroblasts","Not Significant"
0.00587871991350479,-4.7878279508468,0.029,0.333,1,"Pigk","Fibroblasts","Not Significant"
0.00587871991350479,-3.6226993185015,0.029,0.333,1,"Tinagl1","Fibroblasts","Not Significant"
0.00587871991350479,-3.89598978771791,0.029,0.333,1,"Cep85","Fibroblasts","Not Significant"
0.00587871991350479,-3.36532353682487,0.029,0.333,1,"Atp6v1e1","Fibroblasts","Not Significant"
0.00587871991350479,-4.10237876224873,0.029,0.333,1,"Nosip","Fibroblasts","Not Significant"
0.00587871991350479,-4.3711557638794,0.029,0.333,1,"Got2","Fibroblasts","Not Significant"
0.00587871991350479,-3.95102796729903,0.029,0.333,1,"Tvp23b","Fibroblasts","Not Significant"
0.00587871991350479,-4.12557508442174,0.029,0.333,1,"Serpinf1","Fibroblasts","Not Significant"
0.00587871991350479,-3.95934706810627,0.029,0.333,1,"Prkcd","Fibroblasts","Not Significant"
0.00587871991350479,-4.66716194308654,0.029,0.333,1,"Ifnar1","Fibroblasts","Not Significant"
0.00587871991350479,-3.64998410841585,0.029,0.333,1,"Ppp1r11","Fibroblasts","Not Significant"
0.00613706791119826,-3.97457256984545,0,0.222,1,"Gm57109","Fibroblasts","Not Significant"
0.00613706791119826,-5.85115412795668,0,0.222,1,"Carf","Fibroblasts","Not Significant"
0.00613706791119826,-5.60206367384598,0,0.222,1,"Mrpl44","Fibroblasts","Not Significant"
0.00613706791119826,-5.15528621337154,0,0.222,1,"6530402F18Rik","Fibroblasts","Not Significant"
0.00613706791119826,-5.15528621337154,0,0.222,1,"Dolpp1","Fibroblasts","Not Significant"
0.00613706791119826,-5.80783307925597,0,0.222,1,"Gm13481","Fibroblasts","Not Significant"
0.00613706791119826,-3.97457256984545,0,0.222,1,"Bmp2","Fibroblasts","Not Significant"
0.00613706791119826,-5.17402578898885,0,0.222,1,"2900093K20Rik","Fibroblasts","Not Significant"
0.00613706791119826,-5.74317624818736,0,0.222,1,"Atp8b2","Fibroblasts","Not Significant"
0.00613706791119826,-3.97457256984545,0,0.222,1,"Dclre1b","Fibroblasts","Not Significant"
0.00613706791119826,-5.65014162337562,0,0.222,1,"Mycbp","Fibroblasts","Not Significant"
0.00613706791119826,-4.94260760302822,0,0.222,1,"Ddost","Fibroblasts","Not Significant"
0.00613706791119826,-5.60206367384598,0,0.222,1,"Exosc10","Fibroblasts","Not Significant"
0.00613706791119826,-5.50178179090118,0,0.222,1,"Wrap73","Fibroblasts","Not Significant"
