"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
8.13851909544275e-06,-9.23005933473384,0,1,0.274235539440039,"Igkv8-21","ILC","Not Significant"
7.32483520072875e-05,-6.68597148850365,0,0.833,1,"Slpi","ILC","Not Significant"
0.000533002917317039,-3.28279998558649,0.125,1,1,"Ighg2b","ILC","Not Significant"
0.000558862612881425,-5.34145358502458,0,0.667,1,"Entpd5","ILC","Not Significant"
0.00192483420493093,-3.1154018442376,0.25,0.833,1,"Pten","ILC","Not Significant"
0.00241291101622062,-1.93911878878094,0.562,1,1,"Smg1","ILC","Not Significant"
0.00253709054981663,-2.93958765831208,0.25,0.833,1,"Rapgef2","ILC","Not Significant"
0.00306083740725858,-3.1073451004368,0.062,0.667,1,"Mon2","ILC","Not Significant"
0.00306083740725858,-3.90115039178502,0.062,0.667,1,"Pik3ap1","ILC","Not Significant"
0.00370344709640975,-4.70853224569406,0,0.5,1,"Gm37529","ILC","Not Significant"
0.00370344709640975,-5.08531806482387,0,0.5,1,"Slc25a51","ILC","Not Significant"
0.00370344709640975,-4.79998538029085,0,0.5,1,"Gnl2","ILC","Not Significant"
0.00370344709640975,-5.79453734543532,0,0.5,1,"Bmp2k","ILC","Not Significant"
0.00370344709640975,-4.10260318324987,0,0.5,1,"Igkv4-59","ILC","Not Significant"
0.00370344709640975,-4.10260318324987,0,0.5,1,"Gm30211","ILC","Not Significant"
0.00370344709640975,-5.07560590920381,0,0.5,1,"Cyfip1","ILC","Not Significant"
0.00370344709640975,-4.63625895181138,0,0.5,1,"Ddhd2","ILC","Not Significant"
0.00370344709640975,-4.92983276856325,0,0.5,1,"Amd1","ILC","Not Significant"
0.00370344709640975,-4.63625895181138,0,0.5,1,"Ormdl2","ILC","Not Significant"
0.00370344709640975,-4.29253380345424,0,0.5,1,"Rnf157","ILC","Not Significant"
0.00376244042942776,-3.0789664187787,0.125,0.833,1,"Msl2","ILC","Not Significant"
0.00498084565850481,-2.36810033270389,0.125,0.833,1,"Slco3a1","ILC","Not Significant"
0.00599146358543217,4.11561692469869,0.75,0,1,"Zfp652","ILC","Not Significant"
0.00884898645407435,-1.8687391054431,0.875,1,1,"S100a8","ILC","Not Significant"
0.00917839870642506,-3.00726832784942,0.25,0.833,1,"Ugp2","ILC","Not Significant"
0.00979516018615685,-3.75629909561277,0.125,0.667,1,"Snrnp40","ILC","Not Significant"
0.0104604951997651,4.32951386445743,0.688,0,1,"Chd9","ILC","Not Significant"
