"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
2.99770382063525e-49,-8.72740872784518,0.026,0.887,1.01010627940125e-44,"Igkv8-21","Macrophages","Significant"
6.98968305054052e-46,-5.42723659375544,0.079,0.928,2.35524360071013e-41,"Ighg2b","Macrophages","Significant"
4.84270672049218e-35,-3.9769716998842,0.286,0.948,1.63179845653704e-30,"Igkc","Macrophages","Significant"
1.81345559920829e-20,-4.21986212317491,0.106,0.598,6.11061998709226e-16,"Slpi","Macrophages","Significant"
1.49525582514682e-19,-2.17567400385176,0.889,0.99,5.03841402841471e-15,"S100a8","Macrophages","Significant"
1.7333425677542e-18,-9.85091818128009,0,0.361,5.84067111630456e-14,"Ighv1-72","Macrophages","Significant"
1.91702620326597e-18,-5.93045362096049,0.016,0.402,6.45961149452502e-14,"Igkv12-89","Macrophages","Significant"
2.3834775403739e-18,-2.21375224371036,0.868,0.99,8.0313659200439e-14,"S100a9","Macrophages","Significant"
1.31668872609472e-15,-3.9389678458601,0.053,0.433,4.43671433144876e-11,"Gm30211","Macrophages","Significant"
2.91194016753961e-13,-4.96048998109263,0.005,0.278,9.81207358854145e-09,"Igkv5-39","Macrophages","Significant"
4.33671045226271e-12,-1.79176722823624,0.587,0.907,1.46129795399444e-07,"Ngp","Macrophages","Significant"
6.68440249834371e-12,-2.02247457018869,0.566,0.856,2.2523762658419e-07,"Camp","Macrophages","Significant"
1.99648600320272e-10,8.30574159171935,0.333,0,6.72735923639187e-06,"Igkv15-103","Macrophages","Significant"
6.48649720193226e-09,1.41121308980227,0.73,0.381,0.00021856900971631,"Fyb","Macrophages","Significant"
1.00795312062029e-08,2.38972208620587,0.45,0.103,0.000339639883524212,"Anxa4","Macrophages","Significant"
1.08263139391655e-08,-7.01440047030604,0.011,0.196,0.000364803474494122,"Igkv4-59","Macrophages","Significant"
2.40165327320293e-08,-1.65157758183981,0.201,0.505,0.000809261086938458,"Lcn2","Macrophages","Significant"
3.75095388848663e-08,2.14146186909567,0.508,0.175,0.00126392142226445,"Xist","Macrophages","Significant"
5.79356966368789e-08,3.0753640497993,0.397,0.093,0.00195220123387627,"Ubd","Macrophages","Significant"
7.52984158988373e-08,-1.72962335276358,0.418,0.68,0.00253725542212722,"Hmgb2","Macrophages","Significant"
1.50340498885972e-07,7.43748259454148,0.259,0.01,0.00506587345046172,"Igkv1-110","Macrophages","Significant"
1.65225101851815e-07,-1.98509035209339,0.116,0.381,0.00556742503199877,"Pglyrp1","Macrophages","Significant"
1.8411617589018e-07,1.85945367828552,0.471,0.155,0.00620397866279549,"Coro1b","Macrophages","Significant"
2.44648000200961e-07,2.18319237470556,0.487,0.196,0.00824365901477159,"Irf7","Macrophages","Significant"
3.43989484921442e-07,1.63487977142904,0.767,0.485,0.0115910696839129,"Prdx1","Macrophages","Significant"
4.94909806308058e-07,2.3182190632087,0.545,0.227,0.0166764808333563,"Fabp4","Macrophages","Significant"
5.35089793275484e-07,-1.93922356889617,0.354,0.619,0.0180303856742107,"Elane","Macrophages","Significant"
8.31309468575307e-07,-8.1195455690666,0,0.124,0.0280118038531136,"Igkv8-30","Macrophages","Significant"
9.68896719970698e-07,1.93593095805127,0.423,0.144,0.0326479438761327,"Gm57204","Macrophages","Significant"
1.20953631057045e-06,1.97489635848655,0.333,0.072,0.0407565355209818,"C3","Macrophages","Significant"
1.40601582708079e-06,1.97380952952346,0.556,0.32,0.0473771093093142,"Aif1","Macrophages","Significant"
1.7227017611362e-06,1.64842872403955,0.46,0.175,0.0580481585432453,"Cd300c2","Macrophages","Not Significant"
2.00561667172614e-06,1.70268390487091,0.571,0.309,0.0675812593704838,"Wfdc17","Macrophages","Not Significant"
2.91797745325595e-06,2.08274806606206,0.339,0.082,0.0983241682649125,"Iigp1","Macrophages","Not Significant"
3.14818865641231e-06,2.37194649652525,0.328,0.082,0.106081364966469,"Pkp4","Macrophages","Not Significant"
3.23475081045001e-06,2.21558023562732,0.402,0.144,0.108998163308924,"Ifi27l2a","Macrophages","Not Significant"
3.51135804048446e-06,-1.93665237978538,0.185,0.412,0.118318720532164,"Ltf","Macrophages","Not Significant"
4.2361489708807e-06,1.81324627452722,0.444,0.175,0.142741275722796,"Ninj1","Macrophages","Not Significant"
4.48473714087924e-06,1.04686244447603,0.656,0.34,0.151117702699067,"Hmox1","Macrophages","Not Significant"
5.24255858317915e-06,2.04330774924303,0.386,0.124,0.176653254018805,"Lilrb4a","Macrophages","Not Significant"
5.35852757130439e-06,2.40463161759018,0.312,0.072,0.180560945042673,"Ifit2","Macrophages","Not Significant"
6.00247993907368e-06,1.44497321594405,0.656,0.412,0.202259564027027,"AW112010","Macrophages","Not Significant"
6.07146268792756e-06,1.63763827634993,0.497,0.227,0.204584006732407,"Bst2","Macrophages","Not Significant"
6.11788294362934e-06,1.34436317236852,0.45,0.175,0.206148183668534,"Tmem65","Macrophages","Not Significant"
7.37642650017385e-06,2.61784617930673,0.317,0.082,0.248556067349858,"Tlr7","Macrophages","Not Significant"
7.38735801068241e-06,-6.16737310620969,0,0.103,0.248924415527954,"Primpol","Macrophages","Not Significant"
7.38735801068241e-06,-7.00471151832516,0,0.103,0.248924415527954,"Ighv1-82","Macrophages","Not Significant"
7.54425834304462e-06,1.07684977372092,0.614,0.33,0.254211329127231,"Msn","Macrophages","Not Significant"
7.63637604546042e-06,2.47557320391686,0.302,0.072,0.257315327227834,"Vapb","Macrophages","Not Significant"
7.84721401534354e-06,2.04228438574051,0.45,0.206,0.264419723461016,"Dst","Macrophages","Not Significant"
8.20207897676401e-06,1.03751023258134,0.656,0.433,0.27637725320104,"Npc2","Macrophages","Not Significant"
8.23356561004326e-06,-2.22836289714862,0.063,0.247,0.277438226796018,"Hpgd","Macrophages","Not Significant"
9.10392174187173e-06,1.08631455349225,0.566,0.289,0.30676574701411,"Bri3","Macrophages","Not Significant"
9.74363995173035e-06,4.8622113389998,0.201,0.01,0.328321691813506,"Ighv6-3","Macrophages","Not Significant"
1.57244600706478e-05,1.78992361123619,0.455,0.206,0.529851406540548,"Sbf2","Macrophages","Not Significant"
1.58129222159404e-05,-4.75183889029966,0.005,0.113,0.532832226988328,"Ighg2c","Macrophages","Not Significant"
1.70088117225583e-05,2.0348605293092,0.354,0.113,0.573128919803325,"Myof","Macrophages","Not Significant"
1.967598256271e-05,1.18978738170436,0.524,0.268,0.663001908433077,"Ms4a7","Macrophages","Not Significant"
2.19669334477393e-05,-1.82015875399738,0.354,0.546,0.740197789455023,"Mpo","Macrophages","Not Significant"
2.35538008886243e-05,1.18443250451576,0.571,0.34,0.793668874743084,"Lamp2","Macrophages","Not Significant"
2.71034674621846e-05,1.00112065250902,0.873,0.835,0.913278439605774,"Ftl1","Macrophages","Not Significant"
2.7946043911061e-05,-1.8760481873013,0.058,0.227,0.941669895627111,"Cks2","Macrophages","Not Significant"
2.81467676117976e-05,1.5750189959847,0.418,0.186,0.948433481447133,"Ly9","Macrophages","Not Significant"
2.89851276298769e-05,1.73088663179754,0.46,0.216,0.976682860616333,"Tmcc3","Macrophages","Not Significant"
2.96422316724763e-05,1.85561110709298,0.36,0.124,0.998824638435763,"Eea1","Macrophages","Not Significant"
2.97479365759126e-05,0.898799941067025,0.698,0.433,1,"Ctss","Macrophages","Not Significant"
3.11954607748338e-05,-2.949417057385,0.079,0.247,1,"Hmbs","Macrophages","Not Significant"
3.21717069168296e-05,-2.30987066540583,0.132,0.33,1,"Igkv14-126","Macrophages","Not Significant"
3.38979690227304e-05,1.59172819966384,0.333,0.103,1,"Oasl2","Macrophages","Not Significant"
3.64021248138841e-05,2.60782222481453,0.254,0.052,1,"Casp1","Macrophages","Not Significant"
3.9293327724267e-05,3.35984301650582,0.249,0.052,1,"Cxcl9","Macrophages","Not Significant"
4.02419202003105e-05,-3.34593505768614,0.048,0.196,1,"Serpinb1a","Macrophages","Not Significant"
4.11762384428952e-05,1.33168128862559,0.481,0.237,1,"Spic","Macrophages","Not Significant"
4.38001659792666e-05,1.1210094445397,0.529,0.299,1,"Dennd1a","Macrophages","Not Significant"
4.42641353506403e-05,-6.07333274667363,0.005,0.103,1,"Igkv6-13","Macrophages","Not Significant"
4.44731447172567e-05,2.99083949945023,0.243,0.052,1,"Tgm2","Macrophages","Not Significant"
4.60403934049058e-05,1.64347981008502,0.397,0.165,1,"Ptprm","Macrophages","Not Significant"
4.92634412207727e-05,1.17032091604439,0.508,0.258,1,"Ms4a6c","Macrophages","Not Significant"
5.02136524052379e-05,-2.82783373465356,0.026,0.155,1,"Ermap","Macrophages","Not Significant"
5.27220259604419e-05,-3.76034134615648,0.005,0.103,1,"Cldn13","Macrophages","Not Significant"
5.38338434622858e-05,0.766543371236823,0.556,0.268,1,"Epsti1","Macrophages","Not Significant"
5.94853206675986e-05,1.39887037203905,0.37,0.144,1,"Ms4a6d","Macrophages","Not Significant"
6.24475487260082e-05,2.60118732684916,0.175,0.01,1,"Xlr","Macrophages","Not Significant"
6.28761477162883e-05,1.59327865655008,0.429,0.206,1,"Adap2","Macrophages","Not Significant"
6.57928975855696e-05,3.62479236341182,0.206,0.031,1,"Oas2","Macrophages","Not Significant"
7.05286002580374e-05,2.76804060016673,0.19,0.021,1,"Oasl1","Macrophages","Not Significant"
7.07073480495381e-05,-2.16622151410231,0.074,0.237,1,"Fbxo9","Macrophages","Not Significant"
7.64806173780349e-05,4.77879731554347,0.201,0.031,1,"Afp","Macrophages","Not Significant"
7.85748907626426e-05,3.18308801842593,0.249,0.062,1,"Oas1a","Macrophages","Not Significant"
7.95231480797801e-05,-3.40701919899291,0.011,0.113,1,"Klf1","Macrophages","Not Significant"
7.96299266487941e-05,1.411689150081,0.37,0.134,1,"Serpina3g","Macrophages","Not Significant"
8.48541540865182e-05,1.24727148788831,0.534,0.33,1,"Rnf213","Macrophages","Not Significant"
8.52428288378677e-05,1.57031030419185,0.508,0.289,1,"Gnaq","Macrophages","Not Significant"
8.70989861873463e-05,6.64678611874937,0.164,0.01,1,"Atp6v0d2","Macrophages","Not Significant"
8.72898164579197e-05,1.16290192174593,0.429,0.196,1,"Xdh","Macrophages","Not Significant"
8.85500282607662e-05,-3.02109203371521,0.095,0.258,1,"Jchain","Macrophages","Not Significant"
8.96485460483127e-05,1.09822573606937,0.492,0.258,1,"Hprt","Macrophages","Not Significant"
9.04305255794816e-05,1.40510311593241,0.423,0.186,1,"Arid5b","Macrophages","Not Significant"
9.46225876040926e-05,0.856925629907246,0.635,0.392,1,"Stat1","Macrophages","Not Significant"
0.000102221751541277,-2.86979818314514,0.185,0.361,1,"Car2","Macrophages","Not Significant"
0.000103836182106787,-1.13916568615981,0.217,0.433,1,"Ly6c2","Macrophages","Not Significant"
0.00010517968009815,1.91634483021972,0.254,0.062,1,"A330040F15Rik","Macrophages","Not Significant"
0.000112522321212,3.60018677015763,0.212,0.041,1,"Gsn","Macrophages","Not Significant"
0.00011849090636855,1.30959709157374,0.317,0.103,1,"Hibadh","Macrophages","Not Significant"
0.000121187531706128,2.35139428790213,0.275,0.082,1,"Ifi213","Macrophages","Not Significant"
0.000126032450288759,1.61661767938168,0.217,0.041,1,"Ifit3","Macrophages","Not Significant"
0.00012648890555683,1.22225509865284,0.481,0.258,1,"Slc43a2","Macrophages","Not Significant"
0.000132027382645924,1.23779062056861,0.524,0.299,1,"Zfand3","Macrophages","Not Significant"
0.000134954630838295,5.36906153025348,0.138,0,1,"Slc41a2","Macrophages","Not Significant"
0.000134954630838295,7.07199327949997,0.138,0,1,"Ighv1-78","Macrophages","Not Significant"
0.000142807257273883,1.75484406101034,0.36,0.155,1,"Abcc5","Macrophages","Not Significant"
0.000144122748763482,0.638722385823236,0.566,0.32,1,"Pparg","Macrophages","Not Significant"
0.000147954892729746,1.46228404457631,0.36,0.144,1,"Tanc2","Macrophages","Not Significant"
0.000154100300148604,1.26746374911909,0.476,0.258,1,"Apobec1","Macrophages","Not Significant"
0.000158524047115272,1.3110169349026,0.37,0.155,1,"Gm36161","Macrophages","Not Significant"
0.000159385683655883,2.11559274567047,0.302,0.103,1,"Ifi47","Macrophages","Not Significant"
0.000162145614632532,1.26942081781615,0.455,0.237,1,"Nckap1l","Macrophages","Not Significant"
0.000166206332421938,2.50324155489764,0.254,0.072,1,"Ccser1","Macrophages","Not Significant"
0.000169383793004557,3.1744409186064,0.222,0.052,1,"Amdhd2","Macrophages","Not Significant"
0.00017435784264226,0.723030162199075,0.46,0.227,1,"Mertk","Macrophages","Not Significant"
0.000181801018602596,1.83257720989858,0.259,0.072,1,"H2-T22","Macrophages","Not Significant"
0.000183823694895921,3.49154371941842,0.206,0.041,1,"Ifi44","Macrophages","Not Significant"
0.000194150082593891,1.34890285044342,0.196,0.031,1,"Cxcl13","Macrophages","Not Significant"
0.000196278568529014,3.29248405698423,0.286,0.103,1,"Mthfs","Macrophages","Not Significant"
0.000199412949203032,1.48309336890093,0.307,0.103,1,"Xaf1","Macrophages","Not Significant"
0.000204001030926955,2.67734515552102,0.238,0.062,1,"Dlc1","Macrophages","Not Significant"
0.000207485210771153,0.87302760077542,0.757,0.598,1,"H2-D1","Macrophages","Not Significant"
0.000215521401749861,-1.70624397401008,0.058,0.196,1,"Fam117a","Macrophages","Not Significant"
0.000217319306561682,0.665119822930326,0.72,0.495,1,"Akr1a1","Macrophages","Not Significant"
0.000218272049369808,1.4065890520979,0.434,0.216,1,"Abr","Macrophages","Not Significant"
0.000227199920381539,1.5851854239604,0.381,0.165,1,"Hip1","Macrophages","Not Significant"
0.000233103386130902,-3.22632770245566,0.011,0.103,1,"Epb42","Macrophages","Not Significant"
0.000233667960396575,1.25543623826324,0.429,0.216,1,"Cflar","Macrophages","Not Significant"
0.00023715876274802,1.06995445332876,0.524,0.289,1,"Ptprj","Macrophages","Not Significant"
0.000237167434427098,1.53335988566236,0.45,0.247,1,"Ifi207","Macrophages","Not Significant"
0.000242472466827269,1.7682997340075,0.471,0.278,1,"Mt1","Macrophages","Not Significant"
0.000244296605674349,1.9502427947015,0.302,0.113,1,"Tulp4","Macrophages","Not Significant"
0.000248983540063765,1.86352403781688,0.328,0.124,1,"Prkn","Macrophages","Not Significant"
0.000249674803696412,1.23155407875567,0.497,0.278,1,"Clec4a2","Macrophages","Not Significant"
0.000251059953239538,1.21488328890117,0.444,0.227,1,"P2rx4","Macrophages","Not Significant"
0.000252752987234776,-2.61158110672831,0.053,0.186,1,"H2ac8","Macrophages","Not Significant"
0.000257949974284833,1.8679087980845,0.317,0.124,1,"Stat2","Macrophages","Not Significant"
0.000259590892170639,1.33112886977629,0.413,0.196,1,"Prr13","Macrophages","Not Significant"
0.000265260901019259,1.44270746575322,0.312,0.113,1,"Plxnb2","Macrophages","Not Significant"
0.000272675982189444,1.26897672305406,0.286,0.093,1,"Arpc1a","Macrophages","Not Significant"
0.000274420671120296,1.20234678722301,0.534,0.34,1,"Arpc5","Macrophages","Not Significant"
0.000277929829936328,1.39120807255069,0.312,0.113,1,"Gm4951","Macrophages","Not Significant"
0.000278218529974704,-2.2120341801147,0.058,0.196,1,"Alas2","Macrophages","Not Significant"
0.000278644292872943,0.735242145413647,0.704,0.505,1,"Sat1","Macrophages","Not Significant"
0.000279539487999804,1.2906520320008,0.302,0.103,1,"Aig1","Macrophages","Not Significant"
0.000281066421700838,1.57100874788503,0.407,0.196,1,"Snx24","Macrophages","Not Significant"
0.000283755758619124,3.43278024445946,0.148,0.01,1,"Csprs","Macrophages","Not Significant"
0.000287806461663133,1.18424279480936,0.545,0.32,1,"Lrmda","Macrophages","Not Significant"
0.000326763410300088,0.994459086552678,0.466,0.237,1,"Gna12","Macrophages","Not Significant"
0.000328004877556751,1.38281739742516,0.206,0.041,1,"Ifi206","Macrophages","Not Significant"
0.000338139463874556,1.73881496900818,0.36,0.165,1,"Casp8","Macrophages","Not Significant"
0.000341374446379754,1.05954800658728,0.476,0.258,1,"Tpd52","Macrophages","Not Significant"
0.000364708639119954,1.89400122586882,0.296,0.113,1,"Svil","Macrophages","Not Significant"
0.000372620948433819,2.32648866959851,0.28,0.103,1,"Arhgap10","Macrophages","Not Significant"
0.000373801506786331,0.516925826281707,0.529,0.278,1,"Igf1","Macrophages","Not Significant"
0.000375124758751504,1.324203792648,0.423,0.227,1,"Gsap","Macrophages","Not Significant"
0.000382434913308707,2.66928497405936,0.228,0.062,1,"Iqsec2","Macrophages","Not Significant"
0.000382581981527944,0.96995076945609,0.571,0.361,1,"Ctsc","Macrophages","Not Significant"
0.000384429029055983,1.21399716808443,0.407,0.206,1,"Snx9","Macrophages","Not Significant"
0.000407346590011848,1.21834596036737,0.397,0.196,1,"Epb41l3","Macrophages","Not Significant"
0.000411580516280972,-1.217785788763,0.19,0.361,1,"Mki67","Macrophages","Not Significant"
0.000414952485852505,-2.24645564848848,0.026,0.134,1,"Rgcc","Macrophages","Not Significant"
0.000416269614832635,0.731740485986292,0.556,0.32,1,"Snx10","Macrophages","Not Significant"
0.000431624722678585,0.941555107563524,0.455,0.227,1,"Ptms","Macrophages","Not Significant"
0.000432194502451754,1.69475186736744,0.312,0.124,1,"Trim25","Macrophages","Not Significant"
0.000433354384605664,1.62246652398975,0.349,0.155,1,"Dip2c","Macrophages","Not Significant"
0.000435779416856347,2.50379904916839,0.228,0.062,1,"Gm56730","Macrophages","Not Significant"
0.000444161290282945,0.797887388168484,0.444,0.216,1,"Litaf","Macrophages","Not Significant"
0.000447605169872482,1.34121770812007,0.328,0.124,1,"Gstm1","Macrophages","Not Significant"
0.000449726099415477,2.51091009103169,0.18,0.031,1,"Marcksl1","Macrophages","Not Significant"
0.000455052318649513,1.92935708844595,0.228,0.062,1,"Sh2d1b1","Macrophages","Not Significant"
0.000457181327920052,0.862413997852027,0.503,0.268,1,"Sash1","Macrophages","Not Significant"
0.000464116626989177,-2.42664666263096,0.037,0.155,1,"Rhag","Macrophages","Not Significant"
0.000479359837365114,-0.674163227465514,0.757,0.835,1,"Rps3a1","Macrophages","Not Significant"
0.000488373591506562,1.22888078083623,0.381,0.175,1,"Nr1h3","Macrophages","Not Significant"
0.000488419920229359,1.54319664198745,0.46,0.278,1,"Diaph2","Macrophages","Not Significant"
0.000492653336158588,2.12629402029994,0.254,0.082,1,"Slc15a3","Macrophages","Not Significant"
0.000500286183282852,1.63641518353514,0.339,0.155,1,"Ifi204","Macrophages","Not Significant"
0.000508255633715646,3.01019578942379,0.233,0.072,1,"Lrp12","Macrophages","Not Significant"
0.000521982687996164,0.750566418041291,0.513,0.278,1,"Frmd4b","Macrophages","Not Significant"
0.000531778500906789,1.10373266178542,0.434,0.247,1,"Atp6v1e1","Macrophages","Not Significant"
0.000540335330213924,2.1687499633685,0.265,0.093,1,"Ehmt2","Macrophages","Not Significant"
0.000543274795064249,1.52533589951321,0.243,0.072,1,"Pea15a","Macrophages","Not Significant"
0.000547411524274985,3.40491583549175,0.138,0.01,1,"Sparc","Macrophages","Not Significant"
0.000548316468435942,1.12168549884986,0.487,0.278,1,"Acer3","Macrophages","Not Significant"
0.000555800783262958,1.32264752027113,0.386,0.196,1,"Dram2","Macrophages","Not Significant"
0.000555897030623609,0.728241348246887,0.566,0.34,1,"Pomp","Macrophages","Not Significant"
0.000558716459911698,2.19872816461995,0.307,0.134,1,"Ly6a","Macrophages","Not Significant"
0.000567079059496027,1.22155797484208,0.307,0.124,1,"Irf1","Macrophages","Not Significant"
0.000568483159096922,5.09246429430785,0.169,0.031,1,"Gpnmb","Macrophages","Not Significant"
0.000569284242035977,0.728735279731785,0.513,0.278,1,"Pik3ap1","Macrophages","Not Significant"
0.000574317310655045,1.13769996390677,0.46,0.247,1,"Srgap2","Macrophages","Not Significant"
0.00058138076993026,2.65169109748245,0.233,0.072,1,"Spg21","Macrophages","Not Significant"
0.000593132730520503,1.04111722032026,0.418,0.206,1,"Tomm7","Macrophages","Not Significant"
0.000596643811763557,1.49137150616552,0.27,0.093,1,"Dnm1l","Macrophages","Not Significant"
0.000597351232662637,1.092668704565,0.323,0.134,1,"Nceh1","Macrophages","Not Significant"
0.00059868007182407,-2.14650908127268,0.058,0.186,1,"Rbm38","Macrophages","Not Significant"
0.000604766251914347,0.835023873642227,0.413,0.206,1,"Gng12","Macrophages","Not Significant"
0.000610274419507449,1.67217536339798,0.312,0.124,1,"Rnf115","Macrophages","Not Significant"
0.000613821161227641,3.9965711309902,0.153,0.021,1,"Tgfbr3","Macrophages","Not Significant"
0.000627036685270869,1.61869300500863,0.228,0.062,1,"Apoc1","Macrophages","Not Significant"
0.00062875071692399,1.29735155440831,0.434,0.247,1,"Ano6","Macrophages","Not Significant"
0.000670513916196212,0.863098734336688,0.439,0.227,1,"Cd81","Macrophages","Not Significant"
0.000671508904596904,0.362902185494742,0.868,0.619,1,"Psap","Macrophages","Not Significant"
0.000674782807872991,7.21887846176506,0.111,0,1,"Igkv14-111","Macrophages","Not Significant"
