"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
1.39441681928703e-147,-7.94587738085442,0.044,0.956,4.69862691426958e-143,"Igkv8-21","Monocytes","Significant"
6.68720741449096e-94,-2.8631926442891,0.134,0.889,2.25332141038687e-89,"Ighg2b","Monocytes","Significant"
2.73779940373353e-73,-2.78609175879678,0.294,0.872,9.22528887082052e-69,"Igkc","Monocytes","Significant"
8.72130705955492e-66,-2.1023134537403,0.649,0.886,2.93873162678762e-61,"Gsr","Monocytes","Significant"
3.42696492621282e-56,-1.41908662602047,0.883,0.994,1.15475010153667e-51,"S100a8","Monocytes","Significant"
8.01148658048768e-47,-1.49979284055273,0.835,0.985,2.69955051816113e-42,"S100a9","Monocytes","Significant"
2.28454117678336e-40,-6.11463752084518,0.008,0.344,7.69798994928923e-36,"Igkv12-89","Monocytes","Significant"
1.06754365711718e-39,-7.29302315299071,0.006,0.332,3.59719510702205e-35,"Ighv1-72","Monocytes","Significant"
1.10724942587025e-35,-1.50297811092488,0.551,0.878,3.73098766541241e-31,"Camp","Monocytes","Significant"
6.31510873193913e-29,-5.66959250808972,0.01,0.262,2.12793903831421e-24,"Igkv4-59","Monocytes","Significant"
1.28363042781871e-28,-1.18429289142696,0.568,0.857,4.32532108957794e-24,"Ngp","Monocytes","Significant"
2.06921948958995e-26,6.38792017033252,0.286,0.003,6.97244199212228e-22,"Igkv15-103","Monocytes","Significant"
1.9915334815135e-25,6.5251601228963,0.282,0.006,6.71067121930787e-21,"Ighv6-3","Monocytes","Significant"
1.64047717142918e-23,-7.41576285832738,0,0.192,5.52775187684775e-19,"Eif2s3y","Monocytes","Significant"
2.01364296902658e-22,-2.83350214583674,0.079,0.344,6.78517134843196e-18,"Gm30211","Monocytes","Significant"
2.7544609852019e-22,1.54307900227932,0.687,0.399,9.28143173573631e-18,"Irf7","Monocytes","Significant"
2.98661808539912e-22,-6.73144724982476,0.006,0.198,1.00637083005609e-17,"Igkv5-39","Monocytes","Significant"
1.72533267013449e-20,0.577356763027025,0.944,0.875,5.81368096528518e-16,"Ly6e","Monocytes","Significant"
2.35911854716305e-20,1.19437956206139,0.848,0.741,7.94928585652062e-16,"Ifi27l2a","Monocytes","Significant"
5.71965946856623e-20,8.27980185200325,0.215,0,1.92729645452808e-15,"Igkv1-110","Monocytes","Significant"
3.8234011480396e-18,1.65509165708464,0.597,0.294,1.28833325084342e-13,"Ifi213","Monocytes","Significant"
7.22751992813888e-18,-6.79456562294326,0,0.146,2.43538511498568e-13,"Ddx3y","Monocytes","Significant"
8.72703053183411e-18,0.616807645904287,0.946,0.892,2.94066020800682e-13,"H2-D1","Monocytes","Significant"
3.63820605680374e-17,3.17676541966836,0.251,0.032,1.22592991290059e-12,"Ifi44","Monocytes","Significant"
2.57322085134194e-16,0.81985035434394,0.937,0.904,8.67072498068182e-12,"H2-K1","Monocytes","Significant"
3.93570170874514e-16,-6.2447369425833,0.002,0.137,1.32617404777876e-11,"Primpol","Monocytes","Significant"
9.69181481338276e-16,0.26157415354759,0.864,0.528,3.26575391951745e-11,"Xist","Monocytes","Significant"
4.05411787642149e-15,-6.525733536013,0,0.122,1.36607555963899e-10,"Kdm5d","Monocytes","Significant"
4.05411787642149e-15,-6.85182552312879,0,0.122,1.36607555963899e-10,"Uty","Monocytes","Significant"
1.83118125059662e-14,1.32437578495964,0.603,0.335,6.17034834201036e-10,"H2-Q7","Monocytes","Significant"
2.7808481155996e-14,0.870445639408104,0.737,0.569,9.3703458103244e-10,"Bst2","Monocytes","Significant"
3.11248941272434e-14,0.631633710080687,0.866,0.808,1.04878443251159e-09,"Napsa","Monocytes","Significant"
3.26188131087793e-14,-2.10498025947148,0.138,0.356,1.09912352651343e-09,"Ltf","Monocytes","Significant"
3.33389488161709e-14,0.538648831617959,0.962,0.948,1.12338921930969e-09,"B2m","Monocytes","Significant"
4.12431483801383e-14,1.47802018366086,0.359,0.12,1.38972912781714e-09,"Oas1g","Monocytes","Significant"
4.62216313626331e-14,1.32212711504965,0.491,0.245,1.55748409039528e-09,"Rtp4","Monocytes","Significant"
4.73303585073658e-14,-1.99398749123225,0.073,0.259,1.5948437602642e-09,"Jchain","Monocytes","Significant"
5.37244598231587e-14,-0.789539944260263,0.704,0.825,1.81029939820115e-09,"Atrnl1","Monocytes","Significant"
