"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
5.38644346256508e-19,-8.20892742774788,0.043,0.962,1.81501598914593e-14,"Igkv8-21","NK cells","Significant"
1.58480960612493e-16,-4.82701229787411,0.116,1,5.34017444879856e-12,"Ighg2b","NK cells","Significant"
4.11292207568124e-11,-3.8978380446659,0.072,0.731,1.38589022262155e-06,"Slpi","NK cells","Significant"
6.78656545400193e-11,-2.75703064861225,0.884,1,2.28680109538049e-06,"S100a8","NK cells","Significant"
2.90205506577288e-10,-1.33887754372271,0.319,0.923,9.7787647496283e-06,"Igkc","NK cells","Significant"
9.73036995431441e-09,-2.00385803620251,0.058,0.577,0.000327874545980578,"Gm30211","NK cells","Significant"
9.52995616704675e-08,-2.5357515238302,0.899,0.962,0.00321121403004807,"S100a9","NK cells","Significant"
3.30710315608445e-07,3.67964722044258,0.739,0.115,0.0111436147947422,"Pim2","NK cells","Significant"
4.52002272638292e-07,-2.85820306940668,0.319,0.769,0.0152306685788199,"Elane","NK cells","Significant"
1.79950162027721e-06,-6.35640602707272,0,0.308,0.0606360065968607,"Ddx3y","NK cells","Not Significant"
2.30446496763244e-06,-6.7962383667448,0.014,0.346,0.0776512515493428,"Ighv1-72","NK cells","Not Significant"
5.30082428412977e-06,1.37423706054095,0.928,0.346,0.178616575078037,"Xist","NK cells","Not Significant"
1.15313672464753e-05,4.77094876994528,0.507,0,0.388560950737233,"Dmac1","NK cells","Not Significant"
1.15313672464753e-05,4.92742180564079,0.507,0,0.388560950737233,"Tnfrsf9","NK cells","Not Significant"
2.12020408422737e-05,1.9596494122946,0.725,0.192,0.714423968221253,"Ttc3","NK cells","Not Significant"
3.20291642287687e-05,1.39063594626805,0.87,0.538,1,"Anxa2","NK cells","Not Significant"
4.40230336971038e-05,1.9651146256955,0.594,0.077,1,"Rnaseh2c","NK cells","Not Significant"
4.45843194608048e-05,1.50858803809499,0.797,0.346,1,"Klri2","NK cells","Not Significant"
5.02906463456734e-05,1.50448291753443,0.812,0.346,1,"Lta4h","NK cells","Not Significant"
5.15590801095807e-05,3.31493113634476,0.536,0.077,1,"Crtam","NK cells","Not Significant"
5.23729066620175e-05,2.78871247254964,0.58,0.077,1,"Elk3","NK cells","Not Significant"
5.52626082581782e-05,4.6026228375306,0.449,0,1,"Pdap1","NK cells","Not Significant"
6.01661702060032e-05,-5.74107699748663,0.014,0.269,1,"Igkv12-89","NK cells","Not Significant"
6.21382746543073e-05,1.30585272456773,0.739,0.154,1,"Cuta","NK cells","Not Significant"
