"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
0,-8.27389770156137,0.03,0.961,0,"Igkv8-21","Neutrophils","Significant"
0,-2.91378643894189,0.133,0.891,0,"Ighg2b","Neutrophils","Significant"
0,-2.86065811624904,0.64,0.969,0,"Gsr","Neutrophils","Significant"
5.56217870325013e-253,-2.79823992324948,0.297,0.856,1.87423173584717e-248,"Igkc","Neutrophils","Significant"
7.24209125564801e-178,-7.41133374652181,0.001,0.399,2.44029506950315e-173,"Ighv1-72","Neutrophils","Significant"
1.26321667182498e-129,7.76949045781579,0.328,0.006,4.25653489738144e-125,"Ighv6-3","Neutrophils","Significant"
1.09615301738037e-128,-4.77019865543782,0.02,0.342,3.6935972073649e-124,"Igkv12-89","Neutrophils","Significant"
4.60413690743779e-118,7.87538118099521,0.293,0.001,1.55140997233024e-113,"Igkv15-103","Neutrophils","Significant"
5.67854485793809e-103,-6.16502217742964,0.008,0.263,1.91344247533082e-98,"Igkv4-59","Neutrophils","Significant"
7.88440788157884e-102,-2.97774927577383,0.08,0.395,2.65673007977681e-97,"Gm30211","Neutrophils","Significant"
2.47470456162766e-94,2.54640993883947,0.572,0.253,8.33876449086055e-90,"Ifi27l2a","Neutrophils","Significant"
8.25046432993771e-89,7.69606172814732,0.23,0.003,2.78007646061581e-84,"Igkv1-110","Neutrophils","Significant"
1.78339694992326e-88,-5.77155505474584,0.008,0.234,6.0093343624614e-84,"Igkv5-39","Neutrophils","Significant"
4.69140356951631e-74,-2.07766754489358,0.191,0.473,1.58081534678421e-69,"Scrg1","Neutrophils","Significant"
7.57972341635931e-69,-8.09814177277906,0.001,0.17,2.55406360237643e-64,"Eif2s3y","Neutrophils","Significant"
7.73334857341693e-64,0.85172767596818,0.916,0.745,2.60582913529857e-59,"H2-K1","Neutrophils","Significant"
1.15906034622748e-57,-1.39959332748719,0.356,0.608,3.90556974264811e-53,"Elane","Neutrophils","Significant"
1.07196428983187e-56,9.26306121682103,0.151,0.001,3.61209087101747e-52,"Igkv14-111","Neutrophils","Significant"
2.7108335222475e-54,0.542016739468994,0.971,0.933,9.1344246365652e-50,"B2m","Neutrophils","Significant"
4.6172825280234e-49,1.37398399879458,0.492,0.246,1.55583952064277e-44,"Rtp4","Neutrophils","Significant"
3.91842092606635e-48,0.354818284468596,0.973,0.906,1.32035111524732e-43,"Rac2","Neutrophils","Significant"
