"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
4.51837397866966e-219,-7.00822697725772,0.047,0.944,1.52251129585253e-214,"Igkv8-21","Stem cells","Significant"
3.12395231443268e-155,-3.63129276926304,0.123,0.879,1.05264697187123e-150,"Ighg2b","Stem cells","Significant"
6.54117156045771e-100,-2.82386122665712,0.318,0.855,2.20411316901183e-95,"Igkc","Stem cells","Significant"
1.29633553196718e-79,-9.62264349022757,0.001,0.394,4.36813220851661e-75,"Ighv1-72","Stem cells","Significant"
9.29898508224357e-68,-5.40503831111853,0.023,0.392,3.1333860133128e-63,"Igkv12-89","Stem cells","Significant"
3.08629141275945e-54,-8.29519447057132,0.001,0.28,1.03995675444342e-49,"Uty","Stem cells","Significant"
1.18668689888108e-48,-7.96571891233198,0,0.249,3.99866017446969e-44,"Eif2s3y","Stem cells","Significant"
6.84286729326372e-43,-7.75303669854336,0,0.221,2.30577256313814e-38,"Ddx3y","Stem cells","Significant"
1.27786711262724e-42,-3.42893378724012,0.074,0.376,4.30590102270876e-38,"Gm30211","Stem cells","Significant"
3.91204189130651e-41,-5.04793181567927,0.019,0.264,1.31820163569464e-36,"Igkv4-59","Stem cells","Significant"
3.99529940170298e-41,-4.24389624882509,0.015,0.256,1.34625608639784e-36,"Igkv5-39","Stem cells","Significant"
4.48100254018508e-39,7.16795123875607,0.292,0.002,1.50991861594077e-34,"Igkv15-103","Stem cells","Significant"
2.71903852734752e-37,6.26458537279426,0.284,0.004,9.1620722217502e-33,"Ighv6-3","Stem cells","Significant"
3.45981821447197e-36,-6.03659756606499,0.004,0.199,1.16582034554847e-31,"Primpol","Stem cells","Significant"
2.35310209414845e-29,6.81482666787443,0.227,0.002,7.92901281644263e-25,"Igkv1-110","Stem cells","Significant"
1.554846210665e-22,-6.31307150374181,0.001,0.121,5.2392097914568e-18,"Kdm5d","Stem cells","Significant"
2.75467376077216e-21,0.677324949131484,0.839,0.74,9.28214870429788e-17,"H2-D1","Stem cells","Significant"
4.61914105737907e-21,-1.31943072205791,0.467,0.726,1.55646577069445e-16,"Slpi","Stem cells","Significant"
1.2781072739306e-20,-6.78667693629338,0.003,0.115,4.30671027023656e-16,"Ighv1-55","Stem cells","Significant"
2.51347848502427e-19,1.47608552603013,0.574,0.344,8.46941710313777e-15,"Bst2","Stem cells","Significant"
2.57846434702242e-19,-6.84029347666132,0.005,0.115,8.68839346372674e-15,"Ighg2c","Stem cells","Significant"
1.08064681394582e-18,1.05329744017499,0.558,0.324,3.64134750427184e-14,"Hmga1","Stem cells","Significant"
1.16646199567005e-18,0.279261054808209,0.876,0.505,3.9305103406098e-14,"Xist","Stem cells","Significant"
5.16882894857232e-18,8.8230594803931,0.138,0,1.74168860251093e-13,"Igkv14-111","Stem cells","Significant"
2.51185543840411e-17,-6.1775725305701,0.004,0.101,8.46394808524648e-13,"Ighv1-82","Stem cells","Significant"
3.80770709937399e-16,5.5424748391335,0.133,0.004,1.28304498420506e-11,"Ighv1-78","Stem cells","Significant"
6.77398723034714e-16,2.25552466336078,0.306,0.111,2.28256273713777e-11,"Ifi27l2a","Stem cells","Significant"
1.05736013204026e-15,2.29879123509539,0.284,0.095,3.56288070092287e-11,"Oasl2","Stem cells","Significant"
1.41603333382634e-15,0.300874434372471,0.681,0.851,4.77146592166123e-11,"Ngp","Stem cells","Significant"
4.52584570694171e-15,0.618160462439886,0.819,0.714,1.52502896941108e-10,"Rsrp1","Stem cells","Significant"
4.96291519387306e-15,0.626953639694234,0.813,0.744,1.67230390372747e-10,"H2-K1","Stem cells","Significant"
5.19566401479686e-15,1.19347478955343,0.589,0.376,1.75073094642595e-10,"Trim30a","Stem cells","Significant"
6.4690431676187e-15,-0.364173264905089,0.873,0.903,2.1798087857608e-10,"Luc7l2","Stem cells","Significant"
1.07285921632622e-14,0.462872274652628,0.905,0.863,3.61510641533284e-10,"B2m","Stem cells","Significant"
1.49374701337014e-14,-1.16965056115427,0.425,0.577,5.03332993625201e-10,"Agap1","Stem cells","Significant"
4.2734506103062e-14,0.950295716350698,0.56,0.384,1.43998191764878e-09,"Limd2","Stem cells","Significant"
4.92726443645568e-13,-0.473543948677866,0.219,0.408,1.66029102450811e-08,"Ltf","Stem cells","Significant"
7.27723946415045e-13,0.742723349162833,0.644,0.471,2.45213860984014e-08,"Pgam1","Stem cells","Significant"
7.39663081142261e-13,0.621023204997489,0.837,0.734,2.49236871821696e-08,"Actg1","Stem cells","Significant"
9.36097858320423e-13,1.21562119552983,0.297,0.121,3.1542753433965e-08,"H2-Q5","Stem cells","Significant"
1.01782778727598e-12,0.873750897836453,0.613,0.439,3.42967251200516e-08,"Ctsz","Stem cells","Significant"
1.24827899777336e-12,0.454077376344204,0.867,0.815,4.20620091089712e-08,"Rpsa","Stem cells","Significant"
1.75278882002942e-12,2.41483048191228,0.174,0.04,5.90619720797115e-08,"Oas1g","Stem cells","Significant"
1.89491399721266e-12,1.21508836636401,0.472,0.272,6.38510220500777e-08,"H2-T22","Stem cells","Significant"
2.2168036487808e-12,0.50014639876411,0.798,0.718,7.46974157493177e-08,"Eif5a","Stem cells","Significant"
2.96407382471139e-12,-1.09389545792535,0.649,0.726,9.98774315974751e-08,"Igf1r","Stem cells","Significant"
3.40636308707727e-12,-0.550150764825104,0.762,0.817,1.14780810582156e-07,"Pum2","Stem cells","Significant"
3.43003268119732e-12,0.457002342667682,0.923,0.913,1.15578381225625e-07,"Eef1a1","Stem cells","Significant"
3.91964629802611e-12,-1.09417944390981,0.648,0.726,1.32076401658288e-07,"Gsr","Stem cells","Significant"
4.78838066147066e-12,-2.47341426298439,0.14,0.296,1.61349274768916e-07,"Igkv14-126","Stem cells","Significant"
8.51028309753361e-12,0.773919725133518,0.608,0.471,2.86762499254492e-07,"Psmb8","Stem cells","Significant"
8.94111310335166e-12,0.377413359564347,0.851,0.787,3.01279747130538e-07,"Cfl1","Stem cells","Significant"
1.01030928541885e-11,1.52520590835989,0.214,0.068,3.40433816814737e-07,"Eno1b","Stem cells","Significant"
1.12087819212106e-11,0.686357454769329,0.401,0.201,3.77691115617111e-07,"Isg15","Stem cells","Significant"
1.20809488756659e-11,-1.20981323075897,0.753,0.773,4.0707965331444e-07,"Pde4d","Stem cells","Significant"
1.2305885498742e-11,1.18817543503543,0.335,0.163,4.14659117765612e-07,"Arl11","Stem cells","Significant"
1.26495991671855e-11,1.25870897632491,0.319,0.147,4.26240893537484e-07,"H2-M3","Stem cells","Significant"
1.36805644672966e-11,0.697539857851436,0.484,0.266,4.60980300290028e-07,"H2-Q6","Stem cells","Significant"
1.67458796423266e-11,1.22621748875201,0.201,0.062,5.64269160427837e-07,"Ptp4a1.1","Stem cells","Significant"
1.94844787411289e-11,0.604831128820351,0.691,0.563,6.56548995661081e-07,"Tagln2","Stem cells","Significant"
1.99665570321198e-11,0.570050253057385,0.68,0.547,6.7279310575431e-07,"Arpc1b","Stem cells","Significant"
2.00887355560233e-11,0.527356641205434,0.818,0.736,6.76910033295763e-07,"Ubb","Stem cells","Significant"
2.37223542591489e-11,0.506121885094932,0.485,0.292,7.99348449116283e-07,"Cnot8","Stem cells","Significant"
2.37976898624073e-11,0.683963098881529,0.658,0.543,8.01886957603677e-07,"Psme2","Stem cells","Significant"
2.40300084329778e-11,0.697126630338361,0.7,0.588,8.09715164157621e-07,"Aldoa","Stem cells","Significant"
2.47326619175713e-11,0.490378043716038,0.808,0.712,8.33391775974482e-07,"Hspa8","Stem cells","Significant"
3.31012322391933e-11,0.571558151044353,0.579,0.41,1.11537912153186e-06,"Ech1","Stem cells","Significant"
3.44018389995648e-11,-0.650153797594046,0.184,0.346,1.15920436692934e-06,"Cd74","Stem cells","Significant"
4.37938431585018e-11,0.473783202472868,0.721,0.62,1.47567733906888e-06,"Eif3f","Stem cells","Significant"
5.03869480835762e-11,-0.449171306853222,0.851,0.863,1.69783860262418e-06,"Tnrc6b","Stem cells","Significant"
5.19646597733854e-11,0.937856391253255,0.423,0.245,1.75100117572399e-06,"Acaa1a","Stem cells","Significant"
