"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
4.44432602253189e-109,-8.36111920641723,0.034,0.983,1.49756009655234e-104,"Igkv8-21","T cells","Significant"
1.5542309014287e-81,-3.7555746650094,0.076,0.92,5.23713644545416e-77,"Ighg2b","T cells","Significant"
7.55663178324307e-47,-2.13972370518045,0.861,0.994,2.54628264568159e-42,"S100a8","T cells","Significant"
2.44380409841515e-41,-2.41121614390407,0.409,0.897,8.23464229001969e-37,"Igkc","T cells","Significant"
3.55841729369964e-38,-1.95966956712384,0.822,0.989,1.19904429128503e-33,"S100a9","T cells","Significant"
3.76168254793106e-38,-6.4511421679394,0.008,0.411,1.26753655135085e-33,"Ighv1-72","T cells","Significant"
5.05244458112508e-34,-5.93435330934856,0.016,0.394,1.70247172605591e-29,"Igkv12-89","T cells","Significant"
9.33153697530439e-28,2.44401159031485,0.74,0.257,3.14435469919857e-23,"Ifi27l2a","T cells","Significant"
5.97287005954719e-26,-1.80179211259026,0.567,0.903,2.01261829526502e-21,"Ngp","T cells","Significant"
2.86984525423828e-25,-6.75798756048011,0.008,0.286,9.67023056868129e-21,"Igkv4-59","T cells","Significant"
8.50862803908946e-25,1.8908603592396,0.769,0.354,2.86706730405159e-20,"Ly6a","T cells","Significant"
6.09099501460004e-23,-2.6441984469273,0.087,0.446,2.05242168011963e-18,"Klrd1","T cells","Significant"
5.57349455020343e-20,-3.82257811263935,0.026,0.286,1.87804472363655e-15,"Itga1","T cells","Significant"
4.06366034390525e-18,-2.56990639434128,0.058,0.337,1.36929098948231e-13,"Klrk1","T cells","Significant"
5.61583312633317e-18,-2.75235148631643,0.045,0.309,1.89231113024923e-13,"Klre1","T cells","Significant"
9.86575537287409e-18,-1.70560387523124,0.567,0.823,3.32436493044365e-13,"Camp","T cells","Significant"
3.38234233405078e-17,6.06111311810976,0.333,0.006,1.13971407288175e-12,"Igkv15-103","T cells","Significant"
2.00322882182873e-16,-1.73322511081238,0.325,0.651,6.75007983803408e-12,"Elane","T cells","Significant"
2.651988691928e-16,-2.19003452187576,0.113,0.411,8.9361410963206e-12,"Cd8a","T cells","Significant"
3.82733451341581e-15,-3.81774054068975,0.018,0.211,1.28965863764059e-10,"Igkv5-39","T cells","Significant"
1.07380151179748e-14,-1.55970571912172,0.252,0.577,3.6182815741528e-10,"Slpi","T cells","Significant"
1.7871756682537e-14,-1.27058140375664,0.719,0.88,6.02206713174767e-10,"Prkch","T cells","Significant"
4.10605837560237e-14,-1.4956796207409,0.307,0.606,1.38357743024298e-09,"Osbpl3","T cells","Significant"
9.96885984200819e-14,-3.31584491383256,0.024,0.211,3.35910701236308e-09,"Klrc1","T cells","Significant"
1.12695177094399e-13,3.8037670888748,0.297,0.017,3.79737668737286e-09,"Trbv2","T cells","Significant"
5.27905807115202e-13,-6.97715604460186,0,0.131,1.77883140765538e-08,"Eif2s3y","T cells","Significant"
5.29045167543681e-13,-1.55504919639238,0.234,0.554,1.78267059655519e-08,"Gm30211","T cells","Significant"
7.0690657045636e-13,7.05711705545992,0.257,0.006,2.38199237980975e-08,"Ighv6-3","T cells","Significant"
8.03752501375674e-13,7.72602860309779,0.247,0,2.70832442863547e-08,"Igkv1-110","T cells","Significant"
9.20616143024153e-13,2.02963042262336,0.404,0.103,3.10210815553419e-08,"Rtp4","T cells","Significant"
9.93211289455056e-13,-5.37384564939141,0.008,0.154,3.34672476094776e-08,"Primpol","T cells","Significant"
1.02827540450363e-12,0.996667757400275,0.827,0.583,3.46487680301544e-08,"Lat","T cells","Significant"
1.16098524219809e-12,0.600764470814703,0.929,0.834,3.91205587211067e-08,"Rps11","T cells","Significant"
1.65048444452503e-12,-1.85881429176808,0.157,0.429,5.56147238427153e-08,"Lcn2","T cells","Significant"
2.16389392171703e-12,-1.16948656290851,0.701,0.863,7.2914569586177e-08,"Zbtb20","T cells","Significant"
2.26063355798135e-12,-5.91211658262446,0.005,0.143,7.61743083697395e-08,"Ighg2c","T cells","Significant"
4.32362929138136e-12,-0.769520037326193,0.955,0.949,1.45689012602386e-07,"Arhgap15","T cells","Significant"
5.80620365778318e-12,-7.1066449278479,0,0.12,1.95645838452662e-07,"Igkv6-13","T cells","Significant"
7.05764264039676e-12,2.38081641794724,0.402,0.12,2.37814326410809e-07,"Irf7","T cells","Significant"
8.62540850081183e-12,-1.86161132825896,0.102,0.343,2.90641764843355e-07,"Gm44174","T cells","Significant"
1.0660579336546e-11,7.18683417155012,0.226,0,3.59218881324255e-07,"Ly6c1","T cells","Significant"
1.12252449135257e-11,3.92949133550556,0.239,0.006,3.78245852606162e-07,"Trav5-4","T cells","Significant"
1.62119821740806e-11,0.598914459242433,0.945,0.863,5.4627895133782e-07,"Ms4a4b","T cells","Significant"
2.82138598674006e-11,-4.93766598107795,0.005,0.131,9.50694222091929e-07,"Igkv3-4","T cells","Significant"
4.44725989248194e-11,0.44321730719548,0.963,0.914,1.49854869337072e-06,"Fau","T cells","Significant"
5.08431387168823e-11,-2.14914097144385,0.06,0.257,1.71321040220407e-06,"Trgc2","T cells","Significant"
6.30569497427961e-11,-7.02605941733784,0,0.109,2.12476697853326e-06,"Uty","T cells","Significant"
9.73241297659987e-11,-4.09437331964323,0.005,0.126,3.27943387659509e-06,"Klra7","T cells","Significant"
1.49237616775358e-10,0.468897308685422,0.955,0.903,5.02871073486246e-06,"H2-D1","T cells","Significant"
1.75454364404228e-10,6.46582726431322,0.213,0.006,5.91211026296487e-06,"Slc35f3","T cells","Significant"
3.64550870186028e-10,0.449698534492547,0.937,0.874,1.22839061217884e-05,"Rpl19","T cells","Significant"
4.31804140288168e-10,0.939213747658164,0.682,0.4,1.45500723111501e-05,"Gabarap","T cells","Significant"
6.51441565203252e-10,0.699438247649444,0.871,0.749,2.19509749810888e-05,"Ucp2","T cells","Significant"
8.58637940748114e-10,-0.764125799577393,0.816,0.874,2.89326640514485e-05,"Lars2","T cells","Significant"
1.0255249127237e-09,0.761402319430937,0.814,0.577,3.45560874591378e-05,"Id2","T cells","Significant"
1.67781753428978e-09,0.706418100420519,0.903,0.794,5.65357396354283e-05,"Rpl10","T cells","Significant"
1.85288702721299e-09,0.814820467024727,0.764,0.56,6.2434881268969e-05,"Gmfg","T cells","Significant"
2.39398618599623e-09,2.684839525053,0.244,0.034,8.0667758523329e-05,"Dapl1","T cells","Significant"
2.75758992041853e-09,0.901215751333717,0.685,0.451,9.29197499584228e-05,"Cd82","T cells","Significant"
2.76796550084261e-09,-1.97583139279801,0.055,0.223,9.32693655163927e-05,"Pip5k1b","T cells","Significant"
3.94067476513287e-09,-0.537666500701409,0.945,0.943,0.000132784976885917,"mt-Nd4","T cells","Significant"
4.17641864376675e-09,0.68798338531078,0.879,0.709,0.000140728602620364,"S100a10","T cells","Significant"
5.03981269022606e-09,0.569235326659626,0.976,0.966,0.000169821528409857,"Tmsb4x","T cells","Significant"
5.22243385652434e-09,2.50333845212408,0.365,0.143,0.000175975131229444,"Lgals3","T cells","Significant"
5.65750675060677e-09,0.564640776507631,0.932,0.84,0.000190635347468446,"Rps4x","T cells","Significant"
5.68543091738869e-09,-1.07176229121128,0.543,0.714,0.000191576280192329,"Tcf12","T cells","Significant"
6.67058828812888e-09,-2.6922398045691,0.026,0.16,0.000224772142956791,"Klrc2","T cells","Significant"
7.29954188560769e-09,0.769235544278695,0.808,0.646,0.000245965363377437,"Pfdn5","T cells","Significant"
7.31361942519368e-09,3.13318268945413,0.241,0.04,0.000246439720151326,"Gm42047","T cells","Significant"
7.59005490902865e-09,0.715793483133693,0.803,0.6,0.000255754490214629,"Eif3f","T cells","Significant"
9.48745763573477e-09,-4.56832642642247,0.005,0.103,0.000319689372493719,"Ighv1-76","T cells","Significant"
1.24631130559462e-08,2.15191327403251,0.291,0.074,0.000419957057533162,"Usp18","T cells","Significant"
1.35452459818251e-08,0.387208749974232,0.984,0.937,0.000456420608603579,"H2-K1","T cells","Significant"
1.51575648845581e-08,0.528192311205319,0.903,0.789,0.00051074930635007,"Rpl24","T cells","Significant"
1.55533713958554e-08,1.09004021690607,0.446,0.189,0.000524086402554745,"Coro1b","T cells","Significant"
1.85071645132593e-08,0.455363098158157,0.927,0.846,0.000623617415438786,"Ubb","T cells","Significant"
1.91224900186061e-08,0.931217883796796,0.633,0.383,0.000644351423666951,"Slfn1","T cells","Significant"
2.21018859198744e-08,-2.69024656818895,0.102,0.28,0.000744745147956087,"Retnlg","T cells","Significant"
2.64077254423428e-08,0.436299332688941,0.937,0.846,0.000889834716505185,"Rpl27a","T cells","Significant"
2.87945120484653e-08,-0.631772119287827,0.948,0.949,0.000970259877985087,"Skap1","T cells","Significant"
3.97480382458373e-08,-0.544638478627371,0.921,0.954,0.00133934989673173,"Dock10","T cells","Significant"
4.83949835667245e-08,0.424801949149895,0.942,0.863,0.00163071736626435,"Rpl17","T cells","Significant"
5.17233656470545e-08,0.371185815903568,0.961,0.903,0.00174287052884315,"Eef1a1","T cells","Significant"
5.81560637140346e-08,0.496806081886089,0.924,0.84,0.00195962672290811,"Rplp0","T cells","Significant"
6.50191934347817e-08,-1.43660391146279,0.136,0.32,0.0021908867419784,"Igkv14-126","T cells","Significant"
