"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097529","myeloid leukocyte migration","14/145","255/28905",0.0549019607843137,10.9444219066937,11.3254600695902,4.72357855828123e-11,6.65953078940903e-08,5.13697404829166e-08,"S100a8/S100a9/Retnlg/Prtn3/Anxa1/Myo1f/Lyst/Csf3r/Itgam/Cd177/App/Mtus1/Itgb2l/Ripor2",14
"GO:0043087","regulation of GTPase activity","15/145","309/28905",0.0485436893203883,9.67693337797121,10.8883329616784,5.29584953432129e-11,6.65953078940903e-08,5.13697404829166e-08,"Arhgap15/Prtn3/Tbc1d8/Dock10/Rasgrp3/Dock11/Lrrk2/Rasa2/Asap1/Ripor2/Rapgef4/Rapgef6/Agap1/Plxnc1/Rap1gds1",15
"GO:0097530","granulocyte migration","11/145","169/28905",0.0650887573964497,12.9751071209957,11.0860832701669,1.01203824621193e-09,8.4842539640767e-07,6.54451399217049e-07,"S100a8/S100a9/Prtn3/Anxa1/Myo1f/Lyst/Csf3r/Itgam/Cd177/Itgb2l/Ripor2",11
"GO:0050900","leukocyte migration","15/145","402/28905",0.0373134328358209,7.43823983530623,9.2300366507695,2.00207582725527e-09,1.25880517638675e-06,9.71006776218805e-07,"S100a8/S100a9/Elane/Retnlg/Prtn3/Anxa1/Myo1f/Lyst/Csf3r/Itgam/Cd177/App/Mtus1/Itgb2l/Ripor2",15
"GO:0051345","positive regulation of hydrolase activity","16/145","488/28905",0.0327868852459016,6.53589598643301,8.75744167347123,3.58570224167047e-09,1.80360822756025e-06,1.39125246976814e-06,"S100a8/S100a9/Prtn3/Tbc1d8/Dock10/Tank/Rasgrp3/Dock11/Wrn/App/Ptprc/Asap1/Rapgef4/Rapgef6/Agap1/Rap1gds1",16
"GO:0042742","defense response to bacterium","14/145","430/28905",0.0325581395348837,6.49029671210906,8.14454283252386,3.91404634964776e-08,1.33965344698905e-05,1.03337084976491e-05,"Ighg2b/Slpi/Camp/Lcn2/Elane/Mpo/Ighg2c/Lyz2/Pglyrp1/Ltf/Myo1f/Lyst/App/Pld1",14
"GO:1990266","neutrophil migration","9/145","140/28905",0.0642857142857143,12.8150246305419,9.95027295724551,3.92812292952271e-08,1.33965344698905e-05,1.03337084976491e-05,"S100a8/S100a9/Prtn3/Myo1f/Csf3r/Itgam/Cd177/Itgb2l/Ripor2",9
"GO:0030595","leukocyte chemotaxis","11/145","242/28905",0.0454545454545455,9.06112852664577,8.94151771459592,4.26132309181407e-08,1.33965344698905e-05,1.03337084976491e-05,"S100a8/S100a9/Retnlg/Anxa1/Lyst/Csf3r/Itgam/App/Mtus1/Itgb2l/Ripor2",11
"GO:0002446","neutrophil mediated immunity","6/145","41/28905",0.146341463414634,29.1724137931034,12.8175866956243,5.58750376593388e-08,1.56139688570263e-05,1.20441747843464e-05,"Elane/Myo1f/Lyst/Itgam/Cd177/Itgb2l",6
"GO:0042119","neutrophil activation","6/145","42/28905",0.142857142857143,28.4778325123153,12.6533324021184,6.49193323659072e-08,1.63272120900257e-05,1.2594350478986e-05,"Camp/Anxa1/Myo1f/Itgam/Cd177/Itgb2l",6
"GO:0006959","humoral immune response","12/145","339/28905",0.0353982300884956,7.05645407384803,7.96456564309301,1.56293887176144e-07,3.38105436458247e-05,2.60804988759045e-05,"Ighg2b/S100a9/Slpi/Camp/Elane/Ighg2c/Pglyrp1/Ltf/Fcnb/App/Cr2/Ptprc",12
"GO:0002263","cell activation involved in immune response","12/145","340/28905",0.0352941176470588,7.03569979716024,7.94911005161341,1.61322673459203e-07,3.38105436458247e-05,2.60804988759045e-05,"Pglyrp1/Plcl2/Anxa1/Myo1f/Dock10/Dock11/Itgam/Cd177/App/Dock2/Itgb2l/Ptprc",12
"GO:0036230","granulocyte activation","6/145","51/28905",0.117647058823529,23.4523326572008,11.3949408995428,2.14760188000665e-07,3.85319679533272e-05,2.9722472297994e-05,"Camp/Anxa1/Myo1f/Itgam/Cd177/Itgb2l",6
"GO:0002523","leukocyte migration involved in inflammatory response","5/145","27/28905",0.185185185185185,36.9157088122605,13.2571845624065,2.18917785638006e-07,3.85319679533272e-05,2.9722472297994e-05,"S100a8/S100a9/Elane/Itgam/Itgb2l",5
"GO:0043547","positive regulation of GTPase activity","10/145","226/28905",0.0442477876106195,8.82056759231004,8.38067551897807,2.29812930139129e-07,3.85319679533272e-05,2.9722472297994e-05,"Prtn3/Tbc1d8/Dock10/Rasgrp3/Dock11/Asap1/Rapgef4/Rapgef6/Agap1/Rap1gds1",10
"GO:0007264","small GTPase-mediated signal transduction","13/145","439/28905",0.0296127562642369,5.90314979184667,7.35042978519327,3.61031686322588e-07,5.67496681938318e-05,4.37750919666138e-05,"Elmo1/Dock10/Dock5/Rasgrp3/Dock11/Dennd4a/Lrrk2/Dock2/Rasa2/Dock1/Ripor2/Rapgef4/Rapgef6",13
"GO:0006909","phagocytosis","10/145","239/28905",0.0418410041841004,8.34078776511326,8.09145465755166,3.84689676400665e-07,5.69114433028042e-05,4.38998807186641e-05,"Ighg2b/Elane/Elmo1/Prtn3/Anxa1/Lyst/Itgam/Dock2/Ptprc/Dock1",10
"GO:0071621","granulocyte chemotaxis","8/145","137/28905",0.0583941605839416,11.6405738736471,8.86418954920146,4.78425038035769e-07,6.68466094811089e-05,5.1563587432744e-05,"S100a8/S100a9/Anxa1/Lyst/Csf3r/Itgam/Itgb2l/Ripor2",8
"GO:0014902","myotube differentiation","8/145","148/28905",0.0540540540540541,10.7753960857409,8.4656823141938,8.60743458176709e-07,0.000113935252490233,8.78864373085692e-05,"Dock5/Lncpint/Atp11a/Dock2/Ppp3ca/Smyd3/Dock1/Ripor2",8
"GO:0043312","neutrophil degranulation","4/145","16/28905",0.25,49.8362068965517,13.8740800645198,1.05501680470725e-06,0.000127296399463224,9.81928488901213e-05,"Myo1f/Itgam/Cd177/Itgb2l",4
"GO:0060326","cell chemotaxis","11/145","334/28905",0.032934131736527,6.56524881271939,7.26379590425991,1.06291228180028e-06,0.000127296399463224,9.81928488901213e-05,"S100a8/S100a9/Retnlg/Anxa1/Lyst/Csf3r/Itgam/App/Mtus1/Itgb2l/Ripor2",11
"GO:0002366","leukocyte activation involved in immune response","11/145","336/28905",0.0327380952380952,6.52616995073892,7.23460610802221,1.12656038704107e-06,0.000128786335154922,9.93421432208945e-05,"Pglyrp1/Plcl2/Anxa1/Myo1f/Dock10/Dock11/Itgam/Cd177/Dock2/Itgb2l/Ptprc",11
"GO:0006801","superoxide metabolic process","6/145","72/28905",0.0833333333333333,16.6120689655172,9.41781874691458,1.70877643482624e-06,0.000186850988416869,0.000144131577546213,"Mpo/Cybb/Itgam/Cd177/App/Itgb2l",6
"GO:0019730","antimicrobial humoral response","9/145","222/28905",0.0405405405405405,8.08154706430568,7.52074530312511,1.94124981387936e-06,0.000203426803412774,0.000156917693288582,"Ighg2b/S100a9/Slpi/Camp/Elane/Ighg2c/Pglyrp1/Ltf/App",9
"GO:0017157","regulation of exocytosis","9/145","225/28905",0.04,7.97379310344828,7.45657308303044,2.16769568092287e-06,0.00021480792987257,0.000165696772943454,"Anxa1/Myo5a/Itgam/Cd177/Lrrk2/Itgb2l/Prkcb/Cask/Rapgef4",9
"GO:0001878","response to yeast","4/145","19/28905",0.210526315789474,41.967332123412,12.6835058716012,2.22067840027309e-06,0.00021480792987257,0.000165696772943454,"Camp/Elane/Mpo/App",4
"GO:0051047","positive regulation of secretion","12/145","439/28905",0.0273348519362187,5.44906134632001,6.66969487461363,2.3747008955406e-06,0.000221198990825356,0.000170626656938843,"S100a8/S100a9/Ptges/Itgam/Cd177/Rhbdd1/Itgb2l/Prkcb/Ppp3ca/Gnaq/Cask/Rapgef4",12
"GO:0106027","neuron projection organization","7/145","120/28905",0.0583333333333333,11.6284482758621,8.28411089680631,2.5621002338844e-06,0.000230131503150688,0.000177516944776276,"Igf1r/Dock10/Diaph2/Lrrk2/App/Cask/Abcd2",7
"GO:0045123","cellular extravasation","6/145","82/28905",0.0731707317073171,14.5862068965517,8.74790571962138,3.67533987067559e-06,0.000318740681887901,0.000245867563762436,"Elane/Prtn3/Itgam/Cd177/Itgb2l/Ripor2",6
"GO:0042554","superoxide anion generation","5/145","47/28905",0.106382978723404,21.2068965517241,9.84428021044258,3.83721893267268e-06,0.000321686853855726,0.000248140157646167,"Cybb/Itgam/Cd177/App/Itgb2l",5
"GO:0002283","neutrophil activation involved in immune response","4/145","22/28905",0.181818181818182,36.2445141065831,11.7422210668896,4.14221116208169e-06,0.000323004115103553,0.000249156255785643,"Myo1f/Itgam/Cd177/Itgb2l",4
"GO:0006935","chemotaxis","12/145","465/28905",0.0258064516129032,5.14438264738598,6.3972019594053,4.2760561332239e-06,0.000323004115103553,0.000249156255785643,"S100a8/S100a9/Retnlg/Anxa1/Lyst/Csf3r/Itgam/App/Dock2/Mtus1/Itgb2l/Ripor2",12
"GO:0042886","amide transport","11/145","386/28905",0.0284974093264249,5.68081114882973,6.5737950463033,4.27978661912466e-06,0.000323004115103553,0.000249156255785643,"S100a8/S100a9/Anxa1/Abca13/Myo5a/Chd7/Prkcb/Ppp3ca/Gnaq/Cask/Rapgef4",11
"GO:0042330","taxis","12/145","467/28905",0.0256959314775161,5.12235103005243,6.37708815116334,4.46658817267948e-06,0.000323004115103553,0.000249156255785643,"S100a8/S100a9/Retnlg/Anxa1/Lyst/Csf3r/Itgam/App/Dock2/Mtus1/Itgb2l/Ripor2",12
"GO:0006979","response to oxidative stress","11/145","388/28905",0.0283505154639175,5.65152861713473,6.54980207829446,4.49508708891624e-06,0.000323004115103553,0.000249156255785643,"Lcn2/Mpo/Gsr/Anxa1/Mctp1/Wrn/Lrrk2/App/Hk3/Cpeb2/Atrn",11
