"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","86/831","153/28905",0.562091503267974,19.5514499421911,39.5837452289773,1.31785614313439e-91,6.07004539527698e-88,4.61943258593422e-88,"Rps3a1/Rpl28/Rps25/Rpl19/Rpl29/Rpl7a/Rpl11/Rps11/Rps7/Rps14/Rpl26/Rps23/Rps26/Rpl9/Rpl32/Rps28/Rpl6/Eef2/Rpl21/Ybx1/Rpl8/Rpl27a/Rpl10a/Rpl18a/Rpl12/Rps4x/Rps15a/Rps9/Rps5/Rpl23a/Rplp0/Rpl15/Rpl27/Rps3/Rps6/Rplp1/Rps20/Rpl35a/Rps13/Fau/Rpl39/Rpl36/Rpl34/Rpsa/Rpl17/Rpl7/Rpl18/Rps16/Rps17/Rpl41/Rplp2/Rpl22/Rpl13a/Rps15/Rps24/Rpl5/Rps27a/Rpl4/Rps12/Rps29/Rps8/Rps10/Rpl13/Rpl37a/Rpl24/Rpl31/Rpl30/Cnbp/Eif2s3x/Uba52/Rpl36al/Rps21/Rpl3/Rps19/Rps2/Dhx9/Rps18/Zc3h15/Rwdd1/Rpl36a/Eif3d/Rpl23/Rpl38/Rpl22l1/Rpl14/Hnrnpu",86
"GO:0140241","translation at synapse","48/831","48/28905",1,34.783393501805,40.3019109554067,2.69170544744991e-75,4.13266509698476e-72,3.14504531228357e-72,"Rpl28/Rpl29/Rpl7a/Rps11/Rps14/Rpl26/Rps26/Rpl9/Rpl32/Rps28/Rpl6/Eef2/Rpl8/Rpl27a/Rpl10a/Rpl12/Rps15a/Rps5/Rpl23a/Rpl10/Rpl35/Rpl15/Rpl27/Rpl35a/Rpl36/Rpl34/Rpl17/Rpl7/Rps16/Rplp2/Rpl22/Rpl13a/Rpl37/Rps24/Rpl5/Rps27a/Rpl4/Rps12/Rps10/Rpl13/Rps27/Rpl37a/Rpl24/Uba52/Rpl36a/Rpl23/Rpl38/Rpl14",48
"GO:0140242","translation at postsynapse","48/831","48/28905",1,34.783393501805,40.3019109554067,2.69170544744991e-75,4.13266509698476e-72,3.14504531228357e-72,"Rpl28/Rpl29/Rpl7a/Rps11/Rps14/Rpl26/Rps26/Rpl9/Rpl32/Rps28/Rpl6/Eef2/Rpl8/Rpl27a/Rpl10a/Rpl12/Rps15a/Rps5/Rpl23a/Rpl10/Rpl35/Rpl15/Rpl27/Rpl35a/Rpl36/Rpl34/Rpl17/Rpl7/Rps16/Rplp2/Rpl22/Rpl13a/Rpl37/Rps24/Rpl5/Rps27a/Rpl4/Rps12/Rps10/Rpl13/Rps27/Rpl37a/Rpl24/Uba52/Rpl36a/Rpl23/Rpl38/Rpl14",48
"GO:0140236","translation at presynapse","47/831","47/28905",1,34.783393501805,39.8791988135017,9.90781068909556e-74,1.14088440084935e-70,8.68237094597058e-71,"Rpl28/Rpl29/Rpl7a/Rps11/Rps14/Rpl26/Rps26/Rpl9/Rpl32/Rps28/Rpl6/Rpl8/Rpl27a/Rpl10a/Rpl12/Rps15a/Rps5/Rpl23a/Rpl10/Rpl35/Rpl15/Rpl27/Rpl35a/Rpl36/Rpl34/Rpl17/Rpl7/Rps16/Rplp2/Rpl22/Rpl13a/Rpl37/Rps24/Rpl5/Rps27a/Rpl4/Rps12/Rps10/Rpl13/Rps27/Rpl37a/Rpl24/Uba52/Rpl36a/Rpl23/Rpl38/Rpl14",47
"GO:0022613","ribonucleoprotein complex biogenesis","87/831","442/28905",0.19683257918552,6.84650505578516,21.3105405665187,6.42145404660887e-47,5.91544346773609e-44,4.50177725793843e-44,"Rps3a1/Rps25/Rpl7a/Rpl11/Rps11/Nol7/Rps7/Rps14/Rpl26/Rps23/Rps28/Rpl6/Trmt112/Rpl10a/Emg1/Rps15a/Rps9/Rps5/Rpl23a/Rpl10/Rplp0/Rpl35/Nsa2/Snrpb/Rpl27/Ddx54/Rps6/Nop53/Rpl35a/Rps13/Fau/Rpsa/Npm1/Rpl7/Rps16/Rps17/Rsrp1/Rpl13a/Rps15/Mrpl20/Rps24/Rpl5/Snrpd2/Rps12/Rps8/Ran/Rps27/Rpl24/Snrpf/Eif2s3x/Snrpe/Snu13/Rps21/Rps19/Dhx9/Lsm4/Pa2g4/Rrp1/Rps27l/Imp3/Snrpg/Nhp2/Hsp90aa1/Frg1/Ddx27/Rsl1d1/Eif3d/Rpl38/Sf3a3/Ddx47/Gtf2h5/Nop56/Nudt21/C1d/Eif5b/Rrp7a/Crnkl1/Scaf11/Snrpc/Dnttip2/Puf60/Rbis/Rpl14/Snrpd3/Pak1ip1/Eif2a/Nifk",87
"GO:0009060","aerobic respiration","60/831","199/28905",0.301507537688442,10.4874553271774,23.1056015784246,4.76141740001694e-44,3.65518142407967e-41,2.78167016527305e-41,"Chchd10/Cox7a2l/Ndufs8/Cox8a/Cox6a1/Uqcrh/Cox4i1/Cbfa2t3/Cox7c/Ndufb5/Nop53/Sdhaf2/Cox5b/Cox7a2/Cox5a/Coq7/Ndufb1/Ndufb10/Uqcrfs1/Ndufs5/Ndufa11/Ndufc1/Ndufa3/Ndufa13/Mdh1/Chchd2/Idh3g/Cox7b/Uqcrq/Ndufa2/Ndufs6/Uqcrc1/Ndufa6/Ndufb11/Uqcr10/Mrps36/Ndufs2/Uqcc2/Sdhd/Vcp/Ndufb8/Ndufb6/Atp5pb/Ndufab1/Pdha1/Macroh2a1/Park7/Dnajc15/Fh1/Ndufc2/Ndufa7/Ndufb9/Ndufa8/Bloc1s1/Uqcr11/Akt1/Ndufa10/Ndufb2/Sdhb/Cyc1",60
"GO:0006119","oxidative phosphorylation","51/831","148/28905",0.344594594594595,11.9861693823788,23.0532785569911,6.75308718809156e-41,4.44353136976425e-38,3.38162110320976e-38,"Chchd10/Cox7a2l/Ndufs8/Cox8a/Cox6a1/Uqcrh/Cox4i1/Cox7c/Ndufb5/Sdhaf2/Cox5b/Cox7a2/Cox5a/Coq7/Ndufb1/Ndufb10/Uqcrfs1/Ndufs5/Ndufa11/Ndufc1/Ndufa3/Ndufa13/Chchd2/Cox7b/Uqcrq/Ndufa2/Ndufs6/Uqcrc1/Ndufa6/Ndufb11/Uqcr10/Ndufs2/Uqcc2/Sdhd/Vcp/Ndufb8/Ndufb6/Atp5pb/Ndufab1/Macroh2a1/Park7/Dnajc15/Ndufc2/Ndufa7/Ndufb9/Ndufa8/Uqcr11/Ndufa10/Ndufb2/Sdhb/Cyc1",51
"GO:0045333","cellular respiration","63/831","255/28905",0.247058823529412,8.59354427691654,20.9546130274472,2.15131815771261e-40,1.23862142930304e-37,9.426170348925e-38,"Chchd10/Cox7a2l/Ndufs8/Cox8a/Cox6a1/Uqcrh/Cox4i1/Cbfa2t3/Cox7c/Ndufb5/Nop53/Sdhaf2/Cox5b/Cox7a2/Cox5a/Coq7/Ndufb1/Ndufb10/Uqcrfs1/Ndufs5/Ndufa11/Ndufc1/Ndufa3/Ndufa13/Prelid1/Mdh1/Chchd2/Idh3g/Cox7b/Uqcrq/Ndufa2/Ndufs6/Uqcrc1/Ndufa6/Ndufb11/Uqcr10/Mrps36/Ndufs2/Uqcc2/Sdhd/Cisd1/Vcp/Ndufb8/Ndufb6/Atp5pb/Ndufab1/Pdha1/Macroh2a1/Bax/Park7/Dnajc15/Fh1/Ndufc2/Ndufa7/Ndufb9/Ndufa8/Bloc1s1/Uqcr11/Akt1/Ndufa10/Ndufb2/Sdhb/Cyc1",63
"GO:0042254","ribosome biogenesis","68/831","320/28905",0.2125,7.39147111913357,19.7803540182231,5.19058957637122e-39,2.65642839875176e-36,2.02159804553405e-36,"Rps3a1/Rps25/Rpl7a/Rpl11/Rps11/Nol7/Rps7/Rps14/Rpl26/Rps23/Rps28/Rpl6/Trmt112/Rpl10a/Emg1/Rps15a/Rps9/Rps5/Rpl23a/Rpl10/Rplp0/Rpl35/Nsa2/Rpl27/Ddx54/Rps6/Nop53/Rpl35a/Rps13/Fau/Rpsa/Npm1/Rpl7/Rps16/Rps17/Rps15/Mrpl20/Rps24/Rpl5/Rps12/Rps8/Ran/Rps27/Rpl24/Snu13/Rps21/Rps19/Pa2g4/Rrp1/Rps27l/Imp3/Nhp2/Frg1/Ddx27/Rsl1d1/Rpl38/Ddx47/Gtf2h5/Nop56/C1d/Eif5b/Rrp7a/Dnttip2/Rbis/Rpl14/Pak1ip1/Eif2a/Nifk",68
"GO:0015980","energy derivation by oxidation of organic compounds","69/831","351/28905",0.196581196581197,6.83776111573945,18.9318798020783,2.84686880829443e-37,1.31126777310042e-34,9.97902434907416e-35,"Chchd10/Ppp1ca/Cox7a2l/Ndufs8/Cox8a/Cox6a1/Uqcrh/Cox4i1/Cbfa2t3/Cox7c/Ndufb5/Nop53/Sdhaf2/Hmgb1/Cox5b/Cox7a2/Cox5a/Coq7/Ndufb1/Ndufb10/Gnas/Uqcrfs1/Ndufs5/Ndufa11/Ndufc1/Ndufa3/Ndufa13/Prelid1/Mdh1/Chchd2/Idh3g/Cox7b/Uqcrq/Ndufa2/Ndufs6/Uqcrc1/Ppp1cc/Ndufa6/Ndufb11/Trp53/Uqcr10/Mrps36/Ndufs2/Uqcc2/Sdhd/Cisd1/Vcp/Ndufb8/Ndufb6/Atp5pb/Ndufab1/Pdha1/Macroh2a1/Bax/Park7/Dnajc15/Fh1/Ndufc2/Ndufa7/Ndufb9/Ldha/Ndufa8/Bloc1s1/Uqcr11/Akt1/Ndufa10/Ndufb2/Sdhb/Cyc1",69
