"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002523","leukocyte migration involved in inflammatory response","3/13","27/28905",0.111111111111111,247.051282051282,27.1322497252121,2.06568394587206e-07,4.79238675442318e-05,1.52208290748468e-05,"S100a8/S100a9/Elane",3
"GO:0002440","production of molecular mediator of immune response","5/13","423/28905",0.0118203309692671,26.2820512820513,11.1111522335617,7.65911744920886e-07,8.88457624108227e-05,2.82178011286642e-05,"Igkv8-21/Igkv12-89/Igkv4-59/Igkv5-39/Elane",5
"GO:0002377","immunoglobulin production","4/13","275/28905",0.0145454545454545,32.3412587412587,11.0773009548874,5.35700339112075e-06,0.000414274928913338,0.000131575521887176,"Igkv8-21/Igkv12-89/Igkv4-59/Igkv5-39",4
"GO:0018119","peptidyl-cysteine S-nitrosylation","2/13","14/28905",0.142857142857143,317.637362637363,25.1366117674328,1.69399709343094e-05,0.000906709887517675,0.000287975009647174,"S100a8/S100a9",2
"GO:0017014","protein nitrosylation","2/13","15/28905",0.133333333333333,296.461538461538,24.279216110351,1.95411613689154e-05,0.000906709887517675,0.000287975009647174,"S100a8/S100a9",2
"GO:0070486","leukocyte aggregation","2/13","19/28905",0.105263157894737,234.048582995951,21.5546716262014,3.17918940895303e-05,0.00122928657146184,0.000390426769520547,"S100a8/S100a9",2
"GO:0050729","positive regulation of inflammatory response","3/13","167/28905",0.0179640718562874,39.9424228466145,10.7056928910767,5.19158866248083e-05,0.00172064081385079,0.000546483017103245,"Ighg2b/S100a8/S100a9",3
"GO:0034121","regulation of toll-like receptor signaling pathway","2/13","31/28905",0.0645161290322581,143.449131513648,16.8325155349667,8.61888267789398e-05,0.00249947597658925,0.000793844457174445,"S100a8/S100a9",2
"GO:0019730","antimicrobial humoral response","3/13","222/28905",0.0135135135135135,30.0467775467775,9.2156082913516,0.000120767035967623,0.00311310581605427,0.000988735966986384,"Ighg2b/S100a9/Elane",3
"GO:0014002","astrocyte development","2/13","39/28905",0.0512820512820513,114.023668639053,14.9820156771217,0.000137067584188855,0.00317996795318143,0.00100997167297051,"S100a8/S100a9",2
"GO:0018198","peptidyl-cysteine modification","2/13","48/28905",0.0416666666666667,92.6442307692308,13.4791344893188,0.00020817762575151,0.0043906553794864,0.00139449127297662,"S100a8/S100a9",2
"GO:0002438","acute inflammatory response to antigenic stimulus","2/13","60/28905",0.0333333333333333,74.1153846153846,12.0257167330019,0.000325668811156525,0.00629626368235948,0.00199972077025936,"Ighg2b/Elane",2
"GO:0006959","humoral immune response","3/13","339/28905",0.00884955752212389,19.6766507828455,7.33729497351748,0.000419085269907178,0.00745405987715131,0.00236744188475767,"Ighg2b/S100a9/Elane",3
"GO:0002224","toll-like receptor signaling pathway","2/13","71/28905",0.028169014084507,62.6327193932828,11.0293496532553,0.000455950294963084,0.00745405987715131,0.00236744188475767,"S100a8/S100a9",2
"GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","2/13","73/28905",0.0273972602739726,60.9167544783983,10.8726190973213,0.000481943526539955,0.00745405987715131,0.00236744188475767,"S100a8/S100a9",2
"GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","2/13","76/28905",0.0263157894736842,58.5121457489879,10.6491127587426,0.000522258093392246,0.00757274235418757,0.00240513595641166,"S100a8/S100a9",2
"GO:0032496","response to lipopolysaccharide","3/13","402/28905",0.00746268656716418,16.5929965556831,6.67819614324533,0.000688429450729816,0.00887309069829541,0.00281813225444954,"S100a8/S100a9/Elane",3
"GO:0050900","leukocyte migration","3/13","402/28905",0.00746268656716418,16.5929965556831,6.67819614324533,0.000688429450729816,0.00887309069829541,0.00281813225444954,"S100a8/S100a9/Elane",3
"GO:0050727","regulation of inflammatory response","3/13","411/28905",0.0072992700729927,16.2296462661426,6.59623112614388,0.000734107235292186,0.00896383571514669,0.00284695326706111,"Ighg2b/S100a8/S100a9",3
"GO:0002237","response to molecule of bacterial origin","3/13","422/28905",0.00710900473933649,15.8065986146555,6.4995084294133,0.000792518474955777,0.00899575517521563,0.00285709102661114,"S100a8/S100a9/Elane",3
"GO:0048708","astrocyte differentiation","2/13","95/28905",0.0210526315789474,46.8097165991903,9.48657896062064,0.000814270942584174,0.00899575517521563,0.00285709102661114,"S100a8/S100a9",2
