"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045088","regulation of innate immune response","24/87","486/28905",0.0493827160493827,16.406981694338,18.8207959950964,9.54339554389593e-23,1.62428592157109e-19,1.08593795610016e-19,"Irf7/H2-D1/Ifi213/H2-K1/H2-Q7/Oas1g/Isg15/Ifi209/Ifi206/Nfkbia/Oasl1/Oas1a/Hspa8/H2-Q6/Dpp4/Zbp1/Clec2d/H2-M3/Trim30d/Lgals9/H2-Q4/H2-T22/Rsad2/Grn",24
"GO:0002833","positive regulation of response to biotic stimulus","22/87","431/28905",0.0510440835266821,16.9589567165373,18.3411082312527,3.59334965128828e-21,2.97577333391909e-18,1.98949284060024e-18,"Irf7/H2-D1/Ifi213/H2-K1/H2-Q7/Oas1g/Ifi209/Ifi206/Nfkbia/Oasl1/Oas1a/Hspa8/H2-Q6/Dpp4/Zbp1/H2-M3/Trim30d/Lgals9/H2-Q4/H2-T22/Rsad2/Grn",22
"GO:0009615","response to virus","21/87","377/28905",0.0557029177718833,18.5068142321412,18.7996090385873,5.24519389057418e-21,2.97577333391909e-18,1.98949284060024e-18,"Irf7/Ifi27l2a/Ifi213/Oas1g/Rtp4/Bst2/Isg15/Oasl2/Ifi209/Ifi206/Oasl1/Oas1a/Zbp1/Ifit2/Stat1/Trim30d/Ifit3/Lgals9/Ifit1/Ifitm3/Rsad2",21
"GO:0045089","positive regulation of innate immune response","21/87","404/28905",0.051980198019802,17.2699726869239,18.0948146732295,2.19525075070108e-20,9.34079194423311e-18,6.2449106881786e-18,"Irf7/H2-D1/Ifi213/H2-K1/H2-Q7/Oas1g/Ifi209/Ifi206/Nfkbia/Oasl1/Oas1a/Hspa8/H2-Q6/Dpp4/Zbp1/H2-M3/Trim30d/Lgals9/H2-Q4/H2-T22/Rsad2",21
"GO:0051607","defense response to virus","19/87","314/28905",0.0605095541401274,20.1037777289699,18.701484853083,1.00166938939878e-19,3.40968260151346e-17,2.27958865250544e-17,"Irf7/Ifi213/Oas1g/Rtp4/Bst2/Isg15/Oasl2/Ifi209/Ifi206/Oasl1/Oas1a/Zbp1/Ifit2/Stat1/Trim30d/Ifit3/Ifit1/Ifitm3/Rsad2",19
"GO:0045824","negative regulation of innate immune response","15/87","137/28905",0.109489051094891,36.3767933551472,22.8050272437725,1.22671392949134e-19,3.47977851332378e-17,2.32645220663183e-17,"H2-D1/Ifi213/H2-K1/H2-Q7/Oas1g/Isg15/Ifi209/Ifi206/Oas1a/H2-Q6/Clec2d/Lgals9/H2-Q4/H2-T22/Grn",15
"GO:0048525","negative regulation of viral process","14/87","116/28905",0.120689655172414,40.0980975029727,23.183447172609,5.29426475924069e-19,1.16747012204974e-16,7.80527677615048e-17,"Ly6e/Ifi213/Oas1g/Bst2/Isg15/Oasl2/Ifi209/Ifi206/Oasl1/Oas1a/Stat1/Trim30d/Ifitm3/Rsad2",14
"GO:0050792","regulation of viral process","16/87","191/28905",0.0837696335078534,27.8317385809713,20.4420916783324,5.48752113771911e-19,1.16747012204974e-16,7.80527677615048e-17,"Ly6e/Ifi213/Oas1g/Bst2/Isg15/Oasl2/Ifi209/Ifi206/Oasl1/Oas1a/Cxcr4/Stat1/Trim30d/Ifitm3/Rsad2/Pfn1",16
"GO:0002832","negative regulation of response to biotic stimulus","15/87","167/28905",0.0898203592814371,29.8420400578154,20.5382115597854,2.58252010860678e-18,4.88383247205416e-16,3.2651511548584e-16,"H2-D1/Ifi213/H2-K1/H2-Q7/Oas1g/Isg15/Ifi209/Ifi206/Oas1a/H2-Q6/Clec2d/Lgals9/H2-Q4/H2-T22/Grn",15
"GO:0016032","viral process","18/87","332/28905",0.0542168674698795,18.0130868300789,17.1309292655467,7.16913905570948e-18,1.22018746728175e-15,8.157725599181e-16,"Ly6e/Ifi213/Oas1g/Bst2/Isg15/Oasl2/Ifi209/Ifi206/Oasl1/Oas1a/Hspa8/Cxcr4/Stat1/Trim30d/Ifitm3/Rsad2/Pfn1/Ctsb",18
"GO:0050777","negative regulation of immune response","16/87","241/28905",0.0663900414937759,22.0575189583631,18.0365722644797,2.31257346727634e-17,3.57818185573121e-15,2.39224106997677e-15,"H2-D1/Ifi213/H2-K1/H2-Q7/Oas1g/Gpx1/Isg15/Ifi209/Ifi206/Oas1a/H2-Q6/Clec2d/Lgals9/H2-Q4/H2-T22/Grn",16
"GO:0045071","negative regulation of viral genome replication","11/87","67/28905",0.164179104477612,54.547092125579,24.1100108673367,1.06833934012323e-16,1.51526129740811e-14,1.01304809357299e-14,"Ifi213/Oas1g/Bst2/Isg15/Oasl2/Ifi209/Ifi206/Oasl1/Oas1a/Ifitm3/Rsad2",11
