"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002523","leukocyte migration involved in inflammatory response","3/7","27/28905",0.111111111111111,458.809523809524,37.0405349301238,2.53740096691481e-08,5.43003806919769e-06,1.06837935449045e-06,"S100a8/S100a9/Elane",3
"GO:0019730","antimicrobial humoral response","4/7","222/28905",0.018018018018018,74.4015444015444,17.086908722343,1.1641104608626e-07,1.24559819312298e-05,2.4507588649739e-06,"Ighg2b/Slpi/S100a9/Elane",4
"GO:0006959","humoral immune response","4/7","339/28905",0.0117994100294985,48.7231352718078,13.7561911487334,6.32729724804441e-07,4.51347203693835e-05,8.88041719023777e-06,"Ighg2b/Slpi/S100a9/Elane",4
"GO:0032496","response to lipopolysaccharide","4/7","402/28905",0.0099502487562189,41.0874200426439,12.5970817499207,1.24808029042049e-06,6.4805518498949e-05,1.27507168714115e-05,"Slpi/S100a8/S100a9/Elane",4
"GO:0002237","response to molecule of bacterial origin","4/7","422/28905",0.00947867298578199,39.1401489505755,12.2840010884115,1.51414762848012e-06,6.4805518498949e-05,1.27507168714115e-05,"Slpi/S100a8/S100a9/Elane",4
"GO:0019731","antibacterial humoral response","3/7","138/28905",0.0217391304347826,89.7670807453416,16.268154753786,3.67483850934201e-06,0.000131069240166532,2.57883404164351e-05,"Ighg2b/Slpi/Elane",3
"GO:0018119","peptidyl-cysteine S-nitrosylation","2/7","14/28905",0.142857142857143,589.897959183673,34.3017976694895,4.56834243520363e-06,0.000139660754447654,2.74787514899467e-05,"S100a8/S100a9",2
"GO:0017014","protein nitrosylation","2/7","15/28905",0.133333333333333,550.571428571429,33.1352388757936,5.27055634989633e-06,0.000140987382359727,2.77397702626122e-05,"S100a8/S100a9",2
"GO:0050729","positive regulation of inflammatory response","3/7","167/28905",0.0179640718562874,74.1787852865697,14.7607784744174,6.51773622205319e-06,0.000154977283502154,3.0492333202588e-05,"Ighg2b/S100a8/S100a9",3
"GO:0070486","leukocyte aggregation","2/7","19/28905",0.105263157894737,434.661654135338,29.4291839751154,8.57951783668055e-06,0.000183601681704964,3.61242856281287e-05,"S100a8/S100a9",2
"GO:0035821","modulation of process of another organism","2/7","20/28905",0.1,412.928571428571,28.681035599081,9.5316979797421e-06,0.000185434851605892,3.64849683435104e-05,"Slpi/S100a9",2
"GO:0034121","regulation of toll-like receptor signaling pathway","2/7","31/28905",0.0645161290322581,266.405529953917,23.0107852468066,2.32979922369639e-05,0.000415480861559189,8.17473411823295e-05,"S100a8/S100a9",2
"GO:0014002","astrocyte development","2/7","39/28905",0.0512820512820513,211.758241758242,20.4982916327432,3.70922250979851e-05,0.000610595090074523,0.000120136761450964,"S100a8/S100a9",2
"GO:0018198","peptidyl-cysteine modification","2/7","48/28905",0.0416666666666667,172.053571428571,18.4595570720355,5.64056699097886e-05,0.000862200954335341,0.000169641112510643,"S100a8/S100a9",2
"GO:0002438","acute inflammatory response to antigenic stimulus","2/7","60/28905",0.0333333333333333,137.642857142857,16.490027838172,8.83864111166758e-05,0.00119910240725784,0.000235927674817087,"Ighg2b/Elane",2
"GO:0050900","leukocyte migration","3/7","402/28905",0.00746268656716418,30.8155650319829,9.3692512446155,8.9652516430493e-05,0.00119910240725784,0.000235927674817087,"S100a8/S100a9/Elane",3
"GO:0050727","regulation of inflammatory response","3/7","411/28905",0.0072992700729927,30.140771637122,9.26060476833687,9.57352572000116e-05,0.00120513794357662,0.000237115188111484,"Ighg2b/S100a8/S100a9",3
"GO:0042742","defense response to bacterium","3/7","430/28905",0.00697674418604651,28.8089700996678,9.04235113105372,0.000109453193144062,0.00126293710561519,0.00024848737936354,"Ighg2b/Slpi/Elane",3
"GO:0052547","regulation of peptidase activity","3/7","434/28905",0.00691244239631336,28.5434496379197,8.99820611290475,0.000112496329644442,0.00126293710561519,0.00024848737936354,"Slpi/S100a8/S100a9",3
"GO:0007159","leukocyte cell-cell adhesion","3/7","445/28905",0.00674157303370787,27.8378812199037,8.87983477380119,0.000121149960908752,0.00126293710561519,0.00024848737936354,"S100a8/S100a9/Elane",3
"GO:0002224","toll-like receptor signaling pathway","2/7","71/28905",0.028169014084507,116.317907444668,15.1414539936051,0.000123933080457565,0.00126293710561519,0.00024848737936354,"S100a8/S100a9",2
"GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","2/7","73/28905",0.0273972602739726,113.131115459883,14.9294665057423,0.000131034589839792,0.00127460919207798,0.000250783903999603,"S100a8/S100a9",2
"GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","2/7","76/28905",0.0263157894736842,108.665413533835,14.6272377625743,0.000142054521073313,0.00132172467433431,0.000260054043154807,"S100a8/S100a9",2
"GO:0048708","astrocyte differentiation","2/7","95/28905",0.0210526315789474,86.9323308270677,13.056923697407,0.000222064459833304,0.00198007476684696,0.000389586771637375,"S100a8/S100a9",2
"GO:0002437","inflammatory response to antigenic stimulus","2/7","106/28905",0.0188679245283019,77.911051212938,12.3465914328358,0.000276421080200717,0.00236616444651814,0.000465551292969629,"Ighg2b/Elane",2
"GO:0030593","neutrophil chemotaxis","2/7","112/28905",0.0178571428571429,73.7372448979592,12.0037378059493,0.000308543280730025,0.00253954854139328,0.000499665231951457,"S100a8/S100a9",2
"GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/7","119/28905",0.0168067226890756,69.3997599039616,11.6367444848845,0.000348219413486931,0.00275996127726679,0.000543032223761296,"S100a8/S100a9",2
"GO:0071621","granulocyte chemotaxis","2/7","137/28905",0.0145985401459854,60.281543274244,10.8247793004666,0.000461084559213086,0.00332326915050696,0.000653865056666397,"S100a8/S100a9",2
"GO:0002526","acute inflammatory response","2/7","138/28905",0.0144927536231884,59.8447204968944,10.7843472089961,0.000467811172752848,0.00332326915050696,0.000653865056666397,"Ighg2b/Elane",2
"GO:0021782","glial cell development","2/7","140/28905",0.0142857142857143,58.9897959183673,10.7047741740426,0.000481408147970635,0.00332326915050696,0.000653865056666397,"S100a8/S100a9",2
"GO:1990266","neutrophil migration","2/7","140/28905",0.0142857142857143,58.9897959183673,10.7047741740426,0.000481408147970635,0.00332326915050696,0.000653865056666397,"S100a8/S100a9",2
"GO:2001056","positive regulation of cysteine-type endopeptidase activity","2/7","144/28905",0.0138888888888889,57.3511904761905,10.5505828285206,0.000509176617799218,0.00340511863153227,0.00066996923394634,"S100a8/S100a9",2
"GO:0002793","positive regulation of peptide secretion","2/7","154/28905",0.012987012987013,53.6270871985158,10.1914814276459,0.000581942852314197,0.00366281677633054,0.000720672262927798,"S100a8/S100a9",2
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","2/7","154/28905",0.012987012987013,53.6270871985158,10.1914814276459,0.000581942852314197,0.00366281677633054,0.000720672262927798,"S100a9/Elane",2
"GO:0002444","myeloid leukocyte mediated immunity","2/7","157/28905",0.0127388535031847,52.6023657870792,10.0904311165921,0.00060470269702389,0.00369732506180321,0.00072746189115656,"Ighg2b/Elane",2
"GO:0010950","positive regulation of endopeptidase activity","2/7","164/28905",0.0121951219512195,50.3571428571429,9.86540909903389,0.000659474255470882,0.00392020807418802,0.000771314918679394,"S100a8/S100a9",2
"GO:0097530","granulocyte migration","2/7","169/28905",0.0118343195266272,48.8672865595943,9.71321731066608,0.000700021634385056,0.00403543459896496,0.000793986148345294,"S100a8/S100a9",2
"GO:0062207","regulation of pattern recognition receptor signaling pathway","2/7","171/28905",0.0116959064327485,48.2957393483709,9.65419643803346,0.000716572498881628,0.00403543459896496,0.000793986148345294,"S100a8/S100a9",2
"GO:2001235","positive regulation of apoptotic signaling pathway","2/7","176/28905",0.0113636363636364,46.9237012987013,9.51101931560985,0.00075877826703523,0.00416355254219331,0.00081919381056435,"S100a8/S100a9",2
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/7","187/28905",0.0106951871657754,44.1634835752483,9.21625105089287,0.000855788810733317,0.00451430845093604,0.000888206286460609,"S100a8/S100a9",2
"GO:0010952","positive regulation of peptidase activity","2/7","188/28905",0.0106382978723404,43.9285714285714,9.1907283059489,0.000864890871441018,0.00451430845093604,0.000888206286460609,"S100a8/S100a9",2
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","2/7","194/28905",0.0103092783505155,42.5699558173785,9.04170574601082,0.000920491348454407,0.00469012258498198,0.000922798344315195,"S100a8/S100a9",2
"GO:2000116","regulation of cysteine-type endopeptidase activity","2/7","220/28905",0.00909090909090909,37.538961038961,8.46709063279679,0.0011809243926522,0.00587715860529233,0.00115635191446972,"S100a8/S100a9",2
"GO:0006909","phagocytosis","2/7","239/28905",0.00836820083682008,34.5546921697549,8.10704833043342,0.00139115648471348,0.00676607926656103,0.0013312502246062,"Ighg2b/Elane",2
"GO:0030595","leukocyte chemotaxis","2/7","242/28905",0.00826446280991736,34.1263282172373,8.05404890995912,0.00142587960669435,0.0067808496851687,0.00133415635714092,"S100a8/S100a9",2
"GO:0097529","myeloid leukocyte migration","2/7","255/28905",0.00784313725490196,32.3865546218487,7.83511766158404,0.0015811437352255,0.00735575563778819,0.00144727115352448,"S100a8/S100a9",2
"GO:0002221","pattern recognition receptor signaling pathway","2/7","267/28905",0.00749063670411985,30.9309791332263,7.64714479442767,0.00173136049201576,0.00784330822028397,0.00154319886282026,"S100a8/S100a9",2
"GO:0002791","regulation of peptide secretion","2/7","270/28905",0.00740740740740741,30.5873015873016,7.60208546624497,0.00176994562353415,0.00784330822028397,0.00154319886282026,"S100a8/S100a9",2
"GO:0090087","regulation of peptide transport","2/7","272/28905",0.00735294117647059,30.3623949579832,7.5724532782339,0.00179589767660708,0.00784330822028397,0.00154319886282026,"S100a8/S100a9",2
"GO:0002758","innate immune response-activating signaling pathway","2/7","278/28905",0.00719424460431655,29.7070914696814,7.48544757306186,0.00187484982341311,0.00802435724420811,0.00157882090392683,"S100a8/S100a9",2
"GO:0010001","glial cell differentiation","2/7","293/28905",0.0068259385665529,28.1862506094588,7.27952629160769,0.00207940279065652,0.0087253372000097,0.00171674121003634,"S100a8/S100a9",2
"GO:0002218","activation of innate immune response","2/7","303/28905",0.0066006600660066,27.2560113154173,7.15065730332487,0.00222144281263321,0.00914209157506744,0.00179873911954106,"S100a8/S100a9",2
"GO:0016068","type I hypersensitivity","1/7","10/28905",0.1,412.928571428571,20.2770451062271,0.00241946518885761,0.00976916132859486,0.00192211732977764,"Ighg2b",1
"GO:0002790","peptide secretion","2/7","330/28905",0.00606060606060606,25.025974025974,6.83185994404044,0.00262747227718571,0.010161514816393,0.00199931427769661,"S100a8/S100a9",2
"GO:0002536","respiratory burst involved in inflammatory response","1/7","11/28905",0.0909090909090909,375.38961038961,19.3290450150739,0.00266113550357217,0.010161514816393,0.00199931427769661,"S100a9",1
"GO:0060326","cell chemotaxis","2/7","334/28905",0.00598802395209581,24.7262617621899,6.78787648662548,0.00269040644103828,0.010161514816393,0.00199931427769661,"S100a8/S100a9",2
"GO:0052548","regulation of endopeptidase activity","2/7","336/28905",0.00595238095238095,24.5790816326531,6.76617312947913,0.00272214164257522,0.010161514816393,0.00199931427769661,"S100a8/S100a9",2
"GO:0097193","intrinsic apoptotic signaling pathway","2/7","338/28905",0.00591715976331361,24.4336432797971,6.74465823823221,0.00275405541752708,0.010161514816393,0.00199931427769661,"S100a8/S100a9",2
"GO:0002778","antibacterial peptide production","1/7","12/28905",0.0833333333333333,344.107142857143,18.501978183001,0.00290275563409992,0.010353161761623,0.00203702149761398,"Elane",1
"GO:0070944","neutrophil-mediated killing of bacterium","1/7","12/28905",0.0833333333333333,344.107142857143,18.501978183001,0.00290275563409992,0.010353161761623,0.00203702149761398,"Elane",1
"GO:0015833","peptide transport","2/7","351/28905",0.0056980056980057,23.5286935286935,6.60921969952377,0.00296583873124235,0.010404745712883,0.00204717082398092,"S100a8/S100a9",2
"GO:0045862","positive regulation of proteolysis","2/7","357/28905",0.00560224089635854,23.1332533013205,6.54916028006929,0.00306611785874674,0.0105830519640613,0.00208225321476858,"S100a8/S100a9",2
"GO:0002775","antimicrobial peptide production","1/7","14/28905",0.0714285714285714,294.948979591837,17.121775115487,0.00338584537733255,0.0113214204804557,0.00222752985350826,"Elane",1
"GO:0032717","negative regulation of interleukin-8 production","1/7","14/28905",0.0714285714285714,294.948979591837,17.121775115487,0.00338584537733255,0.0113214204804557,0.00222752985350826,"Elane",1
"GO:0042886","amide transport","2/7","386/28905",0.00518134715025907,21.3952627683198,6.27841344955626,0.00357322170840203,0.0114153736997686,0.00224601548446012,"S100a8/S100a9",2
"GO:0002679","respiratory burst involved in defense response","1/7","15/28905",0.0666666666666667,275.285714285714,16.5374730027355,0.0036273150074031,0.0114153736997686,0.00224601548446012,"S100a9",1
"GO:0070943","neutrophil-mediated killing of symbiont cell","1/7","15/28905",0.0666666666666667,275.285714285714,16.5374730027355,0.0036273150074031,0.0114153736997686,0.00224601548446012,"Elane",1
"GO:1903238","positive regulation of leukocyte tethering or rolling","1/7","15/28905",0.0666666666666667,275.285714285714,16.5374730027355,0.0036273150074031,0.0114153736997686,0.00224601548446012,"Elane",1
"GO:0042063","gliogenesis","2/7","397/28905",0.00503778337531486,20.8024469233537,6.18336434198944,0.00377523680090504,0.0117087054404881,0.00230372955051414,"S100a8/S100a9",2
"GO:0045089","positive regulation of innate immune response","2/7","404/28905",0.00495049504950495,20.4420084865629,6.12485572082954,0.00390654383376294,0.0119428625775039,0.00234980080226342,"S100a8/S100a9",2
"GO:0070942","neutrophil mediated cytotoxicity","1/7","17/28905",0.0588235294117647,242.899159663866,15.5272370591352,0.00411010382785548,0.0123882002698743,0.00243742258138205,"Elane",1
"GO:0002440","production of molecular mediator of immune response","2/7","423/28905",0.00472813238770686,19.5238095238095,5.97323154749201,0.00427368942768843,0.0127023546878517,0.00249923358344353,"Igkv8-21/Elane",2
"GO:0060263","regulation of respiratory burst","1/7","18/28905",0.0555555555555556,229.404761904762,15.0863537446225,0.00435142303559577,0.0127562264331164,0.00250983304143952,"S100a9",1
"GO:0002833","positive regulation of response to biotic stimulus","2/7","431/28905",0.00464037122969838,19.1614186277759,5.91232453263058,0.00443295390583358,0.0127704582721909,0.00251263320653043,"S100a8/S100a9",2
"GO:2001233","regulation of apoptotic signaling pathway","2/7","436/28905",0.00458715596330275,18.9416775884666,5.87508680170529,0.00453389607643248,0.0127704582721909,0.00251263320653043,"S100a8/S100a9",2
"GO:0001878","response to yeast","1/7","19/28905",0.0526315789473684,217.330827067669,14.6806609451258,0.00459269211991598,0.0127704582721909,0.00251263320653043,"Elane",1
"GO:0051047","positive regulation of secretion","2/7","439/28905",0.00455580865603645,18.8122356003905,5.85304104143659,0.00459497797644253,0.0127704582721909,0.00251263320653043,"S100a8/S100a9",2
"GO:0006935","chemotaxis","2/7","465/28905",0.0043010752688172,17.7603686635945,5.67073494600405,0.0051405165073392,0.0140418586701152,0.00276278576883722,"S100a8/S100a9",2
"GO:0042330","taxis","2/7","467/28905",0.00428265524625268,17.6843071275619,5.65732582618749,0.00518367679878083,0.0140418586701152,0.00276278576883722,"S100a8/S100a9",2
"GO:0002697","regulation of immune effector process","2/7","473/28905",0.00422832980972516,17.4599818785865,5.61759361893377,0.00531417834140935,0.01421542706327,0.00279693596916282,"Ighg2b/S100a9",2
"GO:0002544","chronic inflammatory response","1/7","23/28905",0.0434782608695652,179.534161490683,13.3310916837784,0.00555726739649476,0.0143866883688472,0.00283063224178007,"S100a9",1
"GO:0002757","immune response-activating signaling pathway","2/7","486/28905",0.00411522633744856,16.9929453262787,5.53396352208394,0.00560217026024953,0.0143866883688472,0.00283063224178007,"S100a8/S100a9",2
"GO:0045088","regulation of innate immune response","2/7","486/28905",0.00411522633744856,16.9929453262787,5.53396352208394,0.00560217026024953,0.0143866883688472,0.00283063224178007,"S100a8/S100a9",2
"GO:0051345","positive regulation of hydrolase activity","2/7","488/28905",0.0040983606557377,16.9233021077283,5.52138502708071,0.00564711132235124,0.0143866883688472,0.00283063224178007,"S100a8/S100a9",2
"GO:1903236","regulation of leukocyte tethering or rolling","1/7","24/28905",0.0416666666666667,172.053571428571,13.0474534104337,0.00579828599382959,0.0145605453363638,0.00286483922014045,"Elane",1
"GO:0002764","immune response-regulating signaling pathway","2/7","497/28905",0.00402414486921529,16.6168439206669,5.46569301432212,0.00585143410713687,0.0145605453363638,0.00286483922014045,"S100a8/S100a9",2
"GO:0030194","positive regulation of blood coagulation","1/7","26/28905",0.0384615384615385,158.818681318681,12.5299145649597,0.00628017298302208,0.0152722388450764,0.00300486745599143,"S100a9",1
"GO:1900048","positive regulation of hemostasis","1/7","26/28905",0.0384615384615385,158.818681318681,12.5299145649597,0.00628017298302208,0.0152722388450764,0.00300486745599143,"S100a9",1
"GO:0051873","killing by host of symbiont cells","1/7","27/28905",0.037037037037037,152.936507936508,12.2929061906645,0.00652104139221621,0.0155055873103808,0.00305077959869764,"Elane",1
"GO:1904996","positive regulation of leukocyte adhesion to vascular endothelial cell","1/7","27/28905",0.037037037037037,152.936507936508,12.2929061906645,0.00652104139221621,0.0155055873103808,0.00305077959869764,"Elane",1
"GO:0050820","positive regulation of coagulation","1/7","29/28905",0.0344827586206897,142.389162561576,11.8560686543074,0.00700262808313279,0.0164677187889057,0.00324008239821066,"S100a9",1
"GO:0045730","respiratory burst","1/7","31/28905",0.032258064516129,133.202764976959,11.4620423864079,0.00748401466184934,0.0170419736823596,0.00335306909638163,"S100a9",1
"GO:0001796","regulation of type IIa hypersensitivity","1/7","32/28905",0.03125,129.040178571429,11.2789690728311,0.00772463293078918,0.0170419736823596,0.00335306909638163,"Ighg2b",1
"GO:0001798","positive regulation of type IIa hypersensitivity","1/7","32/28905",0.03125,129.040178571429,11.2789690728311,0.00772463293078918,0.0170419736823596,0.00335306909638163,"Ighg2b",1
"GO:0002892","regulation of type II hypersensitivity","1/7","32/28905",0.03125,129.040178571429,11.2789690728311,0.00772463293078918,0.0170419736823596,0.00335306909638163,"Ighg2b",1
"GO:0002894","positive regulation of type II hypersensitivity","1/7","32/28905",0.03125,129.040178571429,11.2789690728311,0.00772463293078918,0.0170419736823596,0.00335306909638163,"Ighg2b",1
"GO:0006910","phagocytosis, recognition","1/7","32/28905",0.03125,129.040178571429,11.2789690728311,0.00772463293078918,0.0170419736823596,0.00335306909638163,"Ighg2b",1
"GO:0001794","type IIa hypersensitivity","1/7","35/28905",0.0285714285714286,117.979591836735,10.7774206216242,0.00844618775985639,0.0180748418060927,0.00355628958309743,"Ighg2b",1
"GO:0002445","type II hypersensitivity","1/7","35/28905",0.0285714285714286,117.979591836735,10.7774206216242,0.00844618775985639,0.0180748418060927,0.00355628958309743,"Ighg2b",1
"GO:0032682","negative regulation of chemokine production","1/7","35/28905",0.0285714285714286,117.979591836735,10.7774206216242,0.00844618775985639,0.0180748418060927,0.00355628958309743,"Elane",1
"GO:0002885","positive regulation of hypersensitivity","1/7","37/28905",0.027027027027027,111.602316602317,10.4773351924616,0.0089269744176852,0.0189145794592538,0.00372151096099435,"Ighg2b",1
