"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","leukocyte migration","10/73","402/28905",0.0248756218905473,9.8497239828256,8.9908444777741,6.89915734208387e-08,0.000133843652436427,9.86216386373673e-05,"Elane/Cd74/Prtn3/Ripor2/Ctsg/Lyst/Dock8/App/Myo1f/Wnk1",10
"GO:0042742","defense response to bacterium","9/73","430/28905",0.0209302325581395,8.28751194647977,7.66098586103781,1.37382950415263e-06,0.000898649364252688,0.000662162689449349,"Ighg2b/Elane/Ighg2c/Jchain/Mpo/Ctsg/Lyst/App/Myo1f",9
"GO:0019731","antibacterial humoral response","6/73","138/28905",0.0434782608695652,17.2156045265039,9.60789880589477,1.38966396533921e-06,0.000898649364252688,0.000662162689449349,"Ighg2b/Elane/Ighg2c/Jchain/Ctsg/App",6
"GO:0002446","neutrophil mediated immunity","4/73","41/28905",0.0975609756097561,38.6301369863014,12.132561164388,3.53182225619219e-06,0.00122880525673702,0.000905435452332544,"Elane/Ctsg/Lyst/Myo1f",4
"GO:0002685","regulation of leukocyte migration","7/73","253/28905",0.0276679841897233,10.9553846986843,8.0028348712466,3.60864051730922e-06,0.00122880525673702,0.000905435452332544,"Elane/Cd74/Ripor2/Dock8/App/Myo1f/Wnk1",7
"GO:0097529","myeloid leukocyte migration","7/73","255/28905",0.0274509803921569,10.8694601128122,7.96533769976208,3.80042862908358e-06,0.00122880525673702,0.000905435452332544,"Cd74/Prtn3/Ripor2/Ctsg/Lyst/App/Myo1f",7
"GO:0002687","positive regulation of leukocyte migration","6/73","179/28905",0.0335195530726257,13.2723655008801,8.28743696713847,6.25858946008229e-06,0.00173452336465138,0.00127806984763786,"Cd74/Ripor2/Dock8/App/Myo1f/Wnk1",6
"GO:1903037","regulation of leukocyte cell-cell adhesion","8/73","405/28905",0.0197530864197531,7.82141045154744,6.95636375452,8.41658096188217e-06,0.00184314094907875,0.00135810385721592,"Elane/Cd74/Ripor2/Ctsg/Dock8/Ppp3ca/Pag1/Wnk1",8
"GO:2000404","regulation of T cell migration","4/73","51/28905",0.0784313725490196,31.0556003223207,10.8096218366934,8.55065388747872e-06,0.00184314094907875,0.00135810385721592,"Ripor2/Dock8/App/Wnk1",4
"GO:0002440","production of molecular mediator of immune response","8/73","423/28905",0.0189125295508274,7.48858447488584,6.76453464540001,1.15303232657383e-05,0.00223688271355323,0.00164822936788133,"Igkv8-21/Igkv12-89/Igkv4-59/Igkv5-39/Elane/Igkv14-126/Cd74/Il31ra",8
"GO:0001878","response to yeast","3/73","19/28905",0.157894736842105,62.519826964672,13.4974342936795,1.45458415070619e-05,0.00243548688404312,0.00179456928297914,"Elane/Mpo/App",3
"GO:0007264","small GTPase-mediated signal transduction","8/73","439/28905",0.0182232346241458,7.21565201110868,6.60326534703929,1.50648673239781e-05,0.00243548688404312,0.00179456928297914,"Ripor2/Rasa2/Dock2/Dock8/Akap13/Cbl/Elmo1/Ppp2cb",8
"GO:0007159","leukocyte cell-cell adhesion","8/73","445/28905",0.0179775280898876,7.11836232107126,6.54486614827421,1.66067016593397e-05,0.00247823086300916,0.0018260648464278,"Elane/Cd74/Ripor2/Ctsg/Dock8/Ppp3ca/Pag1/Wnk1",8
"GO:0050832","defense response to fungus","4/73","64/28905",0.0625,24.7474315068493,9.56983595361828,2.1208014452239e-05,0.00271118984931995,0.00199771883634101,"Elane/Mpo/Ctsg/App",4
