"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045088","regulation of innate immune response","41/248","486/28905",0.0843621399176955,9.83261150935882,18.268055420021,1.86468301897288e-28,5.45792719653362e-25,4.3142876586341e-25,"H2-K1/Rsad2/Isg15/Irf7/H2-D1/H2-Q4/H2-Q6/H2-Q7/Nfkbia/Ifi204/Oas1g/Hmgb2/H2-T22/Oasl1/Oas1a/Zbp1/Eif2ak2/Trim30d/H2-T23/Ninj1/Hspa8/Lgals9/Ddx60/Oas3/Tap1/Ifih1/Clec2d/Trafd1/Bcl10/Gbp7/Cnot7/Ifi35/Irf1/Rnf125/Rigi/Trim12c/H2-M3/Irgm1/Nmi/Igtp/Dhx58",41
"GO:0009615","response to virus","37/248","377/28905",0.0981432360742706,11.4388316077693,18.9791324632963,4.50260432793227e-28,6.58956143392888e-25,5.20880226989217e-25,"Ifi27l2a/Rtp4/Rsad2/Isg15/Irf7/Oasl2/Ifit3/Ifitm3/Ifi204/Oas1g/Ifit1/Ifit3b/Slfn8/Oasl1/Oas1a/Bst2/Zbp1/Eif2ak2/Trim30d/Oas2/Lgals9/Ddx60/Oas3/Ifih1/Ifit1bl2/Gbp7/Cnot7/Ifit2/Irf1/Rigi/Trim12c/Isg20/Irgm1/Stat1/Nmi/Igtp/Dhx58",37
"GO:0051607","defense response to virus","34/248","314/28905",0.10828025477707,12.6203256626258,19.2600718779061,2.85098237068497e-27,2.78160846633164e-24,2.19875763184757e-24,"Rtp4/Rsad2/Isg15/Irf7/Oasl2/Ifit3/Ifitm3/Ifi204/Oas1g/Ifit1/Ifit3b/Slfn8/Oasl1/Oas1a/Bst2/Zbp1/Eif2ak2/Trim30d/Oas2/Ddx60/Oas3/Ifih1/Ifit1bl2/Gbp7/Cnot7/Ifit2/Irf1/Rigi/Trim12c/Isg20/Irgm1/Stat1/Igtp/Dhx58",34
"GO:0045089","positive regulation of innate immune response","36/248","404/28905",0.0891089108910891,10.3858591504312,17.673563270519,7.30929954125837e-26,5.34857993931582e-23,4.22785273465419e-23,"H2-K1/Rsad2/Irf7/H2-D1/H2-Q4/H2-Q6/H2-Q7/Nfkbia/Ifi204/Oas1g/Hmgb2/H2-T22/Oasl1/Oas1a/Zbp1/Eif2ak2/Trim30d/H2-T23/Ninj1/Hspa8/Lgals9/Ddx60/Oas3/Ifih1/Bcl10/Gbp7/Ifi35/Irf1/Rnf125/Rigi/Trim12c/H2-M3/Irgm1/Nmi/Igtp/Dhx58",36
"GO:0002833","positive regulation of response to biotic stimulus","36/248","431/28905",0.0835266821345708,9.73523688346681,16.9972449960375,6.84437405926005e-25,4.00669657429083e-22,3.16714403836918e-22,"H2-K1/Rsad2/Irf7/H2-D1/H2-Q4/H2-Q6/H2-Q7/Nfkbia/Ifi204/Oas1g/Hmgb2/H2-T22/Oasl1/Oas1a/Zbp1/Eif2ak2/Trim30d/H2-T23/Ninj1/Hspa8/Lgals9/Ddx60/Oas3/Ifih1/Bcl10/Gbp7/Ifi35/Irf1/Rnf125/Rigi/Trim12c/H2-M3/Irgm1/Nmi/Igtp/Dhx58",36
"GO:0048525","negative regulation of viral process","19/248","116/28905",0.163793103448276,19.0904824805339,18.1616502285482,3.75975453179231e-19,1.83413358575935e-16,1.44981411594377e-16,"Rsad2/Isg15/Oasl2/Ifitm3/Ifi204/Oas1g/Oasl1/Oas1a/Bst2/Eif2ak2/Trim30d/Ly6e/Oas2/Oas3/Zfp36/Ifih1/Trim12c/Isg20/Stat1",19
"GO:0002832","negative regulation of response to biotic stimulus","21/248","167/28905",0.125748502994012,14.6562922542013,16.4646392920777,1.40797261832648e-18,5.88733693405945e-16,4.65372002267911e-16,"H2-K1/Isg15/H2-D1/H2-Q4/H2-Q6/H2-Q7/Ifi204/Oas1g/H2-T22/Oas1a/H2-T23/Lgals9/Oas3/Tap1/Clec2d/Trafd1/Cnot7/Irgm1/Nmi/Igtp/Dhx58",21
"GO:0002218","activation of innate immune response","26/248","303/28905",0.0858085808580858,10.0011977004152,14.6525383423225,1.66492642091473e-18,6.09154954252176e-16,4.81514246469812e-16,"Rsad2/Irf7/Nfkbia/Ifi204/Oas1g/Oasl1/Oas1a/Zbp1/Eif2ak2/Trim30d/Ninj1/Hspa8/Ddx60/Oas3/Ifih1/Bcl10/Gbp7/Ifi35/Irf1/Rnf125/Rigi/Trim12c/Irgm1/Nmi/Igtp/Dhx58",26
"GO:0031348","negative regulation of defense response","26/248","312/28905",0.0833333333333333,9.71270161290323,14.3942727801346,3.44279461533447e-18,1.11967331545378e-15,8.85059949064932e-16,"H2-K1/Isg15/H2-D1/H2-Q4/H2-Q6/H2-Q7/Ifi204/Oas1g/H2-T22/Oas1a/H2-T23/Lgals9/Oas3/Zfp36/Tap1/Tnfaip8l2/Clec2d/Trafd1/Cnot7/Tnfrsf1a/Irgm1/Sharpin/Psma1/Nmi/Igtp/Dhx58",26
"GO:0045824","negative regulation of innate immune response","19/248","137/28905",0.138686131386861,16.1642041441017,16.5506297681797,9.72930712393139e-18,2.84776819517472e-15,2.25105442720013e-15,"H2-K1/Isg15/H2-D1/H2-Q4/H2-Q6/H2-Q7/Ifi204/Oas1g/H2-T22/Oas1a/H2-T23/Lgals9/Oas3/Tap1/Clec2d/Trafd1/Cnot7/Nmi/Dhx58",19
"GO:0032102","negative regulation of response to external stimulus","30/248","470/28905",0.0638297872340425,7.43951612903226,13.0937788286297,1.36931773989536e-17,3.64363002243065e-15,2.88015348544497e-15,"H2-K1/Isg15/H2-D1/H2-Q4/Thbs1/H2-Q6/H2-Q7/Ifi204/Oas1g/H2-T22/Oas1a/H2-T23/Plaur/Dusp1/Lgals9/Oas3/Zfp36/Tap1/Tnfaip8l2/Coro1b/Clec2d/Trafd1/Cnot7/Tnfrsf1a/Irgm1/Sharpin/Psma1/Nmi/Igtp/Dhx58",30
"GO:0032606","type I interferon production","18/248","141/28905",0.127659574468085,14.8790322580645,15.3685733525961,3.26030628530179e-16,7.95243041423195e-14,6.28609931148538e-14,"Isg15/Irf7/Xaf1/Oas1g/Hmgb2/Oas1a/Irf9/Oas2/Oas3/Ifih1/Irf1/Rnf125/Rigi/Irgm1/Stat1/Nmi/Igtp/Dhx58",18
"GO:0050792","regulation of viral process","20/248","191/28905",0.104712041884817,12.2044418172606,14.452717511893,3.60188797500297e-16,8.10978930987206e-14,6.41048564296074e-14,"Rsad2/Isg15/Oasl2/Ifitm3/Ifi204/Oas1g/Oasl1/Oas1a/Bst2/Eif2ak2/Trim30d/Ly6e/Oas2/Oas3/Zfp36/Ifih1/Cnot7/Trim12c/Isg20/Stat1",20
"GO:0045071","negative regulation of viral genome replication","14/248","67/28905",0.208955223880597,24.3542368801156,17.8036876498863,5.29301570221748e-16,1.10661835431361e-13,8.74740489734889e-14,"Rsad2/Isg15/Oasl2/Ifitm3/Ifi204/Oas1g/Oasl1/Oas1a/Bst2/Eif2ak2/Oas2/Oas3/Ifih1/Isg20",14
"GO:0035456","response to interferon-beta","14/248","72/28905",0.194444444444444,22.6629704301075,17.120986782219,1.5560641578385e-15,3.03639985999552e-13,2.40016071503791e-13,"Ifit3/Ifitm3/Ifi204/Xaf1/Oas1g/Ifit1/Oas1a/Bst2/Gbp7/Irf1/Irgm1/Gm12185/Stat1/Igtp",14
"GO:0002221","pattern recognition receptor signaling pathway","22/248","267/28905",0.0823970037453183,9.60357013410656,13.1387014552226,1.85503783128479e-15,3.3935598326066e-13,2.68248233760787e-13,"Rsad2/Irf7/Nfkbia/Ifi204/Oas1g/Oasl1/Oas1a/Eif2ak2/Ninj1/Hspa8/Ddx60/Oas3/Ifih1/Bcl10/Ifi35/Irf1/Rnf125/Rigi/Irgm1/Nmi/Igtp/Dhx58",22
"GO:0002757","immune response-activating signaling pathway","28/248","486/28905",0.0576131687242798,6.71495420151334,11.8199583402379,2.376437432818e-15,4.09166609756369e-13,3.234309273891e-13,"H2-K1/Rsad2/Irf7/H2-D1/H2-Q4/H2-Q6/H2-Q7/Nfkbia/Ifi204/Oas1g/Oasl1/Oas1a/Eif2ak2/Ninj1/Hspa8/Ddx60/Oas3/Ifih1/Laptm5/Bcl10/Ifi35/Irf1/Rnf125/Rigi/Irgm1/Nmi/Igtp/Dhx58",28
"GO:0050777","negative regulation of immune response","21/248","241/28905",0.0871369294605809,10.1560199437826,13.2781113572304,2.70072847971632e-15,4.39168458896093e-13,3.47146268913244e-13,"H2-K1/Isg15/H2-D1/H2-Q4/H2-Q6/H2-Q7/Ifi204/Oas1g/H2-T22/Oas1a/H2-T23/Lgals9/Oas3/Tap1/Clec2d/Trafd1/Cnot7/Irf1/Psma1/Nmi/Dhx58",21
"GO:1903900","regulation of viral life cycle","18/248","160/28905",0.1125,13.1121471774194,14.2918821732074,3.15970423447165e-15,4.64573188641255e-13,3.67227759205034e-13,"Rsad2/Isg15/Oasl2/Ifitm3/Ifi204/Oas1g/Oasl1/Oas1a/Bst2/Eif2ak2/Trim30d/Ly6e/Oas2/Oas3/Ifih1/Cnot7/Trim12c/Isg20",18
"GO:0032479","regulation of type I interferon production","17/248","136/28905",0.125,14.5690524193548,14.7552320587385,3.1743982824821e-15,4.64573188641255e-13,3.67227759205034e-13,"Isg15/Irf7/Xaf1/Oas1g/Hmgb2/Oas1a/Oas2/Oas3/Ifih1/Irf1/Rnf125/Rigi/Irgm1/Stat1/Nmi/Igtp/Dhx58",17
"GO:0002764","immune response-regulating signaling pathway","28/248","497/28905",0.0563380281690141,6.56633348477965,11.6443845503902,4.1706033524509e-15,5.72454235079815e-13,4.52503698309904e-13,"H2-K1/Rsad2/Irf7/H2-D1/H2-Q4/H2-Q6/H2-Q7/Nfkbia/Ifi204/Oas1g/Oasl1/Oas1a/Eif2ak2/Ninj1/Hspa8/Ddx60/Oas3/Ifih1/Laptm5/Bcl10/Ifi35/Irf1/Rnf125/Rigi/Irgm1/Nmi/Igtp/Dhx58",28
"GO:0002758","innate immune response-activating signaling pathway","22/248","278/28905",0.079136690647482,9.22357275469947,12.8169435286677,4.30269667637716e-15,5.72454235079815e-13,4.52503698309904e-13,"Rsad2/Irf7/Nfkbia/Ifi204/Oas1g/Oasl1/Oas1a/Eif2ak2/Ninj1/Hspa8/Ddx60/Oas3/Ifih1/Bcl10/Ifi35/Irf1/Rnf125/Rigi/Irgm1/Nmi/Igtp/Dhx58",22
"GO:0032760","positive regulation of tumor necrosis factor production","17/248","142/28905",0.119718309859155,13.9534586551567,14.3946887139325,6.6156871494579e-15,8.41918099411447e-13,6.65504821716634e-13,"H2-K1/H2-D1/H2-Q4/Thbs1/H2-Q6/H2-Q7/Oas1g/H2-T22/Oas1a/Fcgr3/H2-T23/Oas2/Lgals9/Oas3/Ifih1/Tnfrsf1a/Rigi",17
"GO:0001906","cell killing","22/248","285/28905",0.0771929824561404,8.99702886247878,12.6213477146862,7.20677522480907e-15,8.78926295125673e-13,6.94758418602208e-13,"H2-K1/B2m/H2-D1/H2-Q4/H2-Q6/H2-Q7/H2-T22/Lyz2/Prdx1/Fcgr3/H2-T23/Ninj1/Lgals9/Hmgn2/Tap1/Clec2d/Gbp7/Trem1/Hmgn2-ps/H2-T24/H2-M3/Igtp",22
