"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045088","regulation of innate immune response","38/336","486/28905",0.0781893004115226,6.72637419165197,13.8068483837061,1.99489301338288e-20,6.68289159483264e-17,5.35681271277866e-17,"H2-D1/H2-K1/Trim30a/H2-T22/Isg15/Oas1g/H2-M3/Irf7/H2-Q6/Hspa8/Ifi35/H2-Q4/Mndal/Clec2d/H2-Q7/Oas1a/Pycard/Irgm1/Ifi203/Tap1/Ifi211/Ifi209/Dhx58/Myd88/Nagk/Trim12c/Flot1/Nfkbia/H2-T10/Sting1/Trafd1/Pqbp1/Irf1/Gfer/Card9/Samhd1/Trim30d/Tifab",38
"GO:0019882","antigen processing and presentation","22/336","135/28905",0.162962962962963,14.0191798941799,16.4430233953958,4.50338713969625e-19,7.54317345899121e-16,6.04638978598165e-16,"H2-D1/H2-K1/B2m/H2-T22/H2-M3/Psmb8/H2-Q6/Psme2/Psme1/Psmb9/H2-DMb1/H2-Q4/H2-Q7/Pycard/H2-DMa/Tap1/Cd68/Pdia3/Psap/H2-T10/Mpeg1/Ctss",22
"GO:0051607","defense response to virus","29/336","314/28905",0.0923566878980892,7.94514899909008,13.4193911553758,9.2048787432265e-18,1.02787812632696e-14,8.23917392069151e-15,"Bst2/Oasl2/Trim30a/Isg15/Oas1g/Irf7/Ifitm3/Slfn8/Mndal/Oas1a/Pycard/Irgm1/Ifi203/Rtp4/Ifi211/Ifi209/Dhx58/Oas2/Myd88/Trim12c/Stat1/Sting1/Ifitm2/Tagap/Pqbp1/Irf1/Card9/Samhd1/Trim30d",29
"GO:0045089","positive regulation of innate immune response","32/336","404/28905",0.0792079207920792,6.81400282885431,12.7625355751282,1.6153564653188e-17,1.22593666656443e-14,9.8267539242918e-15,"H2-D1/H2-K1/Trim30a/H2-T22/Oas1g/H2-M3/Irf7/H2-Q6/Hspa8/Ifi35/H2-Q4/Mndal/H2-Q7/Oas1a/Pycard/Irgm1/Ifi203/Ifi211/Ifi209/Dhx58/Myd88/Nagk/Trim12c/Flot1/Nfkbia/H2-T10/Sting1/Pqbp1/Irf1/Card9/Trim30d/Tifab",32
"GO:0009615","response to virus","31/336","377/28905",0.0822281167108753,7.07382057597575,12.8735422925363,1.82975621875288e-17,1.22593666656443e-14,9.8267539242918e-15,"Bst2/Ifi27l2a/Oasl2/Trim30a/Isg15/Oas1g/Irf7/Ifitm3/Slfn8/Mndal/Oas1a/Pycard/Irgm1/Ifi203/Rtp4/Ifi211/Ifi209/Dhx58/Oas2/Myd88/Trim12c/Stat1/Aup1/Sting1/Ifitm2/Tagap/Pqbp1/Irf1/Card9/Samhd1/Trim30d",31
"GO:0002833","positive regulation of response to biotic stimulus","32/336","431/28905",0.074245939675174,6.38713954259198,12.2200705539617,1.04982589157429e-16,5.86152789462314e-14,4.69843131474741e-14,"H2-D1/H2-K1/Trim30a/H2-T22/Oas1g/H2-M3/Irf7/H2-Q6/Hspa8/Ifi35/H2-Q4/Mndal/H2-Q7/Oas1a/Pycard/Irgm1/Ifi203/Ifi211/Ifi209/Dhx58/Myd88/Nagk/Trim12c/Flot1/Nfkbia/H2-T10/Sting1/Pqbp1/Irf1/Card9/Trim30d/Tifab",32
"GO:0045824","negative regulation of innate immune response","20/336","137/28905",0.145985401459854,12.5586548488008,14.706652731203,1.74758892377793e-16,8.36346127808008e-14,6.70390878880826e-14,"H2-D1/H2-K1/H2-T22/Isg15/Oas1g/H2-Q6/H2-Q4/Mndal/Clec2d/H2-Q7/Oas1a/Ifi203/Tap1/Ifi211/Ifi209/Dhx58/H2-T10/Trafd1/Gfer/Samhd1",20
"GO:0019884","antigen processing and presentation of exogenous antigen","15/336","60/28905",0.25,21.5066964285714,17.2439656620813,2.32072071680856e-16,9.71801800163584e-14,7.78968230076136e-14,"H2-D1/H2-K1/B2m/H2-T22/H2-M3/H2-Q6/Psme2/Psme1/H2-DMb1/H2-Q4/H2-Q7/H2-DMa/H2-T10/Mpeg1/Ctss",15
"GO:0002832","negative regulation of response to biotic stimulus","21/336","167/28905",0.125748502994012,10.8177395209581,13.7988395327548,6.81478736133091e-16,2.53661529560651e-13,2.03327749225207e-13,"H2-D1/H2-K1/H2-T22/Isg15/Oas1g/H2-Q6/H2-Q4/Mndal/Clec2d/H2-Q7/Oas1a/Irgm1/Ifi203/Tap1/Ifi211/Ifi209/Dhx58/H2-T10/Trafd1/Gfer/Samhd1",21
"GO:0048525","negative regulation of viral process","18/336","116/28905",0.155172413793103,13.3489839901478,14.4526679804817,1.91091661793126e-15,6.40157067006971e-13,5.13131399193961e-13,"Bst2/Oasl2/Trim30a/Isg15/Oas1g/Ifitm3/Ly6e/Mndal/Oas1a/Ifi203/Ifi211/Ifi209/Oas2/Trim12c/Stat1/Ifitm2/Sp100/Trim30d",18
