"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002429","immune response-activating cell surface receptor signaling pathway","13/59","303/28905",0.0429042904290429,21.019466353415,15.8430134237548,3.7504350347192e-14,1.90960113398098e-11,1.40438241291365e-11,"Klrd1/Klrk1/Klre1/Cd8a/Prkch/Klrc1/Klrc2/Skap1/Cblb/Ltf/Cd226/Ptprj/Bcl2",13
"GO:0002757","immune response-activating signaling pathway","15/59","486/28905",0.0308641975308642,15.1208411801632,14.1983045548062,3.96775234453193e-14,1.90960113398098e-11,1.40438241291365e-11,"S100a8/S100a9/Klrd1/Klrk1/Klre1/Cd8a/Prkch/Klrc1/Klrc2/Skap1/Cblb/Ltf/Cd226/Ptprj/Bcl2",15
"GO:0002764","immune response-regulating signaling pathway","15/59","497/28905",0.0301810865191147,14.7861746751697,14.0205103412638,5.48973055151264e-14,1.90960113398098e-11,1.40438241291365e-11,"S100a8/S100a9/Klrd1/Klrk1/Klre1/Cd8a/Prkch/Klrc1/Klrc2/Skap1/Cblb/Ltf/Cd226/Ptprj/Bcl2",15
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","13/59","313/28905",0.0415335463258786,20.347917907619,15.5648993879262,5.68333670827674e-14,1.90960113398098e-11,1.40438241291365e-11,"Klrd1/Klrk1/Klre1/Cd8a/Prkch/Klrc1/Klrc2/Skap1/Cblb/Ltf/Cd226/Ptprj/Bcl2",13
"GO:0002223","stimulatory C-type lectin receptor signaling pathway","5/59","13/28905",0.384615384615385,188.428943937419,30.5690337726273,3.78578270587833e-11,6.87045803568288e-09,5.05275696703182e-09,"Klrd1/Klrk1/Klre1/Klrc1/Klrc2",5
"GO:1990840","response to lectin","5/59","13/28905",0.384615384615385,188.428943937419,30.5690337726273,3.78578270587833e-11,6.87045803568288e-09,5.05275696703182e-09,"Klrd1/Klrk1/Klre1/Klrc1/Klrc2",5
"GO:1990858","cellular response to lectin","5/59","13/28905",0.384615384615385,188.428943937419,30.5690337726273,3.78578270587833e-11,6.87045803568288e-09,5.05275696703182e-09,"Klrd1/Klrk1/Klre1/Klrc1/Klrc2",5
"GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","7/59","61/28905",0.114754098360656,56.2197832731314,19.5251353154042,4.08955835457315e-11,6.87045803568288e-09,5.05275696703182e-09,"Klrd1/Klrk1/Klre1/Klrc1/Klrc2/Klrb1c/Cd226",7
"GO:0002717","positive regulation of natural killer cell mediated immunity","7/59","63/28905",0.111111111111111,54.4350282485876,19.2019711256707,5.16997983241835e-11,7.72050321641141e-09,5.67790767560331e-09,"Klrd1/Klrk1/Klre1/Klrc1/Klrc2/Klrb1c/Cd226",7
"GO:0002449","lymphocyte mediated immunity","12/59","482/28905",0.024896265560166,12.1970602714678,11.2112686127524,2.22112208477196e-10,2.98518808193351e-08,2.19540382905355e-08,"Ighg2b/Ighv1-72/Klrd1/Klrk1/Klre1/Cd8a/Klrc1/Ighg2c/Klrc2/Ighv1-76/Klrb1c/Cd226",12
