"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","12/66","153/28905",0.0784313725490196,34.349376114082,19.7861019635797,1.20147782546549e-15,1.71811329041565e-12,1.20274253896598e-12,"Rps11/Fau/Rpl19/Rps4x/Rpl24/Rpl27a/Rpl17/Rplp0/Rpl29/Rpl28/Rpl21/Rps3",12
"GO:0140236","translation at presynapse","7/66","47/28905",0.148936170212766,65.2272727272727,21.0812393431105,1.36421953624696e-11,5.69955676906919e-09,3.98989951224497e-09,"Rps11/Rpl10/Rpl24/Rpl27a/Rpl17/Rpl29/Rpl28",7
"GO:0140241","translation at synapse","7/66","48/28905",0.145833333333333,63.8683712121212,20.8539381588125,1.59428161372565e-11,5.69955676906919e-09,3.98989951224497e-09,"Rps11/Rpl10/Rpl24/Rpl27a/Rpl17/Rpl29/Rpl28",7
"GO:0140242","translation at postsynapse","7/66","48/28905",0.145833333333333,63.8683712121212,20.8539381588125,1.59428161372565e-11,5.69955676906919e-09,3.98989951224497e-09,"Rps11/Rpl10/Rpl24/Rpl27a/Rpl17/Rpl29/Rpl28",7
"GO:0050863","regulation of T cell activation","10/66","408/28905",0.0245098039215686,10.7341800356506,9.47306960195185,2.93571400558158e-08,8.39614205596331e-06,5.87760846170122e-06,"Lat/H2-D1/Dapl1/Lgals3/H2-K1/Slfn1/Rac2/Ccr2/Il2rg/Rps3",10
"GO:0042098","T cell proliferation","8/66","265/28905",0.030188679245283,13.221269296741,9.56122608398029,1.62908413676459e-07,3.8826505259556e-05,2.71799827028618e-05,"H2-D1/Lgals3/H2-K1/Slfn1/Slfn2/Rac2/Ccr2/Rps3",8
"GO:0042129","regulation of T cell proliferation","7/66","221/28905",0.0316742081447964,13.871863430687,9.18921783366389,7.3754010611617e-07,0.000136424922411563,9.55024668482862e-05,"H2-D1/Lgals3/H2-K1/Slfn1/Rac2/Ccr2/Rps3",7
"GO:0007159","leukocyte cell-cell adhesion","9/66","445/28905",0.0202247191011236,8.85750766087845,7.99113033902398,7.63216349155599e-07,0.000136424922411563,9.55024668482862e-05,"H2-D1/Dapl1/Lgals3/H2-K1/Slfn1/Rac2/Ccr2/Il2rg/Rps3",9
"GO:0046651","lymphocyte proliferation","8/66","378/28905",0.0211640211640212,9.26887926887927,7.74150401532147,2.35512972728242e-06,0.000374203945557095,0.00026195653457843,"H2-D1/Lgals3/H2-K1/Slfn1/Slfn2/Rac2/Ccr2/Rps3",8
"GO:0032943","mononuclear cell proliferation","8/66","385/28905",0.0207792207792208,9.10035419126328,7.65456396730563,2.69721628689524e-06,0.000380120209555144,0.000266098137126935,"H2-D1/Lgals3/H2-K1/Slfn1/Slfn2/Rac2/Ccr2/Rps3",8
"GO:1902903","regulation of supramolecular fiber organization","8/66","398/28905",0.0201005025125628,8.8031064412974,7.49884113110343,3.44532534864763e-06,0.000380120209555144,0.000266098137126935,"Gmfg/Tmsb4x/S100a10/Coro1b/Pfdn5/Tmsb10/Hspa8/Rps3",8
"GO:1902904","negative regulation of supramolecular fiber organization","6/66","179/28905",0.0335195530726257,14.6800406297613,8.78288443186188,3.46230508847856e-06,0.000380120209555144,0.000266098137126935,"Gmfg/Tmsb4x/Coro1b/Pfdn5/Tmsb10/Hspa8",6
"GO:0050670","regulation of lymphocyte proliferation","7/66","280/28905",0.025,10.9488636363636,8.00277468734304,3.5495350329755e-06,0.000380120209555144,0.000266098137126935,"H2-D1/Lgals3/H2-K1/Slfn1/Rac2/Ccr2/Rps3",7
"GO:1903037","regulation of leukocyte cell-cell adhesion","8/66","405/28905",0.0197530864197531,8.65095398428732,7.41790923620288,3.91648832327942e-06,0.000380120209555144,0.000266098137126935,"H2-D1/Dapl1/Lgals3/H2-K1/Slfn1/Ccr2/Il2rg/Rps3",8
"GO:0032944","regulation of mononuclear cell proliferation","7/66","285/28905",0.0245614035087719,10.7567783094099,7.91871834276712,3.9872749254036e-06,0.000380120209555144,0.000266098137126935,"H2-D1/Lgals3/H2-K1/Slfn1/Rac2/Ccr2/Rps3",7
"GO:0070661","leukocyte proliferation","8/66","420/28905",0.019047619047619,8.34199134199134,7.25088880083668,5.11293903640591e-06,0.000456968926378779,0.000319895067343554,"H2-D1/Lgals3/H2-K1/Slfn1/Slfn2/Rac2/Ccr2/Rps3",8
"GO:0051250","negative regulation of lymphocyte activation","6/66","197/28905",0.0304568527918782,13.338717120443,8.31309025150346,6.00528261862963e-06,0.000505150243802375,0.000353623762867912,"H2-D1/Id2/Dapl1/Lgals3/H2-K1/Slfn1",6
"GO:0070663","regulation of leukocyte proliferation","7/66","307/28905",0.0228013029315961,9.98593426117856,7.57225860553965,6.48591545985061e-06,0.000515269950421465,0.000360707929960113,"H2-D1/Lgals3/H2-K1/Slfn1/Rac2/Ccr2/Rps3",7
"GO:0002695","negative regulation of leukocyte activation","6/66","221/28905",0.0271493212669683,11.8901686548745,7.77448677527181,1.15667735313416e-05,0.000870551902622025,0.000609418372759327,"H2-D1/Id2/Dapl1/Lgals3/H2-K1/Slfn1",6
