"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIN_FILAMENT_BASED_PROCESS",0.00861943749723774,0.203878814907172,0.380730400722792,-0.265646230410599,-1.42662801438247,243,"Asb2;Marcksl1;Lrp1;Alms1;Parvb;Pacsin2;Rflnb;Cit;Ssh1;Gas2l3;Plekhg2;Arrb1;Pak1;Gba2;Shtn1;Itgb1bp1;Dstn;Mical3;Pde4b;Scn3a;Diaph3;Eps8;Anxa1;Cotl1;Aif1;Palld;Auts2;Gpm6b;Ppm1f;Obscn;Strip1;Clasp1;Zbed3;Csf1r;Myadm;Marcks;Rufy3;Ophn1;Slc4a2;Sh3kbp1;Limd2;Abi3;Ccdc88c;Bcas3;Hip1;Epb41l2;Pdlim5;Dvl2;Sh3bp1;Sun2;Elmo2;Limk1;Tsc1;Dapk3;Svil;Specc1l;Evl;Akap11;Brk1;Ptk2b;Tmsb4x;Cln3;Rictor"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",3.56496127436943e-05,0.0175396094698976,0.557332238758646,-0.63212581171917,-2.2684065021266,27,"Ighg2c;Ighg2b;Ctnnbip1;Lcn2;Fcgr2b;Elane;Acvr1;Cebpa;Pik3cg;Lipa;C3;B4galt1;Ano6"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.000539659172468221,0.0692640816141821,0.477270815362862,-0.738302185431031,-1.99726445480764,10,"Ighg2c;Ighg2b;Fcgr2b;Elane;C3"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",8.85106408486726e-07,0.00130641705892641,0.659444398037935,-0.403354755029008,-2.08560800366095,179,"Igkv8-21;Igkv5-39;Ighv1-72;Ighg2c;Igkv14-126;Ighv1-53;Ighv11-2;Ighv5-12;Jchain;Ighg2b;Havcr2;Irf4;Prr7;Clec7a;C1qb;Igkc;Socs5;Cx3cr1;Clec4b1;Cd81;Tnfrsf21;H2-Ob;Clec4a3;Relb;Fcgr2b;Mgl2;C1qa;Hmces;Clec4g;Nfkb2;Btla;Eif2ak4;Anxa1;Shld1;Ccr2"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.000511024340735981,0.0685701751751189,0.477270815362862,-0.365514731171357,-1.76132429788882,125,"Ighv1-72;Ighg2c;Ighv1-53;Ighv11-2;Ighv5-12;Ighg2b;Havcr2;Irf4;Clec7a;C1qb;Igkc;Socs5;Cd81;Relb;Fcgr2b;C1qa;Hmces;Clec4g;Nfkb2;Anxa1;Shld1;Ccr2"
"GOBP_ADAPTIVE_THERMOGENESIS",0.00518492017331261,0.171976228669874,0.407017918923954,-0.389736154787093,-1.65450307540851,61,"Alms1;Dock7;Irf4;Ckb;Lcn2;Fabp5;Ccr2;Acot11;Gatm;Bola3;Lipa;Scd2;Stat6;Il18;Plcl2;Flcn;Zfp516;Oma1;Tfe3;Acot13;Hsf1;Letmd1;Rb1;Rbpj;Kdm3a;Stk11;Hadh;Plcl1;Cd36;Acsl1;Cnot3;Pgam5;Thada;Appl2;Decr1;Slc25a44;Thra;Il4ra;Ppargc1b;Prkab1;Lnpep"
"GOBP_ANATOMICAL_STRUCTURE_MATURATION",0.000439706534906345,0.0664911995127894,0.49849310876659,-0.437409655908824,-1.89674419623087,69,"Aurka;Xylt1;Clec7a;Rflnb;Lrrk2;Cx3cr1;Axl;Acvrl1;Lsm14b;Wdr77;Id2;Pparg;C1qa;Diaph3;Snx10;Cebpa;Flvcr1"
"GOBP_ANIMAL_ORGAN_MORPHOGENESIS",0.00182282184539864,0.119577113058151,0.45505986738723,-0.298781315640332,-1.59374185392296,220,"Asb2;Gmnn;Rflnb;Acp5;Lrrk2;Wls;Ube4b;Tprn;Acvrl1;Ctnnbip1;Plxnd1;Intu;Basp1;Lfng;Eda;Ank;Id2;Fancd2;Olfm1;Tmem176b;Lrp5;Mafb;Ppp2r3a;Acvr1;Acvr2a;Myc;Mthfd1l;Pbx3;Ahdc1;Ski;Bcl2l11;Snx10;Plod3;Flvcr1;Traf6;Bbs5;Csf1r;Lipa;Vegfc;Med1;Ltf;Dgcr2;Stat6;Slc4a2;Jun;Poc5;Mthfd1;Hoxa9;Tgfbr3;Wwox;Rab37;Dvl2;Arl6;Arid2;Asxl1;Gmppa;P2rx7;Evl;Por;Relt;Ahi1;Sec24b;Rbpj;Runx2;Rara;Ctnna1;Psen1;Prickle1;Nsd2;Plekha1;Notch2;Fem1b;Fkrp"
"GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE",0.00564998301523855,0.17556578801036,0.407017918923954,-0.559086710065817,-1.85604986489727,20,"Ighg2c;Jchain;Ighg2b;Slpi;Elane;Camp;Lgals4;Trf;Ltf;Ighm;Ctsg"
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE",0.00863307989952457,0.203878814907172,0.380730400722792,-0.53968965600482,-1.75152025972546,18,"Ccl9;Lgals3;Elane;Camp;Lgals4;S100a9;Ccl6;Pglyrp1;Ltf;Gapdh"
