"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_AXON_DEVELOPMENT",0.0007041641308628,0.249873857207516,0.477270815362862,0.248527368296867,1.53677149994913,190,"Grm7;Pak3;Notch2;Jak2;Klf7;Ophn1;Ptn;Mtr;Prickle1;Spast;Lrig2;Ifrd1;Bsg;Col25a1;Rps6ka5;Zdhhc17;Inpp5f;Sema6d;Smad4;Cd2ap;Cyfip1;Ulk2;Smurf1;Ryk;Robo1;Tbce;Nptn;Lama2;Dclk1;Bcl2;Rtn4;Cyfip2;Pard3;Usp33;B4galt5;Braf;Nin;Dvl1;Rac1;Spg20;Pum2;Afg3l2;Cntn1;Dag1;Ank3;Nrep;Ythdf1;Adnp;Sema5a;Stk25;Rtn4rl1"
"GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION",0.000442533528011865,0.249873857207516,0.49849310876659,0.248146325890865,1.59772899241613,217,"Pak3;Notch2;Klf7;Ophn1;Cux1;Ptn;Prickle1;Spast;Slc1a3;Nedd4l;Pdlim5;Mef2c;Ifrd1;Bsg;Col25a1;Rps6ka5;Zdhhc17;Sema6d;Smad4;Cd2ap;Cyfip1;Ulk2;Smurf1;Phactr1;Obsl1;Ryk;Atp7a;Robo1;Tbce;Dhx36;Trpc6;Nptn;Rapgef2;Lama2;Dclk1;Fbxw8;Bcl2;Rtn4;Cyfip2;Pard3;Nsmf;Usp33;B4galt5;Unk;Braf;Nin;Farp1;Dvl1;Ankrd27;Rac1;Spg20;Afg3l2;Atg16l1;Cntn1;Dag1;Ank3;Ythdf1;Adnp;Sema5a;Stk25"
"GOBP_COLLAGEN_CATABOLIC_PROCESS",0.000877358710097787,0.249873857207516,0.477270815362862,-0.597497389832615,-1.92578997680542,21,"Mmp8;Retreg2;Mmp19;Retreg1;Mmp2;Mmp17;Pepd"
"GOBP_DEFENSE_RESPONSE_TO_VIRUS",0.000121284944881598,0.0903177231106261,0.538434096309916,0.296946579829474,1.76601820459085,145,"Isg15;Stat2;Zbp1;Unc93b1;Gbp2;Irgm1;Casp1;Cxcl9;Mid2;Ifit2;Chmp3;Trim12c;Mill2;Gbp5;G3bp1;Lsm14a;Irf7;Bst2;Epg5;Ifih1;Apobec3;Dhx36;Oas1a;Rb1cc1;Irf2;Bcl2;Polr3c;Bcl2l1;Polr3f;Samhd1;Rab2b;Znfx1;Trim26;Trim11;Map3k14;Atg16l1;Irgm2;Atg5;Mx2;Bnip3;Ifit1;Gbp7;Aim2;Il10rb;Traf6;Ube2n;Dhx15;Tomm70a;Trim5;Mov10;Bnip3l;Ilrun;Phb2;Gpam;Eif2ak2;Parp9;Riok3;Rtp4;Adar;Rela;Trim21;Pcbp2;Itch;Dhx9;Atg7;Dtx3l"
"GOBP_DENDRITE_MORPHOGENESIS",0.000879321491639352,0.249873857207516,0.477270815362862,0.3852071660907,1.85176873408039,54,"Pak3;Klf7;Cux1;Ptn;Nedd4l;Pdlim5;Phactr1;Obsl1;Atp7a;Dhx36;Trpc6;Rapgef2;Fbxw8;Nsmf;Farp1;Dvl1;Ankrd27;Rac1;Atg16l1"
"GOBP_GLYCOLIPID_CATABOLIC_PROCESS",0.000877794726865646,0.249873857207516,0.477270815362862,-0.722287041135683,-1.89843368314005,10,"Gla;Gba;Prkcd;Lct"
"GOBP_NEURON_DEVELOPMENT",0.000132430679047839,0.0903177231106261,0.518848077743792,0.209172993991413,1.42758536157189,444,"Grm7;Pak3;Cbfa2t2;Rap1a;Cpeb3;Herc1;Notch2;Jak2;Klf7;Ophn1;Lamb1;Cux1;Atp8b1;Kdm1a;Taok3;Ptn;Mtr;Prickle1;Spast;Lrig2;Nfe2l2;Slc1a3;Nedd4l;Crkl;Pdlim5;Mef2c;Ifrd1;Bsg;Col25a1;Runx3;Tenm2;Rpgrip1l;Rps6ka5;Zdhhc17;Inpp5f;Sema6d;Mapkapk5;Smad4;Setx;Cd2ap;Cyfip1;Strn;Cdk16;Ulk2;Nlgn2;Smurf1;Phactr1;Adcy6;Akt1;Uhmk1;Obsl1;Anks1;Rab6a;Ryk;Atp7a;Washc5;Robo1;Tbce;Dhx36;Als2;Dclk2;Grip1;Trpc6;Nptn;Rapgef2;Lama2;Dclk1;Fbxw8;Ift140;Bcl2;Rtn4;Mtmr2;Cyfip2;Pard3;Nsmf;Sdc4;Usp33;B4galt5;Snapin;Unk;Braf;Scyl1;Farp2;Nin;Cflar;Farp1;Rpgr;Dvl1;Ugcg;Cdkn1c;Ankrd27;Rac1;Spg20;Pum2;Afg3l2;Atg16l1;Cntn1;Dag1;Ank3;Snx3;Magi2;Nrep;Fmr1;Ythdf1;Cep290;Adnp;Sema5a;Stk25;Rtn4rl1"
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",0.000116508490652555,0.0903177231106261,0.538434096309916,0.288697045820486,1.73061337666164,157,"Grm7;Rap1a;Cpeb3;Jak2;Ophn1;Snx14;Ptn;Sncaip;Slc1a3;Fabp5;Mef2c;Zdhhc17;Stx4a;Cd2ap;Cyfip1;Nlgn2;Prnp;Sqstm1;Rab3gap1;Nptn;Rapgef2;Lama2;Stx1a;Rtn4;Cacnb4;Cln3;Mtmr2;Nsmf;Apba1;Rap1b;Snapin;Braf;Calm1;Ncstn;Eif4e;Kit;Rps6kb1;Dvl1;Dlgap4;Rac1;Mctp1;Atg5;Dag1;Fmr1;Ppp3r1;Ythdf1;Adnp"
"GOBP_RESPONSE_TO_VIRUS",0.000659059121843327,0.249873857207516,0.477270815362862,0.247636531186295,1.57547545387378,205,"Isg15;Jak2;Stat2;Zbp1;Unc93b1;Gbp2;Irgm1;Casp1;Cxcl9;Mid2;Ifit2;Chmp3;Crebzf;Ivns1abp;Trim12c;Mill2;Gbp5;G3bp1;Atf2;Cd2ap;Il17ra;Lsm14a;Irf7;Bst2;Epg5;Ifih1;Apobec3;Hnrnpul1;Dhx36;Oas1a;Rheb;Dclk1;Rb1cc1;Irf2;Bcl2;Polr3c;Bcl2l1;Polr3f;Samhd1;Rab2b;Znfx1;Trim26;Trim11;Map3k14;Atg16l1;Irgm2;Atg5;Lamtor5;Mx2;Bnip3;Fmr1;Ifit1;Gbp7;Aim2;Il10rb;Traf6;Ube2n;Dhx15;Tomm70a;Trim5;Mov10;Bnip3l;Ilrun;Sec11a;Mtor;Phb2;Gpam;Eif2ak2;Ifi44;Parp9;Riok3;Rtp4;Adar;Rela;Trim21"
"HALLMARK_DNA_REPAIR",0.000657356441556424,0.249873857207516,0.477270815362862,-0.432622045732163,-1.77048888380544,68,"Nt5c;Tk2;Polr2i;Hcls1;Snapc5;Rbx1;Nelfe;Arl6ip1;Alyref;Gtf2f1;Bola2;Polr2k;Sec61a1;Pole4;Vps28;Cetn2;Sac3d1;Polr1c;Rpa2;Surf1;Trp53;Rae1;Gtf2h3;Dad1;Ago4;Ssrp1;Cant1;Upf3b;Polr2h"
