"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_CERAMIDE_BIOSYNTHETIC_PROCESS",5.49450468923566e-05,0.0588461452217139,0.557332238758646,-0.592061252987563,-2.10659616317773,30,"St3gal2;Ormdl2;Pla2g6;Prkcd;Ormdl1;Gal3st1;St3gal1;Asah1;B4galt6;St3gal5;B4galt5;Sptlc1;Smpd4;Samd8;Asah2;St8sia4;Mecr;Ormdl3"
"GOBP_CERAMIDE_METABOLIC_PROCESS",0.000117653116885953,0.0630032440924276,0.538434096309916,-0.517998662705737,-1.98989024558559,44,"St3gal2;Ormdl2;Pla2g6;Htra2;Prkcd;Ormdl1;Gal3st1;Cln6;St3gal1;Asah1;Hexa;B4galt6;St3gal5;B4galt5;Sptlc1;Smpd4;Cerk;Samd8;Asah2;St8sia4;Mecr;Ormdl3"
"GOBP_ENDOLYSOSOMAL_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.000913076890582677,0.244476337453512,0.477270815362862,-0.578857583128355,-1.95474107692335,25,"Epg5;Rsad2;Pik3ap1;Rtn4;Ppt1;Gramd4;Flot2;Tirap;Tnfaip3"
"GOBP_GENERATION_OF_NEURONS",7.6450025401321e-05,0.0614084829036111,0.538434096309916,-0.303076735075444,-1.50612985159075,472,"Epg5;Skil;Shank1;Arhgap35;Cyfip1;Klf7;Efhc2;Zfp335;Ccdc88a;Rnf157;Gpm6a;Axl;Htra2;Ddx56;Anks1;Bicdl1;Fzd5;Fkrp;Adgrv1;Ythdf1;Rtn4;Sgk1;Ppt1;Dtx1;Ece1;C1qa;Cep290;Cd2ap;Ift140;Ttll1;Meis1;Casz1;Cdc20;Cops2;Racgap1;Pex5;Map2k1;Carm1;Ift27;Ulk1;Il15ra;Aspm;Prag1;Pten;Rpgr;Sema6a;Triobp;Parp6;Hexa;Tal1;Il2;Btbd3;Hipk2;Ext1;Rapgef2;Pbx3;Ywhag;Sema4b;Pqbp1;Bhlhb9;Rom1;B4galt6;Nde1;Enc1;Hdac5;Bloc1s1;Egr2;Fig4;Eomes;Tbx6;Fkbp4;Rest;P3h1;Cdk5rap1;Nmnat2;Alkal1;Scn1b;L1cam;Slc9a6;Poc5;Mtr;Rtn4rl1;Amigo3;Mapkapk5;Cdk5;Acap3;Slc30a1;B4galt5;Dvl3;Lef1;Kif5c;Bin1;Lnx2;S100a9;Trak2;Gak;Nptn;Trp53;Atp8a2;Hmg20b;Tdp2;Siah1a;Rtn4ip1;Atxn10;Ogdh;Smurf1;Trappc4;S1pr1;Fbxw8;Elp3;Ptprj;Nbn;Bmp2;Stk25;Rbpj;Rab11a;Pbx1;Mapk8ip3;Rab6b;Rnf220;Nck2;Zhx2;Fbxo7;Raph1;Llph;Mosmo;Arl3;Stau2;Btg2;Setx;Bcl11b;Fkbp8;Zeb1;Pals1;Fmc1;Picalm;Tubgcp2;Runx2;Itga4;Nrd1;Slc4a7;Klk8;Sec24b;S100a6;Ywhah;Afg3l2;Pcm1;Notch1;Calr;Ankrd27;Upf3b;Wnk1;Arf4;Cnp;Svbp;Lyn;Rtn3;Pitpna;Sos1;Zmynd8;Csnk1d;Gdf11;Rab21;Limk1;Camsap2;Flna;Dbndd2;Casp3;Map4;Ahi1;Vps13b;Rara;Cyfip2;Eif4e;Vrk1;Nckap1l"
"GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS",0.000223514822491574,0.0897691405831784,0.518848077743792,-0.460419844559207,-1.92509814450173,66,"St3gal2;Ormdl2;Pigyl;Pla2g6;Prkcd;Ormdl1;Elovl6;Hacd3;Gal3st1;Hacd4;St3gal1;Asah1;Pign;Pigw;B4galt6;Pigo;St3gal5;B4galt5;Abcc1;Pigh;Sptlc1;Smpd4;Cerk;Samd8;Asah2;Elovl7;St8sia4;Mecr;Ormdl3"
"GOBP_NEURON_DEVELOPMENT",0.000212839826358252,0.0897691405831784,0.518848077743792,-0.310982172599481,-1.53155880774566,363,"Skil;Shank1;Arhgap35;Cyfip1;Klf7;Efhc2;Zfp335;Ccdc88a;Rnf157;Gpm6a;Htra2;Ddx56;Anks1;Bicdl1;Adgrv1;Ythdf1;Rtn4;Sgk1;Ppt1;Ece1;C1qa;Cep290;Cd2ap;Ift140;Cdc20;Map2k1;Carm1;Ift27;Ulk1;Il15ra;Prag1;Pten;Rpgr;Sema6a;Triobp;Parp6;Hexa;Il2;Btbd3;Ext1;Rapgef2;Pbx3;Sema4b;Pqbp1;Bhlhb9;Rom1;B4galt6;Enc1;Bloc1s1;Egr2;Fig4;Tbx6;Fkbp4;Rest;P3h1;Nmnat2;Alkal1;Scn1b;L1cam;Slc9a6;Poc5;Mtr;Rtn4rl1;Amigo3;Mapkapk5;Cdk5;Acap3;Slc30a1;B4galt5;Dvl3;Kif5c;S100a9;Trak2;Gak;Nptn;Atp8a2;Tdp2;Siah1a;Rtn4ip1;Atxn10;Ogdh;Smurf1;Trappc4;Fbxw8;Ptprj;Stk25;Rab11a;Pbx1;Mapk8ip3;Rab6b;Rnf220;Nck2;Fbxo7;Raph1;Llph;Arl3;Stau2;Btg2;Setx;Bcl11b;Pals1;Picalm;Itga4;Nrd1;Slc4a7;Klk8;Sec24b;S100a6;Ywhah;Afg3l2;Notch1;Ankrd27;Upf3b;Wnk1;Arf4;Cnp;Svbp;Lyn;Pitpna;Sos1;Zmynd8;Rab21;Limk1;Camsap2;Dbndd2;Casp3;Map4;Ahi1;Vps13b;Cyfip2;Vrk1;Nckap1l"
"GOBP_POSITIVE_REGULATION_OF_GLUCONEOGENESIS",0.000770360607274622,0.244476337453512,0.477270815362862,0.654904179315086,2.07825809769663,11,"Ptpn2;Sirt7;Sirt1"
"GOBP_REGULATION_OF_GLUCONEOGENESIS",0.000106263210877006,0.0630032440924276,0.538434096309916,0.572998389538141,2.30219414955414,23,"Ptpn2;Sirt7;Sirt1;Sik1;Ogt;Acadm;Zfp692;Nr3c1;Sirt6;Slc35b4"
"GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION",0.000819302117008544,0.244476337453512,0.477270815362862,0.576921972504228,2.12728637683332,17,"Trim44;Gps2;Tcf25;Birc2;Ube2v2;Parp10;Marchf7;Cep63;Nmi"
"GOBP_RESPONSE_TO_INTERLEUKIN_6",0.000893111204370383,0.244476337453512,0.477270815362862,0.572297405554036,2.11023419518526,17,"Ptpn2;Ripk1;Rela;Phb;Sbno2;Gfi1;Il6st;Pid1"
"GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",1.05858469551904e-05,0.0170061631335134,0.593325476396405,-0.54872800880726,-2.11663605895708,45,"St3gal2;Ormdl2;Pla2g6;Prkcd;Ormdl1;Elovl6;Hacd3;Gal3st1;Hacd4;St3gal1;Asah1;B4galt6;St3gal5;B4galt5;Abcc1;Sptlc1;Smpd4;Cerk;Samd8;Asah2;Elovl7;St8sia4;Mecr;Ormdl3"
"GOBP_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY",1.15483250862747e-06,0.00371047685022007,0.643551836150722,-0.846250784928389,-2.27887733356504,10,"Epg5;Rsad2;Pik3ap1;Rtn4;Ppt1;Gramd4"
