"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.00239007803960236,0.14145094434968,0.431707695803346,0.323695601058801,1.55505834133649,165,"Oas1a;Oasl1;Nagk;Casp1;Tlr7;Rnf135;Dhx58;Mavs;Irf7;Clec4n;Src;Gpr108;Colec12;Rab7b;Nploc4;Otulin;Slc15a4;Naglu;Rnf115;Cd14;Trim25;Gbp5;Trem2;Ifi204;Tlr8;Ninj1;Ikbke;Slc15a3;Irak3;Rab11fip2;Prkdc;Nod1;Ly96;Clec7a;Slc15a2;Akt1;Ptprs;Irf1;Nr1h3;Lacc1;Nmi;Tasl;Znrf1;Havcr2;Mndal;Cd300lf;Rftn1;Treml4;Lamp2;Sting1;Sqstm1;Appl2;Otud4;Phb;Esr1;Znfx1;Ankrd17"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.00399641601916806,0.164917934687886,0.407017918923954,-0.602771254324271,-1.94236392088958,14,"Ighg2b;Ighg2c;Spn;Elane"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.000355151184938678,0.04230738490582,0.49849310876659,-0.282693727250797,-1.65742813446682,170,"Ighv1-72;Igkv8-30;Igkv8-21;Ighv1-82;Ighg2b;Igkv5-39;Ighg2c;Igkc;Jchain;Spn;Trim27;Igkv14-126;Igha;Samsn1;Ebag9"
"GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE",2.15485231433565e-08,1.23214455333712e-05,0.73376198835648,-0.814582610324805,-2.77846158682331,17,"Ighg2b;Ighg2c;Slpi;Jchain;Camp;Ltf;Igha;Elane;Ear2"
"GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",1.07455933786639e-05,0.00384020643370001,0.593325476396405,-0.58946820629742,-2.37490449556863,32,"Ighg2b;Ighg2c;Slpi;Jchain;S100a9;Camp;Ltf;Igha;Pglyrp1;Elane;Ear2;Prtn3"
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",0.00212095067363739,0.134751066131762,0.431707695803346,0.504890101790127,1.83632531567934,33,"Oas2;Oas1a;Oasl1;Rnf135;Ifit2;Dhx58;Mavs;Trim25;Ifit3"
"GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING",0.00344299349088447,0.156246323657757,0.431707695803346,0.690714002934791,1.8560971538511,11,"Gsn;Svil;Capg;Twf1;Twf2"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT",0.00507143889848475,0.188362687394785,0.407017918923954,-0.664445990555546,-1.88151932929804,10,"Camp;Ltf;Elane;Ctsg;Ddb1"
"GOBP_B_CELL_MEDIATED_IMMUNITY",0.00867199606871005,0.246168195130097,0.380730400722792,-0.376684072214052,-1.71658306688781,51,"Ighv1-72;Ighv1-82;Ighg2b;Ighg2c;Igkc;Igha;Tfrc"
"GOBP_CELLULAR_OXIDANT_DETOXIFICATION",0.00172454205181643,0.114661993631237,0.45505986738723,-0.467590119095099,-1.92967797677845,34,"S100a9;Hba-a1;Hba-a2;Mpo;Prdx2;Hbb-bt;Prxl2a;Prdx6;Hp;Txnrd2"
