"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.00104613369485802,0.0809830554372441,0.45505986738723,0.292989961626165,1.98905650312564,133,"Oas1g;Irf7;Cd36;Ifi204;Dhx58;Rsad2;Oas1a;Trim65;Mndal;Zbp1;Ifi35;Irgm1;Gpatch3;Sting1;Nfkbia;Oasl1;Tifab;Trim12c;Pqbp1;Tarbp2;Nagk;Elp6;Pycard;Ctss;Zdhhc12;Clec7a;Irf5;Mavs;Irf1;Ninj1;Tkfc;Aim2;Ddx41;Rigi;Tifa;Flot1;Tasl;Abhd17a;Hdac6;Aars2;Rnf34;Hspa8;Ecsit;Nmi;Lacc1;Eif2ak2;Sqstm1"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.00140858531181816,0.0904243058708632,0.45505986738723,-0.759766997398278,-2.26402818653027,10,"Ighg2c;Ighg2b"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.000555180181169231,0.0541197865495339,0.477270815362862,-0.347307716090294,-2.04501702270493,150,"Ighv1-72;Igkv8-21;Ighg2c;Ighv1-55;Kdm5d;Igkv5-39;Ighg2b;Igkc;Igkv14-126;Cd274;Otud7b;Il18rap"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.00100685683470552,0.0809830554372441,0.45505986738723,-0.383197979649303,-2.10223663031357,104,"Ighv1-72;Ighg2c;Ighv1-55;Kdm5d;Ighg2b;Igkc;Cd274;Cracr2a;Tlr4;Socs5;Zbtb7b"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",0.00224756056521303,0.115063848776543,0.431707695803346,0.510068876312624,2.52711615597142,33,"H2-M3;H2-DMb1;H2-DMa;Ctsl;H2-D1;Pycard;Ctss;Marchf8;Tap1;H2-Q7;Mpeg1;Tapbpl;Tapbp;Ifi30;B2m;Fcgr2b;H2-Ab1;Pdia3;Fcer1g"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0.00674673213759721,0.244678664127973,0.407017918923954,0.605301349089151,2.27369739522776,15,"H2-DMb1;H2-DMa;Ctsl;Pycard;Ctss;Marchf8;Ifi30;B2m;Fcgr2b;H2-Ab1;Fcer1g"
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",0.000381358286899322,0.0418222921299589,0.49849310876659,0.55486087610612,2.63400810577909,30,"Oas2;Oas1g;Dhx58;Usp18;Oas1a;Trim65;Zbp1;Trim21;Sting1;Oasl1;Mavs;Rigi;Ubl7;Hdac6;Marchf2;Rpsa;Eif2ak2"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",4.54220827205703e-08,3.98503072401804e-05,0.719512826338911,0.241659690923199,2.02909527168939,491,"Oas2;Oas1g;Ifi44;Irf7;Cd36;Rtp4;Bst2;Ifi204;Dhx58;Rsad2;Cd68;Usp18;H2-M3;Tnfaip8l2;Slfn8;Rnase6;Chmp6;Isg15;Sigirr;Lgals1;Oas1a;Trim65;Ifitm3;Rab29;Ass1;Mndal;Cd46;Irf8;Ly9;Aif1;Zbp1;Ly86;Plpp6;Ifi35;Trim21;Irgm1;Sp100;Gpatch3;Cfp;Lgals3;Slc1a5;Ly6e;Parp14;Sting1;Nfkbia;Oasl1;Pld4;Selenow;Pcx;Tifab;Ctsl;Itgb7;Trim12c;Pqbp1;Tarbp2;Trim26;Tab3;Agtr1a;Nagk;Elp6;H2-D1;Selplg;Pycard;Ctss;Tor2a;Tfap4;Plscr3;Cd79b;Zdhhc12;Gbp3;Vim;Npc2;Ccl9;H2-Q7;Clec7a;Bcl2l1;Il10ra;Selp;Cebpb;Irf5;Parp9;Rnf213;Bpgm;Herc6;Pou2f2;Fam3a;Mavs;Tslp;Ctsg;Actg1;Plac8;Ccl6;Samhd1;Pcyox1l;Stat2;Irf1;Ninj1;Jagn1;Mif;Stat1;Ifi27;Tkfc;Aim2;Mpo;Nfkbib;Mgl2;Ddx41;Trim10;Adar;Rigi;Slc7a5;Aup1;Prtn3;Tifa;Mpeg1;Eif5a;Trafd1;Flot1;Cd55;Card9;Trf;Tasl;Abhd17a;Ubl7;Hdac6;Aars2;Marchf2;Rnf34;Trim14;Ppp1r11;Hspa8;Dtx3l;B2m;Slc52a2;Ecsit;Fcgr2b;Msrb1;Npc1;Cotl1;Slc3a2;Tnfrsf1a;Nmi;Arid5a;Ap1s1;Lacc1;Tmem229b;Rpsa;Coro1a;Eif2ak2;Elane;Sqstm1;Cx3cr1;Ifnar1;Pim1;Bnip3;Ifitm2;Ext1"
"GOBP_B_CELL_MEDIATED_IMMUNITY",0.00149665749147321,0.0932665386301911,0.45505986738723,-0.501744967515622,-2.32515008391049,46,"Ighv1-72;Ighg2c;Ighv1-55;Ighg2b;Igkc"
"GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA",0.000178219208992763,0.0294147248688864,0.518848077743792,0.706586030628874,2.72756631765016,16,"Oas1g;Ifi204;Oas1a;Mndal;Irgm1;Sting1;Irf1;Stat1;Aim2;Ddx41;Ifnar1;Ifitm2"
"GOBP_COMPLEMENT_ACTIVATION",0.00444028682472813,0.179797460348992,0.407017918923954,-0.722269858842048,-2.15229053683471,10,"Ighg2c;Ighg2b"
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",5.76442588314986e-05,0.012643307437042,0.557332238758646,0.308185161115001,2.15975495779504,159,"Oas2;Oas1g;Irf7;Usp18;Rnf113a1;Isg15;Sigirr;Oas1a;Tradd;Trim65;Ifitm3;Ebi3;Zbp1;Irgm1;Sp100;Parp14;Sting1;Nfkbia;Oasl1;Anxa4;Pycard;Il2rg;Ccl9;Cdk5r1;Il10ra;Irf5;Parp9;Laptm5;Il11ra1;Mavs;Tslp;Ctsg;Ccl6;Samhd1;Stat2;Irf1;Nkiras2;Ccr2;Jagn1;Stat1;Ifi27;Aim2"
"GOBP_CYTOKINE_PRODUCTION",0.00422978353442072,0.176710956549132,0.407017918923954,0.214438414237277,1.61395121931522,241,"Oas2;Oas1g;Irf7;Cd36;Bst2;Dhx58;Rsad2;H2-M3;Hmox1;Isg15;Sigirr;Oas1a;Xaf1;Trim65;Ebi3;Cd46;Irf8;Ly9;Aif1;Trim21;Irgm1;Klf4;Gpatch3;Sting1;Nfkbia;Pld4;Cd34;Pqbp1;Gpr65;Asb1;Anxa4;H2-D1;Eola1;Pycard;H2-Q7;Clec7a;Cebpb;Irf5;Pou2f2;Laptm5;Mavs;Tslp;Irf1;Ccr2;Mif;Stat1;Aim2"
"GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY",0.00198805840703096,0.109011869318865,0.431707695803346,0.346921315250305,2.18310896822348,84,"Oas1g;Irf7;Cd36;Dhx58;Rsad2;Oas1a;Trim65;Irgm1;Gpatch3;Sting1;Nfkbia;Oasl1;Tarbp2;Nagk;Elp6;Pycard;Zdhhc12;Irf5;Mavs;Tkfc;Ddx41;Rigi;Tifa;Flot1;Tasl;Abhd17a;Hdac6;Aars2;Rnf34;Hspa8;Lacc1;Eif2ak2"
"GOBP_CYTOPLASMIC_TRANSLATION",0.00229200886622606,0.115063848776543,0.431707695803346,0.403528781433986,2.33150988434263,59,"Cpeb3;Cpeb4;Ncbp2;Parp16;Pkm;Eif3i;Rpl10;Rpsa;Eif3f;Zfp385a;Rpl29;Eif3l;Rps4x;Rps5;Rpl3;Pabpc1;Rpl18a;Rps11;Rplp0;Ybx1;Rpl12;Eif2s3x;Mcts1;Rack1;Uba52;Rpl10a;Rpl28;Rps6;Rpl36;Rpl18;Rpl23a;Rps15;Rpl8;Rpl7;Rpl19;Drg2;Rpl27a;Rps3;Rpl15;Rpl7a;Rpl32;Rps9;Rpl9;Rpl17;Rps3a1;Fau;Rpl13;Rps19;Rps18;Rwdd1;Zc3h15"
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",9.24793012487566e-08,6.08513802216818e-05,0.704975715167238,0.272398563798812,2.13764550572115,358,"Oas2;Oas1g;Irf7;Cd36;Rtp4;Bst2;Ifi204;Dhx58;Rsad2;Usp18;H2-M3;Tnfaip8l2;Slfn8;Rnase6;Isg15;Oas1a;Trim65;Ifitm3;Ass1;Mndal;Cd46;Irf8;Ly9;Aif1;Zbp1;Ly86;Plpp6;Ifi35;Trim21;Irgm1;Sp100;Gpatch3;Cfp;Lgals3;Ly6e;Parp14;Sting1;Nfkbia;Oasl1;Pld4;Tifab;Trim12c;Pqbp1;Tarbp2;Trim26;Tab3;Nagk;Elp6;H2-D1;Pycard;Ctss;Tor2a;Zdhhc12;Gbp3;Vim;Ccl9;H2-Q7;Clec7a;Bcl2l1;Selp;Cebpb;Irf5;Parp9;Rnf213;Bpgm;Fam3a;Mavs;Tslp;Ctsg;Actg1;Plac8;Ccl6;Samhd1;Pcyox1l;Stat2;Irf1;Ninj1;Jagn1;Mif;Stat1;Ifi27;Tkfc;Aim2;Mpo;Mgl2;Ddx41;Trim10;Adar;Rigi;Prtn3;Tifa;Mpeg1;Trafd1;Flot1;Cd55;Card9;Trf;Tasl;Abhd17a;Ubl7;Hdac6;Aars2;Marchf2;Rnf34;Trim14;Ppp1r11;Hspa8;Dtx3l;B2m;Ecsit;Fcgr2b;Msrb1;Cotl1;Tnfrsf1a;Nmi;Arid5a;Lacc1;Rpsa;Coro1a;Eif2ak2;Elane;Sqstm1;Cx3cr1;Ifnar1;Pim1;Bnip3;Ifitm2;Polr3d;Fadd;Fcer1g;Irf9"
"GOBP_DEFENSE_RESPONSE_TO_SYMBIONT",4.40991680859977e-07,0.000232138020804692,0.674962860011025,0.27404247010545,2.1515775117424,312,"Oas2;Oas1g;Irf7;Cd36;Bst2;Ifi204;Dhx58;Rsad2;Usp18;H2-M3;Tnfaip8l2;Rnase6;Isg15;Oas1a;Trim65;Ifitm3;Ass1;Mndal;Cd46;Irf8;Ly9;Aif1;Zbp1;Ly86;Plpp6;Ifi35;Trim21;Irgm1;Sp100;Gpatch3;Cfp;Lgals3;Ly6e;Parp14;Sting1;Nfkbia;Oasl1;Pld4;Tifab;Trim12c;Pqbp1;Tarbp2;Trim26;Nagk;Elp6;H2-D1;Pycard;Ctss;Tor2a;Zdhhc12;Gbp3;Vim;Ccl9;H2-Q7;Clec7a;Irf5;Parp9;Fam3a;Mavs;Tslp;Ctsg;Actg1;Ccl6;Samhd1;Pcyox1l;Stat2;Irf1;Ninj1;Mif;Stat1;Ifi27;Tkfc;Aim2;Mgl2;Ddx41;Trim10;Adar;Rigi;Prtn3;Tifa;Mpeg1;Trafd1;Flot1;Cd55;Card9;Trf;Tasl;Abhd17a;Ubl7;Hdac6;Aars2;Marchf2;Rnf34;Trim14;Hspa8;Dtx3l;B2m;Ecsit;Fcgr2b;Msrb1;Nmi;Arid5a;Lacc1;Rpsa;Coro1a;Eif2ak2;Elane;Sqstm1;Cx3cr1;Ifnar1;Pim1;Ifitm2;Polr3d;Fadd;Fcer1g"
"GOBP_DEFENSE_RESPONSE_TO_VIRUS",1.90270209937296e-06,0.000625988990693703,0.643551836150722,0.417777420619968,2.80115477737843,108,"Oas2;Oas1g;Irf7;Rtp4;Bst2;Dhx58;Rsad2;Usp18;Slfn8;Rnase6;Isg15;Oas1a;Trim65;Ifitm3;Zbp1;Trim21;Irgm1;Sting1;Oasl1;Trim12c;Pqbp1;Tarbp2;Trim26;Pycard;Bcl2l1;Irf5;Parp9;Mavs;Samhd1;Stat2;Irf1;Stat1;Ifi27;Aim2;Ddx41;Adar;Rigi;Card9;Ubl7;Hdac6;Marchf2;Dtx3l;Rpsa;Eif2ak2;Bnip3;Ifitm2;Polr3d;Fadd;Irf9"
"GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY",0.00358178669527396,0.162539010033811,0.431707695803346,-0.279499844173754,-1.74999694422973,228,"Casp3;Nrg4;Smurf1;Rbpms;Tsc22d1;Igf1r;Fut8;Tiam1;Tgfbr3;Chst11;Clnk;Sipa1l1;Arhgef28;Socs5;Lefty1;Zbtb7b;Plcb1;Nedd9;Mecom;Smad3;Snx25;Vav2;Brms1l;Hgf;Atxn1;Rapgef2;Nrg2;Glce;Angpt1;Gab2;Adam9;Pals1;Ptpre;Mtor;Tgfbrap1;Pias2;Anks1;Pilrb2;Trio;Prkcb;Furin;Braf;Spred2;Vps13a;Gcnt2;Nrxn1;Sap130;Ubash3b;Fam20c;Hip1r;Nup62;Mmp14;Sorl1;Nck2;Map2k5;Insr;Tgfbr1;Tsc2;Runx2;Abl2;Vegfa;Galnt3;Sos2;Ahi1;Axin1;Nlk;Mapk14;Mvb12b;Mtss1;Zeb2;Zmiz2;Foxo4;Zmiz1;Hip1;Cyfip2;Smurf2;Hivep1;Dgkd;Lyn;Pdpk1;Pik3cb;C2cd5;Creb1;Fer;Zfyve27;Nrp1;Raf1;Mbd5;Grb10;Notch2;Eif2ak3;Fbxw8;Itgb3;Lrig2;Ofd1;Ncoa5;Socs4;Adamts3;Prickle1;Clasp2;Foxo1;Spred1;Nck1;Plcg1;Rapgef1;Sort1;Jak3;Lats1;Syk;Ptk2b;Zdhhc17;Trim33;Ldlrad4;Phf14;Sirt1;Phip;Ndel1;Soga1;Dusp3;Il6st;Zeb1;Zfand5;Baiap2;Eif4ebp2;Nfia;Anks1b;Appl1;Shc1;Crim1;Akt2;Eng;Cbl;Ptpn3;Sos1;Ero1a;Lats2;Nedd4;Zfp451;Apc;Zgpat;Lrg1;Sin3a;Arhgef7;Ide;Tab1"
