"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",0.000173517807405905,0.0278696303084229,0.518848077743792,-0.339915784148448,-1.87749546445233,178,"Ighg2c;Ighg2b;Klrc1;Klrc2;Klrd1;Klrk1;Igkc;Ptprj;Cd8a;S100a8;Trgc2;S100a9;Hcfc2;Cd226;Clpb;Ltf;Ptpn6;Prkch;Sppl3;P2rx7;Birc2;Cd8b1;Wdfy1;Cd72;Irak2;Cblb;Igha;Vav3;Prkdc;Tyrobp;Fcer1g;Rftn1;Rnf170;Trbc1;Ap3b1;Unc93b1;Kcnn4;Prkce;Xrcc6;Gfi1;Trbc2;Malt1;Nlrc3;Peli1;Aim2;Gbp5"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.00106268546198771,0.105078338481345,0.45505986738723,-0.323766149908475,-1.75351307395438,160,"Igkv8-21;Ighv1-72;Ighg2c;Ighv1-76;Igkv5-39;Ighg2b;Klrc1;Klrc2;Klrd1;Klrk1;Igkc;Cd8a;Trgc2;Cd226;Xcl1;Trbv19;Igkv14-126;Ptpn6"
"GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE",2.0619219970235e-06,0.00227038577525886,0.627256739718528,-0.777316864041501,-2.43060139424515,15,"Ighg2c;Ighg2b;Ctsg;Elane;Camp;Slpi;Ltf"
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",0.00274236826060517,0.169478358505399,0.431707695803346,-0.382654786733252,-1.80771979736041,79,"Ighg2c;Ighg2b;Igkc;Ptprj;Cd8a;Trgc2;Cd226;Ptpn6;Prkch;Sppl3;Cd8b1;Cd72;Cblb;Igha;Vav3;Rftn1;Trbc1;Kcnn4"
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE",0.00236913555910898,0.159693994300139,0.431707695803346,-0.597806259768145,-1.95253227521247,18,"S100a9;Ccl4;Xcl1;Elane;Ccl3;Camp;Ltf"
"GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",2.80226598320391e-06,0.00227038577525886,0.627256739718528,-0.671230516850396,-2.47444348223604,29,"Ighg2c;Ighg2b;S100a9;Ccl4;Ctsg;Xcl1;Elane;Ccl3;Camp;Slpi;Ltf;Prtn3"
"GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.000487922056601769,0.0592789460806164,0.49849310876659,-0.561403587307218,-2.0934839376413,30,"Ighg2c;Ighg2b;Igkc;Ptpn6;Prkch;Cd72;Igha;Vav3;Rftn1;Tec;Plcl2;Sos1;Pik3cd;Cd38"
"GOBP_CELL_KILLING",3.90192731574907e-06,0.00227038577525886,0.610526878385931,-0.523211375726628,-2.39735246284919,65,"Ighg2c;Ighg2b;Klrc1;Klrc2;Klrd1;Klrk1;Cd226;Ctsg;Xcl1;Elane;Ccl3;Camp;Ltf;Ptpn6"
"GOBP_CELL_MATRIX_ADHESION",0.00421606142256205,0.218315972853837,0.407017918923954,-0.384442447874863,-1.70992737228565,58,"Itga1;Ptprj;Slc9a1;Actn1;Arhgef7;Disc1;Itgb1;Itga2;Clasp1;Nrp1;Parvg;Sorbs1;Lims1;Map4k4;Pkd1;Tsc1;Pecam1;Itga6;Mink1;Cd44;Skap1;Mkln1;Ptpra;Lef1;Rcc2;Cdk6;Rock2"
"GOBP_CYTOPLASMIC_TRANSLATION",9.51779157882638e-05,0.0213890734389626,0.538434096309916,0.39906302946097,2.12434436700571,86,"Mif4gd;Eif3f;Rpl10;Eif2s3x;Paip1;Ncbp2;Eif2b4;Eif3m;Rps11;Slbp;Rps4x;Rpl29;Eif4h;Rpl24;Rplp0;Rpl39;Eif2s2;Rpl19;Fau;Rpl28;Rpl27a;Eif3b;Sars;Eif2d;Rpl17;Rpl32;Rack1;Eef1d;Rps19;Rps2;Rpl26;Rpl36;Rpl21;Rpl18a;Rpl18;Mcts1;Rps25;Rpl9;Rps3;Rps9;Rpl13a;Rpl36a;Rps10;Rpl7a;Rps5;Rpl27;Rpl10a;Rps13;Rpl8;Rpl34;Rps16;Rpl12;Rpl23a;Eif3i;Rps15;Rpsa;Rpl5;Rps18;Rps14;Rpl11;Rpl6;Rps20;Rps3a1;Rplp2;Rps27;Eif2b3;Rpl38;Rpl37;Rps21;Eif3k;Rplp1;Pabpc1;Rpl35;Rpl15;Rps27a"
"GOBP_DEFENSE_RESPONSE_TO_BACTERIUM",0.00171316762639684,0.132656639510494,0.45505986738723,-0.39121086302346,-1.82910461911967,73,"Ighg2c;Ighg2b;Klrk1;S100a8;S100a9;Lcn2;Ctsg;Elane;Camp;Slpi;Ltf;Mpo;P2rx7"
"GOBP_DEFENSE_RESPONSE_TO_VIRUS",0.000333539838318459,0.0458061377957351,0.49849310876659,0.364232203321636,2.02784259027094,103,"Irf7;Usp18;Ifit1;Rtp4;Isg15;Ifit3;Oas1a;Irgm1;Eif2ak2;Myd88;Creb3;Bst2;Abcf3;Ddit4;Polr3k;Ifitm3;Gpr108;Nmb;Ripk3;Ifit2;Polr3f;Isg20;Zbp1;Pycard;Pde12;Parp9;Marchf2;Stat2;Atg12;Irf9;Dhx58;Oas3;Exosc5"
"GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS",0.00404563626442618,0.217408974905685,0.407017918923954,-0.371481139162203,-1.74196176402752,77,"Lclat1;Pip5k1b;Pik3r4;Pitpnm2;Gpat4;Inpp4a;Ip6k2;Mtmr2;Sacm1l;Inpp5f;Lpcat3;Pigu;Pi4ka;Dgkd;Tmem68;Agpat2;Pigl;Pip4k2a;Pnpla2;Inpp4b;Srebf1;Agpat1;Pi4kb;Pip4k2c;Pip5k1c;Fbxw7;Dgke;Gpaa1;Lpin2;Pik3cd;Hycc1;Ttc7b;Itpkb;Lpgat1;Pign;Fig4;Chpt1;Pgap2;Inpp5d;Pcyt2"
