"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIN_FILAMENT_BASED_PROCESS",0.00212740862357548,0.0415484345949492,0.431707695803346,0.333138175769617,1.33125136871619,359,"Cxcl12;Phactr2;Myl6b;Ptger4;Gdpd2;Antxr1;Phldb2;Fmnl3;Fgd6;Epb41l2;Llgl1;Phactr4;Phactr1;Shroom3;Auts2;Tln2;Tpm1;Cdc42bpa;Tyrobp;Cald1;Fermt2;Fer;Synpo;Pdgfrb;Itgb5;Nckap1;Kirrel;Limch1;Fat1;Cobl;Sgcd;Lrp1;Marcks;Washc2;Arhgef10l;Sfrp1;Gja1;Pawr;Carmil1;Plekhh2;Iqsec2;Arap1;Csf1r;Gpm6b;Mtor;Inpp5k;Cyria;Fnbp1l;Tpm2;Pakap;Lpar1;Arhgef17;Jup;Sema5a;Epb41l3;Shroom4;Amot;Elmo2;Cdk5;Rtkn;Kctd13;Hras;Trpm2;Ssh3;Cdc42ep2;Stard8;Ank2;Bst2;Dlc1;Twf1;Arhgap17;C9orf72;Obsl1;Enah;Phpt1;Rnd3;Fmnl2;Fgf7;Src;Tmod1;Epb41l4b;Kank4;Slc4a2;Myo1h;Fscn1;Stard13;Thsd7a;Arhgef5;Alms1;Arfip2;Cgnl1;Mras;Rangrf;Ppm1e;Gjc1;Epdr1;Zbed3;Cdc42ep1;Lima1;Daam2;Dpysl3;Cdc42bpg;Pak3;Aif1;Agap2;Ccdc88a;Svil;Marcksl1;Pdlim2"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.00403711863401159,0.062790801769995,0.407017918923954,0.422201861919969,1.56873625362322,82,"Ptger4;Phldb2;Phactr1;Tpm1;Cald1;Fermt2;Synpo;Itgb5;Limch1;Marcks;Arhgef10l;Sfrp1;Pawr;Carmil1;Arap1;Mtor;Inpp5k;Lpar1;Amot;Kctd13;Dlc1;Src;Fscn1;Arhgef5;Alms1;Cgnl1;Ppm1e;Lima1;Dpysl3;Aif1;Ccdc88a;Tesk1;Abl1;Zeb2;Sdc4"
"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION",0.0039999292095427,0.0625233379109407,0.407017918923954,0.410488863012713,1.54024629394592,92,"Ptger4;Phldb2;Epb41l2;Phactr1;Tpm1;Cdc42bpa;Fermt2;Synpo;Pdgfrb;Itgb5;Limch1;Arhgef10l;Sfrp1;Carmil1;Arap1;Mtor;Inpp5k;Lpar1;Epb41l3;Amot;Rtkn;Kctd13;Dlc1;Obsl1;Src;Tmod1;Epb41l4b;Arhgef5;Alms1;Cgnl1;Ppm1e;Cdc42bpg;Ccdc88a;Anln;Pdcd6ip;Tesk1;Abl1;Zeb2;Sdc4;Nebl;Cflar"
"GOBP_ACUTE_PHASE_RESPONSE",0.00524134363758116,0.0706588564485897,0.407017918923954,0.646058421802065,1.67333187823399,12,"Plscr1;Il1rn;F8;Il1b;Lbp;Cebpa;Hp"
"GOBP_ACYLGLYCEROL_HOMEOSTASIS",0.0347987534527611,0.216882756887336,0.321775918075361,0.586405219727092,1.5642605600224,14,"Apoe;Lpl;Nr1h3;Sesn2;Scarb1;Il18;Xbp1"
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.0026368810315992,0.0488100557270231,0.431707695803346,0.477113664063712,1.66887641840911,51,"Cxcl9;Adcy3;Ptger4;Adgre1;Adcy2;Lpar2;Adgre4;Adgrl3;App;Adgrf5;Adgrl2;Ptgfr;Lpar1;Dgkq;Gcg;Cxcl10;Prkar2b;Ptger2;Adcy6;Adcy9"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.00605066957280535,0.078524741282496,0.407017918923954,0.546840970619607,1.65541801346742,23,"Ptger4;App;Grm7;P2ry12;Ednra;Gabbr2;Lpar1;Gpr176;Akap12;Palm;Adcy6;Psap"
"GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.000481542478671981,0.0140699516980178,0.49849310876659,0.474944165394115,1.7404088785405,71,"Cxcl9;Adcy3;Ptger4;Adgre1;Adcy2;Lpar2;Adgre4;Adgrl3;App;Grm7;P2ry12;Ednra;Adgrf5;Gna12;Adgrl2;Ptgfr;Gabbr2;Lpar1;Dgkq;Gcg;Gpr176;Cxcl10;Akap12;Palm;Prkar2b;Ptger2;Adcy6;Adcy9"
"GOBP_ALCOHOL_CATABOLIC_PROCESS",0.0426356589147287,0.239419224335784,0.248911114434702,0.577401243388884,1.4955054751853,12,"Apoe;Cyp39a1;Aldh3b1;Scarb1;Nudt3;Snx17;Aldh2;Tpi1;Srd5a3"
"GOBP_ALCOHOL_METABOLIC_PROCESS",0.0147340334258879,0.131856477248977,0.380730400722792,0.363881728791628,1.39585717599133,121,"Apoe;Lepr;Arv1;Coq3;Bmp6;Ipmk;Aldh1a2;Igf1;Asah1;Cyp39a1;Fech;Plpp3;Naaa;Dgkq;Bmp5;Plpp1;Aldh3b1;Scarb1;Plpp2;Osbpl1a;Lrp5;Errfi1;Nudt3;P2ry6;Erlin1;Idh1;Prkaa2;Cebpa;Idh2;Dhcr7;Fgfr1;Agt;Ldlr;Serpina12;Agtr1a;Dab2;Lima1;Slc5a3;Cyp1b1;Asah2;Itpkb;Abca2;Snx17;Gch1;Lipa"
"GOBP_ALDEHYDE_METABOLIC_PROCESS",0.0179649675507518,0.143673414071155,0.352487857583619,0.497405749289242,1.54283491332587,26,"Rpe;Bmp6;Aldh1a2;Bmp5;Aldh3b1;Idh1;Idh2;Dab2;Cyp1b1;Aldh2;Tpi1;Adh5;Rpia;Gatd1"
