"CellType","WT_percent","KO_percent","WT_count","KO_count","CLR_WT","CLR_KO","CLR_difference","Interpretation","Direction"
"Tgd",0.467726847521048,0.0451569202980357,15,2,-0.669871642864789,-3.24074774683501,-2.57087610397022,"Large change","Depleted in KO"
"Endothelial cells",0.0311817898347365,0.361255362384285,1,16,-3.37493375257141,-1.16324148256954,2.21169227000187,"Large change","Enriched in KO"
"Fibroblasts",0.280636108512629,0.767667645066606,9,34,-1.18055477391713,-0.409616198165474,0.770938575751654,"Moderate change","Enriched in KO"
"DC",1.24727159338946,3.20614134116053,40,142,0.310824004785057,1.0197512682519,0.708927263466839,"Moderate change","Enriched in KO"
"NKT",1.0289990645463,0.722510724768571,33,32,0.118469117447779,-0.470232679531343,-0.588701796979121,"Moderate change","Depleted in KO"
"Eosinophils",0.0311817898347365,0.0225784601490178,1,1,-3.37493375257141,-3.93168775816035,-0.55675400558894,"Moderate change","Depleted in KO"
"Neutrophils",49.5790458372311,37.7060284488598,1590,1670,3.99335569107834,3.48447457849928,-0.508881112579055,"Moderate change","Depleted in KO"
"ILC",0.187090739008419,0.361255362384285,6,16,-1.58584179468123,-1.16324148256954,0.422600312111688,"Small change","Enriched in KO"
"Stromal cells",0.0935453695042095,0.180627681192143,3,8,-2.27845490342055,-1.85611196551775,0.422342937902795,"Small change","Enriched in KO"
"NK cells",0.810726535703149,1.46759990968616,26,65,-0.119915744546219,0.238348427032048,0.358264171578267,"Small change","Enriched in KO"
"B cells, pro",0.124727159338946,0.112892300745089,4,5,-1.99103983122499,-2.325783658659,-0.334743827434012,"Small change","Depleted in KO"
"Basophils",0.498908637355784,0.474147663129375,16,21,-0.605346481460167,-0.891373658755763,-0.286027177295596,"Small change","Depleted in KO"
"T cells",5.45681322107889,8.57981485662678,175,380,1.78666867835485,2.00407592891186,0.21740725055701,"Small change","Enriched in KO"
"Monocytes",10.6329903336452,10.8602393316776,341,481,2.45375626081634,2.23976949895977,-0.21398676185657,"Small change","Depleted in KO"
"Macrophages",3.02463361396944,4.26732896816437,97,189,1.19660841869749,1.3056634696437,0.109055050946214,"Negligible","Enriched in KO"
"Stem cells",15.4038041783598,17.724091216979,494,785,2.82440638795465,2.7295823808009,-0.0948240071537474,"Negligible","Depleted in KO"
"B cells",11.1007171811662,13.1406638067284,356,582,2.49680411812339,2.43037107866431,-0.0664330394590751,"Negligible","Depleted in KO"
