"CellType","WT_count","KO_count","WT_percent","KO_percent","log2FC","p_value","p_adj"
"Neutrophils",1590,1670,49.5790458372311,37.7060284488598,0.0707778977301402,5.32509401606967e-25,9.05265982731844e-24
"DC",40,142,1.24727159338946,3.20614134116053,1.80231933216031,1.19534323316334e-08,1.01604174818884e-07
"T cells",175,380,5.45681322107889,8.57981485662678,1.11421556885602,1.59972278162701e-07,9.06509576255306e-07
"Tgd",15,2,0.467726847521048,0.0451569202980357,-2.41503749927884,0.000203920543422486,0.000866662309545567
"Endothelial cells",1,16,0.0311817898347365,0.361255362384285,3.08746284125034,0.00206145018206542,0.00700893061902242
"Fibroblasts",9,34,0.280636108512629,0.767667645066606,1.8073549220576,0.00487553085673514,0.0119323461587463
"Macrophages",97,189,3.02463361396944,4.26732896816437,0.95514576421574,0.00491331900654258,0.0119323461587463
"B cells",356,582,11.1007171811662,13.1406638067284,0.707571809171397,0.00727766978105586,0.0143115704342081
"Stem cells",494,785,15.4038041783598,17.724091216979,0.667100787291634,0.00757671375928664,0.0143115704342081
"NK cells",26,65,0.810726535703149,1.46759990968616,1.28950661719498,0.0100064227490561,0.0170109186733953
"NKT",33,32,1.0289990645463,0.722510724768571,-0.043068721891886,0.165523843581144,0.255809576443587
"ILC",6,16,0.187090739008419,0.361255362384285,1.28010791919274,0.196765224634445,0.278750734898798
"Stromal cells",3,8,0.0935453695042095,0.180627681192143,1.16992500144231,0.376639426385582,0.492528480658069
"Monocytes",341,481,10.6329903336452,10.8602393316776,0.495036821344064,0.764843504059913,0.92873854064418
"Basophils",16,21,0.498908637355784,0.474147663129375,0.371968777386958,0.869186845794634,0.985078425233919
"B cells, pro",4,5,0.124727159338946,0.112892300745089,0.263034405833794,1,1
"Eosinophils",1,1,0.0311817898347365,0.0225784601490178,0,1,1
