"CellType","WT_percent","KO_percent","Difference","log2FC"
"Tgd",0.0451569202980357,0.467726847521048,0.422569927223012,3.11457214541593
"NKT",0.722510724768571,1.0289990645463,0.306488339777734,0.504272567868945
"Neutrophils",37.7060284488598,49.5790458372311,11.8730173883713,0.394843699960393
"Eosinophils",0.0225784601490178,0.0311817898347365,0.00860332968571868,0.338088118294416
"B cells, pro",0.112892300745089,0.124727159338946,0.0118348585938569,0.132646176617427
"Basophils",0.474147663129375,0.498908637355784,0.0247609742264096,0.071959546474777
"Monocytes",10.8602393316776,10.6329903336452,-0.227248998032429,-0.030480146633099
"Stem cells",17.724091216979,15.4038041783598,-2.32028703861917,-0.202302433545415
"B cells",13.1406638067284,11.1007171811662,-2.03994662556218,-0.243183680678518
"Macrophages",4.26732896816437,3.02463361396944,-1.24269535419493,-0.495187825322451
"T cells",8.57981485662678,5.45681322107889,-3.12300163554789,-0.651926950782582
"NK cells",1.46759990968616,0.810726535703149,-0.65687337398301,-0.848282178920275
"Stromal cells",0.180627681192143,0.0935453695042095,-0.0870823116879332,-0.880494590896792
"ILC",0.361255362384285,0.187090739008419,-0.174164623375866,-0.913551876295132
"DC",3.20614134116053,1.24727159338946,-1.95886974777107,-1.35503447902595
"Fibroblasts",0.767667645066606,0.280636108512629,-0.487031536553978,-1.41993976261961
"Endothelial cells",0.361255362384285,0.0311817898347365,-0.330073572549549,-3.17233342567205
