"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
9.4756259489903e-148,1.67860881093491,0.829,0.225,3.19290691977177e-143,"Xist","B cells","Significant"
3.62367771535245e-81,2.70790760298707,0.462,0.106,1.22103444296516e-76,"ENSMUSG00000079190","B cells","Significant"
4.17866415967248e-78,4.94100500210848,0.394,0.058,1.40804267524324e-73,"Igkv19-93","B cells","Significant"
3.86092866876227e-76,-5.35757574096795,0.013,0.295,1.30097852422613e-71,"Igkv8-24","B cells","Significant"
4.28295210996438e-75,-1.66590398473559,0.798,0.928,1.4431835429736e-70,"Igkc","B cells","Significant"
5.8679318394867e-72,-9.96482831215705,0,0.252,1.97725831263344e-67,"Eif2s3y","B cells","Significant"
7.28832970867337e-71,2.51901381561042,0.502,0.168,2.45587557863458e-66,"Itgb1","B cells","Significant"
1.84672232322289e-64,-1.83448809222941,0.409,0.679,6.22271554033184e-60,"Cr2","B cells","Significant"
7.87955449788568e-62,-9.71067310831275,0,0.219,2.65509468360756e-57,"Ddx3y","B cells","Significant"
1.56431505441063e-60,1.74381309061496,0.632,0.29,5.27111600734207e-56,"Zeb2","B cells","Significant"
6.33394437027394e-58,2.20537858937313,0.434,0.129,2.13428589500751e-53,"Sox5","B cells","Significant"
2.75853867978346e-57,1.04022364009617,0.877,0.695,9.29517193539836e-53,"Gm15987","B cells","Significant"
8.84987401449954e-57,-5.88938976661519,0.035,0.273,2.98205354792576e-52,"Igkv12-89","B cells","Significant"
7.44584995066528e-55,2.4200451339421,0.338,0.069,2.50895359937617e-50,"Cdk14","B cells","Significant"
5.57690291299373e-53,2.54415564440382,0.285,0.045,1.87919320556237e-48,"Ighv9-3","B cells","Significant"
3.38903378277121e-51,2.52297227192338,0.306,0.059,1.14196882344259e-46,"Plscr1","B cells","Significant"
2.75230001352362e-50,-4.67273462324526,0.006,0.198,9.27415012556919e-46,"Ighv2-3","B cells","Significant"
2.79836490884326e-50,2.45075271630708,0.321,0.072,9.42937039683824e-46,"Lgals1","B cells","Significant"
7.84082960302182e-49,0.355869596887132,0.993,0.984,2.64204594303423e-44,"Malat1","B cells","Significant"
8.13651111071478e-49,-9.52226722113519,0,0.175,2.74167878386645e-44,"Uty","B cells","Significant"
9.92507192779592e-48,1.22162706171952,0.605,0.298,3.34435223679011e-43,"Ptpn22","B cells","Significant"
2.92072910333543e-47,4.74731950385314,0.196,0.009,9.84168878659905e-43,"Mcc","B cells","Significant"
2.35047002457349e-45,1.29236484389764,0.552,0.275,7.92014379480284e-41,"C130026I21Rik","B cells","Significant"
3.21221672056964e-45,3.62127284622692,0.216,0.022,1.08238854616314e-40,"Robo1","B cells","Significant"
1.09691020574216e-44,-3.73747092704858,0.013,0.195,3.69614862926878e-40,"Igkv4-57","B cells","Significant"
3.14293323013242e-44,3.732293994823,0.227,0.031,1.05904278122542e-39,"Ighv1-53","B cells","Significant"
4.20401597775201e-42,2.61870888382508,0.267,0.055,1.41658522386332e-37,"ENSMUSG00000121482","B cells","Significant"
9.49122132412524e-42,3.19548692249309,0.202,0.02,3.19816193737724e-37,"Zbtb32","B cells","Significant"
3.25487673672446e-41,-9.0930708110976,0,0.149,1.09676326520667e-36,"Kdm5d","B cells","Significant"
3.51778084972947e-41,2.54453422830158,0.255,0.048,1.18535143512484e-36,"Cd80","B cells","Significant"
5.30402483583142e-38,1.4938856581748,0.449,0.199,1.78724420868176e-33,"Pvt1","B cells","Significant"
1.60021041608947e-37,1.0601688574326,0.653,0.41,5.39206901805507e-33,"Ptpn1","B cells","Significant"
3.41412151231906e-37,-0.798661907235128,0.66,0.809,1.15042238479103e-32,"Ighd","B cells","Significant"
1.07108696949851e-36,1.38007298792663,0.4,0.153,3.60913465242217e-32,"Ahnak","B cells","Significant"
2.20043119124531e-36,2.28302216251968,0.222,0.041,7.41457294202019e-32,"Lipc","B cells","Significant"
1.1842474044977e-35,1.88174402912945,0.263,0.065,3.99044005419546e-31,"Ypel2","B cells","Significant"
1.3185484903205e-35,1.18255560947327,0.202,0.029,4.44298099298397e-31,"Igkv14-111","B cells","Significant"
2.15668778978582e-35,0.909169782692688,0.685,0.449,7.2671751764623e-31,"Sp140","B cells","Significant"
3.03199403075538e-35,3.4336364178037,0.166,0.015,1.02166070860333e-30,"Fras1","B cells","Significant"
3.41850663704562e-35,-7.67201244028142,0.001,0.13,1.15189999641889e-30,"Primpol","B cells","Significant"
4.54781041278595e-35,2.24482957390925,0.232,0.049,1.53243019669236e-30,"Spn","B cells","Significant"
1.69754151999122e-34,1.17283498978902,0.518,0.277,5.72003590576241e-30,"Hck","B cells","Significant"
1.84364525892188e-34,2.11159318398338,0.237,0.054,6.21234706446316e-30,"ENSMUSG00000079808","B cells","Significant"
4.14626786950372e-34,1.10355083641729,0.503,0.259,1.39712642130797e-29,"Fcrl5","B cells","Significant"
4.87121209348993e-34,1.44189904593188,0.354,0.13,1.64140362702237e-29,"Rassf4","B cells","Significant"
2.76389652781795e-33,0.628320495015243,0.84,0.75,9.31322574013537e-29,"Rac2","B cells","Significant"
6.34857874312824e-33,2.49818680762597,0.202,0.036,2.13921709328449e-28,"Pou2af2","B cells","Significant"
2.71384323676924e-32,2.28181948540221,0.202,0.038,9.14456617061762e-28,"Sapcd1","B cells","Significant"
6.37875923082844e-32,2.32634074596896,0.209,0.042,2.14938671041995e-27,"Jun","B cells","Significant"
2.51915955539807e-31,-1.57961605212874,0.025,0.174,8.48856003786933e-27,"Igkv1-117","B cells","Significant"
3.59976866433476e-31,2.40333863007765,0.163,0.019,1.21297804913424e-26,"Gm47071","B cells","Significant"
5.06484346426995e-31,1.30628188828281,0.413,0.188,1.7066496537204e-26,"Apoe","B cells","Significant"
5.78496100251187e-30,0.64227448305566,0.815,0.662,1.9493004594064e-25,"Napsa","B cells","Significant"
8.71744256057327e-30,3.00583989252063,0.131,0.008,2.93742944521077e-25,"Cyp11a1","B cells","Significant"
1.12136177360758e-29,1.21813797454539,0.538,0.31,3.77854063234809e-25,"Tsc22d3","B cells","Significant"
1.34852845102336e-29,-1.02456770822803,0.288,0.513,4.54400146856833e-25,"Fcer2a","B cells","Significant"
1.60954061264925e-29,1.96456118962746,0.223,0.056,5.4235080483829e-25,"Bhlhe41","B cells","Significant"
2.62586853231574e-29,-0.973827256162175,0.274,0.509,8.8481266064911e-25,"Akt3","B cells","Significant"
4.31439123982115e-29,-2.90076403041276,0.042,0.193,1.45377727217014e-24,"Gm47782","B cells","Significant"
