"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
4.45560357199178e-05,2.16212828855798,0.688,0.346,1,"Fyn","DC","Not Significant"
5.70306284149142e-05,3.5528657818498,0.438,0.154,1,"Chordc1","DC","Not Significant"
6.47121724774456e-05,9.79155477706051,0.229,0.013,1,"Igkv19-93","DC","Not Significant"
7.14371532765995e-05,1.42028312211001,0.646,0.295,1,"Xist","DC","Not Significant"
0.000132127427462525,4.79795918460774,0.312,0.064,1,"Pkig","DC","Not Significant"
0.000152212601843871,1.17643115127444,0.771,0.487,1,"Stat1","DC","Not Significant"
0.000158311599742189,3.11740027503499,0.271,0.038,1,"Siglech","DC","Not Significant"
0.000208753040308181,1.65852096877791,0.271,0.038,1,"Grm8","DC","Not Significant"
0.00030261260843348,3.57946660196187,0.25,0.038,1,"Tmem163","DC","Not Significant"
0.00036752861494992,-5.32902492837905,0,0.231,1,"Uty","DC","Not Significant"
0.000404983720504221,4.77090160299748,0.188,0.013,1,"Pdzd4","DC","Not Significant"
0.000501324878721286,-2.69823569839951,0.125,0.41,1,"Arhgap6","DC","Not Significant"
0.000503378528342824,3.04518005112176,0.312,0.077,1,"Nipsnap2","DC","Not Significant"
0.000563721654667252,5.72701556443959,0.146,0,1,"Zfp268","DC","Not Significant"
0.000586858473678913,4.41858019075285,0.208,0.026,1,"2210408F21Rik","DC","Not Significant"
0.000635441817366958,3.92753087186949,0.229,0.038,1,"Iigp1","DC","Not Significant"
0.000654810027958279,3.70499124944264,0.292,0.077,1,"Prkca","DC","Not Significant"
0.000867163519148909,-6.04227901638423,0,0.205,1,"Igkv1-117","DC","Not Significant"
0.000867163519148909,-5.95455883383809,0,0.205,1,"Igkv6-20","DC","Not Significant"
0.000867163519148909,3.11065752026096,0.25,0.051,1,"Blnk","DC","Not Significant"
0.000877625166335009,3.24289118254142,0.271,0.064,1,"Mctp2","DC","Not Significant"
0.00100189691135929,-1.44373145728554,0.188,0.487,1,"Stk38","DC","Not Significant"
0.00114492239877101,2.24283007169978,0.25,0.051,1,"Skic3","DC","Not Significant"
0.00125443595987015,1.99507167577717,0.25,0.051,1,"Gm56600","DC","Not Significant"
0.00129073551587557,-3.25381064154044,0.042,0.269,1,"Adam22","DC","Not Significant"
0.00132231882893458,-5.59620794494087,0,0.192,1,"Igkv4-57","DC","Not Significant"
0.00132231882893458,-7.35592130688415,0,0.192,1,"Igkv8-24","DC","Not Significant"
0.00142371048570731,2.20982119842141,0.167,0.013,1,"Bcl2l12","DC","Not Significant"
0.00144488050469551,-1.30631138845952,0.521,0.718,1,"Wnk1","DC","Not Significant"
0.00147859854337603,9.68279401287088,0.125,0,1,"Ighv9-3","DC","Not Significant"
0.00161644018933069,-2.26768440622864,0.125,0.372,1,"Stard7","DC","Not Significant"
0.00172078892703123,3.65168764902181,0.188,0.026,1,"Lap3","DC","Not Significant"
0.00183966601004685,-1.05813882096497,0.583,0.769,1,"Fth1","DC","Not Significant"
0.00185977881500596,2.10290101730721,0.354,0.128,1,"Pcnx","DC","Not Significant"
0.001880166673542,-1.30437714015873,0.396,0.654,1,"Itgax","DC","Not Significant"
0.00198861678626698,1.02815955646845,0.292,0.077,1,"Daxx","DC","Not Significant"
0.00219317579399508,2.34022380955264,0.458,0.231,1,"Trim14","DC","Not Significant"
0.00235523734741402,3.4083494085577,0.25,0.064,1,"Man1c1","DC","Not Significant"
0.00250529141874152,-1.73656113152211,0.25,0.5,1,"Notch2","DC","Not Significant"
0.00274269224168062,5.30152200516996,0.146,0.013,1,"Ifi44","DC","Not Significant"
0.00285149441515214,4.58988669422946,0.146,0.013,1,"Paqr5","DC","Not Significant"
0.00292151215182185,-3.35344131558068,0.042,0.244,1,"Cpt1a","DC","Not Significant"
0.00303441784060446,-6.6834047880521,0,0.167,1,"Ighv2-3","DC","Not Significant"
0.0033142814716611,2.67857746150669,0.5,0.295,1,"Runx2","DC","Not Significant"
0.00334538002068997,2.46870892075602,0.354,0.141,1,"Fam91a1","DC","Not Significant"
0.00374216084314156,4.98302524537993,0.167,0.026,1,"Ptgr2","DC","Not Significant"
0.00382754061803843,1.60664956679537,0.417,0.192,1,"Maml2","DC","Not Significant"
0.00386489143196964,4.83516374927155,0.104,0,1,"Hrh1","DC","Not Significant"
0.00386489143196964,3.82356063481545,0.104,0,1,"Ddx28","DC","Not Significant"
0.00386489143196964,6.89840542679662,0.104,0,1,"Tmem108","DC","Not Significant"
0.00386489143196964,4.24547917436071,0.104,0,1,"Nit2","DC","Not Significant"
0.00393904207405403,-1.78091824658762,0.042,0.244,1,"Spg11","DC","Not Significant"
0.00405646850126864,-2.97863787966098,0.083,0.295,1,"Ammecr1","DC","Not Significant"
0.0044309121593305,-2.2812670869411,0.083,0.295,1,"Akt1","DC","Not Significant"
0.00443378364189026,3.2019192107434,0.167,0.026,1,"Gm16124","DC","Not Significant"
0.00449945663698743,4.07644775537537,0.188,0.038,1,"Lpcat3","DC","Not Significant"
0.00453535748416132,0.898495277848362,0.25,0.064,1,"Pex2","DC","Not Significant"
0.00478808734570322,2.24843605085389,0.292,0.103,1,"Pold3","DC","Not Significant"
0.00490938626949722,3.47654820607879,0.208,0.051,1,"Slc41a2","DC","Not Significant"
0.00497296608509644,1.35277439580273,0.479,0.256,1,"Zfp407","DC","Not Significant"
0.00504927736913781,-1.06450567145,0.229,0.462,1,"Mink1","DC","Not Significant"
0.00506184350907923,-1.99943809692258,0.188,0.41,1,"Asah1","DC","Not Significant"
0.00506385862130821,1.67596729427056,0.688,0.462,1,"Bcl11a","DC","Not Significant"
0.00584155538278016,-1.23482358322877,0.271,0.5,1,"Asb2","DC","Not Significant"
0.00584634113876122,1.79453410777819,0.271,0.09,1,"Zfp367","DC","Not Significant"
0.00606534006488783,3.28319960778503,0.229,0.064,1,"Sdhaf4","DC","Not Significant"
0.00616056673509829,-1.07088483006867,0.396,0.615,1,"Otulinl","DC","Not Significant"
0.0062886620149785,2.08338047267899,0.188,0.038,1,"Cmah","DC","Not Significant"
0.00656430744308276,2.31051372171296,0.229,0.064,1,"Ifi211","DC","Not Significant"
0.00659186022410944,1.80141500483597,0.271,0.09,1,"Mcm9","DC","Not Significant"
0.00664053449876863,0.821163554265213,0.583,0.308,1,"Irf8","DC","Not Significant"
0.0066755668055382,1.18202536670927,0.188,0.038,1,"Zc3h12b","DC","Not Significant"
0.00685781754106459,-3.95584883357789,0,0.141,1,"Primpol","DC","Not Significant"
0.00685781754106459,-3.93322445460494,0,0.141,1,"Man2c1","DC","Not Significant"
0.00685781754106459,-5.27634838541831,0,0.141,1,"Dse","DC","Not Significant"
0.00685781754106459,-4.38817266686392,0,0.141,1,"Tbc1d32","DC","Not Significant"
0.00691040099349367,3.03308633751858,0.271,0.103,1,"Lifr","DC","Not Significant"
0.00695255723761117,3.05848469780219,0.25,0.09,1,"Psmd3","DC","Not Significant"
0.00709044677801749,1.14263001302991,0.562,0.385,1,"Dhx9","DC","Not Significant"
0.00709988878679574,2.11086370582976,0.229,0.064,1,"Yipf5","DC","Not Significant"
0.00716250603746708,4.48135877546214,0.125,0.013,1,"Stox2","DC","Not Significant"
0.00716250603746708,3.76675262724182,0.125,0.013,1,"Urb2","DC","Not Significant"
0.00716250603746708,3.15804264623756,0.125,0.013,1,"Ddx56","DC","Not Significant"
0.00716250603746708,4.4077968012578,0.125,0.013,1,"Or2m12","DC","Not Significant"
0.00732762489257395,1.82933517194703,0.562,0.385,1,"Cop1","DC","Not Significant"
0.00743872028193455,4.61113507382919,0.125,0.013,1,"Focad","DC","Not Significant"
0.00744312458692821,2.05968498765542,0.312,0.128,1,"A930015D03Rik","DC","Not Significant"
0.00772445048232413,4.06985373450583,0.125,0.013,1,"Shq1","DC","Not Significant"
0.00772445048232413,3.76915547786042,0.125,0.013,1,"Havcr1","DC","Not Significant"
0.00805224682592963,1.5895877763612,0.479,0.295,1,"Prkar1a","DC","Not Significant"
0.00832558720076092,2.5427968419076,0.125,0.013,1,"1700066M21Rik","DC","Not Significant"
0.00833129049097615,-1.54789486760008,0.271,0.474,1,"Adam23","DC","Not Significant"
0.00835191625180465,1.25432207911775,0.438,0.205,1,"Ifi27l2a","DC","Not Significant"
0.00837279441800283,2.87060501685404,0.312,0.128,1,"Fndc3b","DC","Not Significant"
0.00840542188834196,3.13783637961305,0.271,0.103,1,"Tex2","DC","Not Significant"
0.00862422560500671,1.36688747642216,0.479,0.269,1,"Tmod3","DC","Not Significant"
0.00864157408848049,1.98651706615879,0.125,0.013,1,"Phgdh","DC","Not Significant"
0.00870463837405105,2.69159552902163,0.354,0.167,1,"Tbck","DC","Not Significant"
0.00897640287007592,-4.05774788204811,0.042,0.205,1,"Pcyt1a","DC","Not Significant"
0.009079082441483,-0.572880792829715,0.667,0.846,1,"Rps24","DC","Not Significant"
0.00913100008336738,-1.24306721893371,0.229,0.462,1,"S100a4","DC","Not Significant"
0.00920991769380235,-0.663679523128247,0.688,0.91,1,"H2-Eb1","DC","Not Significant"
0.00922228978273258,-2.19859405355707,0.188,0.385,1,"Arhgef2","DC","Not Significant"
0.00950125692500567,4.91849148743515,0.146,0.026,1,"Clybl","DC","Not Significant"
0.00971408583028596,-0.336120484299807,0.021,0.179,1,"Skic2","DC","Not Significant"
0.00972275447508551,1.06526724514964,0.583,0.385,1,"Diaph1","DC","Not Significant"
0.00984960362892063,-0.66584582843348,0.583,0.744,1,"Rpl22","DC","Not Significant"
0.0102065345979539,-0.682805662469529,0.479,0.705,1,"Arpc3","DC","Not Significant"
0.0102621062262619,-4.9477986328561,0,0.128,1,"Tmco3","DC","Not Significant"
0.0102621062262619,-4.2094120304761,0,0.128,1,"Rnf43","DC","Not Significant"
0.0102621062262619,-4.08123981491691,0,0.128,1,"Eif2s3y","DC","Not Significant"
0.0103285632611035,1.08912035682998,0.521,0.333,1,"Apc","DC","Not Significant"
0.0104665435303106,5.32677375979176,0.167,0.038,1,"Socs1","DC","Not Significant"
0.0104757602152821,3.08128514400837,0.146,0.026,1,"Ltv1","DC","Not Significant"
0.0104757602152821,3.3710708448313,0.146,0.026,1,"Slc39a14","DC","Not Significant"
0.0104841143662584,-1.17474747956738,0.292,0.513,1,"Gapdh","DC","Not Significant"
0.0105294498045358,2.08196549443264,0.271,0.103,1,"Rnf214","DC","Not Significant"
0.0107863981584328,-0.651049511084342,0.625,0.795,1,"Fau","DC","Not Significant"
0.0109113166865725,3.97369840681173,0.188,0.051,1,"Golph3l","DC","Not Significant"
0.0109655263190075,-1.50263273500478,0.062,0.244,1,"Sae1","DC","Not Significant"
0.0110013664314794,1.22711661016429,0.438,0.244,1,"Ppp2r5a","DC","Not Significant"
0.0111010690750284,3.29926128707294,0.167,0.038,1,"Parp12","DC","Not Significant"
0.0113072607494384,2.20283377548165,0.292,0.128,1,"Mtarc2","DC","Not Significant"
0.0113332679479323,2.71440445359595,0.208,0.064,1,"Bcr","DC","Not Significant"
0.011369836835706,-0.798817985258834,0.562,0.705,1,"Myh9","DC","Not Significant"
0.0115381983230745,2.33031368103957,0.146,0.026,1,"Cpeb2","DC","Not Significant"
0.0118230978785755,-2.0664168880371,0.167,0.359,1,"Dscam","DC","Not Significant"
0.0119130185248946,2.25046496021161,0.146,0.026,1,"Pef1","DC","Not Significant"
0.0120831438788528,2.32709018062096,0.312,0.154,1,"Anxa7","DC","Not Significant"
0.0121205488320434,0.64454492073162,0.604,0.769,1,"Ighm","DC","Not Significant"
0.0121289780208258,2.26354222625066,0.229,0.077,1,"Patz1","DC","Not Significant"
0.0122295621624387,2.48545956143449,0.25,0.09,1,"Ppa2","DC","Not Significant"
0.0122985953334484,2.09015492416107,0.146,0.026,1,"Rnf24","DC","Not Significant"
0.0122985953334484,1.46440889593245,0.146,0.026,1,"Rrp9","DC","Not Significant"
0.012491511566842,3.04405528589454,0.188,0.051,1,"H2-T24","DC","Not Significant"
0.0125594679820828,-2.76223242221278,0.062,0.231,1,"Ncoa5","DC","Not Significant"
0.0128496519205437,1.56654088894003,0.438,0.244,1,"Eif2s1","DC","Not Significant"
0.012879862244618,-2.19164665132515,0.188,0.372,1,"Erlin1","DC","Not Significant"
0.0129340521844256,1.53569797697058,0.479,0.308,1,"Safb2","DC","Not Significant"
0.0133346670124879,-3.03410559093458,0.104,0.282,1,"Eif2ak1","DC","Not Significant"
0.0134995910988867,2.0523537286183,0.229,0.077,1,"Gvin2","DC","Not Significant"
0.0135993028922057,2.47724817276672,0.167,0.038,1,"Ppm1e","DC","Not Significant"
0.0136008839083002,-1.72869248158305,0.021,0.167,1,"Ear2","DC","Not Significant"
0.013862969111771,3.13576110026909,0.208,0.064,1,"Bcl2","DC","Not Significant"
0.0138892236248886,3.98780093271195,0.25,0.103,1,"Lrp8","DC","Not Significant"
0.0138982566141301,2.76238136699196,0.188,0.051,1,"Ccr5","DC","Not Significant"
0.0139865024846508,-3.40847217272308,0.042,0.192,1,"Alkbh3","DC","Not Significant"
0.0141903024551059,-2.30145964530862,0.083,0.256,1,"Pias2","DC","Not Significant"
0.0142710924453708,2.47266078220093,0.188,0.051,1,"Lrpap1","DC","Not Significant"
0.0143021048814339,-2.336163862835,0.062,0.231,1,"Nr4a1","DC","Not Significant"
0.0143193829356356,-3.2624332488062,0.042,0.192,1,"Nol10","DC","Not Significant"
0.0143266727391902,2.20172308259923,0.25,0.09,1,"Cstf2","DC","Not Significant"
0.0147001459470073,-1.90975049584718,0.312,0.5,1,"Niban1","DC","Not Significant"
0.0147001459470073,1.59971548716923,0.521,0.372,1,"Rnf213","DC","Not Significant"
0.0150172843718738,1.2996547037301,0.438,0.231,1,"Rc3h1","DC","Not Significant"
0.0153055944953548,2.12200229566846,0.208,0.064,1,"Cdadc1","DC","Not Significant"
0.0153211081164506,-4.97539313006687,0,0.115,1,"6430548M08Rik","DC","Not Significant"
0.0153211081164506,-4.57065883213043,0,0.115,1,"Cdca2","DC","Not Significant"
0.0153211081164506,-5.16128204099784,0,0.115,1,"Kif20b","DC","Not Significant"
0.0153211081164506,-4.3889039949776,0,0.115,1,"Ddx3y","DC","Not Significant"
0.0154708333094933,1.01681560951946,0.396,0.205,1,"Cnot6","DC","Not Significant"
0.0155064167874549,1.12097013098857,0.604,0.41,1,"Arhgap17","DC","Not Significant"
0.0155623978306511,-2.00658880737295,0.188,0.372,1,"Smc4","DC","Not Significant"
0.0155627866837783,2.47515531351192,0.396,0.231,1,"Nudcd3","DC","Not Significant"
0.0155792348281965,-1.81711379321249,0.062,0.231,1,"Zfp740","DC","Not Significant"
0.0156862787235659,1.59930278417754,0.479,0.308,1,"Akr1a1","DC","Not Significant"
