"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
4.38389582071163e-07,2.9304425947046,0.36,0.082,0.0147719753574699,"Vim","Macrophages","Significant"
4.39174078983809e-07,0.79672650014032,1,0.982,0.0147984097654384,"Fth1","Macrophages","Significant"
6.52304687017496e-07,2.07642343441485,0.28,0.041,0.0219800587337416,"Cxcl9","Macrophages","Significant"
6.76081690119377e-06,3.91912304608674,0.2,0.024,0.227812486302625,"Cxcl10","Macrophages","Not Significant"
1.00856886632353e-05,4.06984217437715,0.16,0.012,0.339847365196376,"Igkv19-93","Macrophages","Not Significant"
1.14002536116066e-05,-2.90505530462973,0.16,0.5,0.384142945696695,"Igkc","Macrophages","Not Significant"
1.59577647223325e-05,0.717790627190441,0.96,0.847,0.537712840083717,"Gpx1","Macrophages","Not Significant"
2.12619390766302e-05,0.608649570397839,1,0.976,0.716442299126132,"Tmsb4x","Macrophages","Not Significant"
2.7366873705591e-05,0.603437996449451,1,0.976,0.922154176383594,"Ftl1","Macrophages","Not Significant"
2.97179703086568e-05,2.91744345304792,0.52,0.247,1,"Fabp5","Macrophages","Not Significant"
3.00094956231009e-05,0.890371529127769,0.9,0.735,1,"Hspa8","Macrophages","Not Significant"
3.23816440484429e-05,6.95328063461918,0.1,0,1,"Spon1","Macrophages","Not Significant"
3.23816440484429e-05,6.79500181647295,0.1,0,1,"Ighv2-9-1","Macrophages","Not Significant"
6.05229453337508e-05,3.47766199083958,0.12,0.006,1,"Gm15056","Macrophages","Not Significant"
9.07196189000672e-05,3.16320008927095,0.22,0.047,1,"Phyhd1","Macrophages","Not Significant"
9.32626522413517e-05,0.494129157550416,1,0.971,1,"Actb","Macrophages","Not Significant"
9.99208119845086e-05,1.0407321522722,0.78,0.588,1,"Cox4i1","Macrophages","Not Significant"
0.000109854162791635,-7.6191456790374,0,0.247,1,"Igkv8-24","Macrophages","Not Significant"
0.000110658690468353,0.868712840907473,0.82,0.712,1,"Rplp0","Macrophages","Not Significant"
0.000115069890340169,2.48743985127076,0.28,0.082,1,"Necap2","Macrophages","Not Significant"
0.000124498608189488,0.642843285828583,0.96,0.888,1,"Ucp2","Macrophages","Not Significant"
0.000130274791328279,0.812706995328545,0.84,0.671,1,"H3f3a","Macrophages","Not Significant"
0.000143300765553728,-1.41361414098491,0.36,0.641,1,"Cadm1","Macrophages","Not Significant"
0.000152272346421108,-1.0765580947018,0.46,0.706,1,"Ptprj","Macrophages","Not Significant"
0.000172469872463437,-7.16826313300108,0,0.235,1,"Igkv12-89","Macrophages","Not Significant"
0.000188720415815841,-1.36409779677908,0.4,0.653,1,"Mbnl1","Macrophages","Not Significant"
0.000205735548740889,-1.06987155337497,0.44,0.688,1,"Adgre4","Macrophages","Not Significant"
0.000268908755210822,0.975907909411887,0.78,0.594,1,"Arpc5","Macrophages","Not Significant"
0.000312768207249928,4.06035705854778,0.12,0.012,1,"Ighv9-3","Macrophages","Not Significant"
0.0003203216434273,-3.09716872181147,0.12,0.365,1,"Slc12a6","Macrophages","Not Significant"
0.000322285896171252,3.36103586850558,0.12,0.012,1,"Ccl12","Macrophages","Not Significant"
0.000339461835410065,3.89987927576227,0.1,0.006,1,"Arid5a","Macrophages","Not Significant"
