"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
4.60263183362e-30,-3.02423419306221,0.384,0.839,1.5509028226566e-25,"Gsr","Monocytes","Significant"
6.38665707547446e-12,-4.10369166935554,0.012,0.287,2.15204796815188e-07,"Igkv8-24","Monocytes","Significant"
1.77885282785544e-10,-3.77284876853849,0.03,0.294,5.9940224887417e-06,"Igkv12-89","Monocytes","Significant"
1.54756908000671e-09,-7.0529826471197,0,0.203,5.2146887719906e-05,"Ighv2-3","Monocytes","Significant"
3.55990318263285e-09,1.48580268165498,0.732,0.517,0.000119954497641997,"Irf7","Monocytes","Significant"
6.66405148194037e-09,-1.29591493126032,0.829,0.902,0.000224551878735463,"Cdk8","Monocytes","Significant"
8.43858758867079e-09,2.15531131399018,0.616,0.35,0.000284346647387851,"Ly6i","Monocytes","Significant"
1.2506627043926e-08,5.29797775380974,0.232,0.014,0.000421423304872131,"Ifi44","Monocytes","Significant"
4.52256029976161e-08,8.91189649747255,0.207,0.007,0.00152392191860767,"Igkv19-93","Monocytes","Significant"
5.36994853385059e-08,0.90536038387631,0.86,0.699,0.0018094578579663,"Stat1","Monocytes","Significant"
1.01316570851968e-07,-6.08004531585907,0,0.161,0.00341396317142792,"Ighv6-3","Monocytes","Significant"
1.57079533170668e-07,0.881243401604579,0.195,0.49,0.00529295194971884,"Igkc","Monocytes","Significant"
1.84716110091447e-07,-1.41018809979181,0.268,0.552,0.00622419404564141,"H2-Aa","Monocytes","Significant"
2.18548428216091e-07,1.9912645400849,0.354,0.105,0.00736420783716941,"Ifit3","Monocytes","Significant"
2.85200005581224e-07,-1.4835541756864,0.256,0.524,0.00961009938806494,"H2-Ab1","Monocytes","Significant"
4.68036454495705e-07,-4.88596251728325,0.012,0.175,0.0157709563706873,"Ighg3","Monocytes","Significant"
5.13612383970327e-07,0.555618076985751,0.488,0.755,0.0173066828902641,"Ighm","Monocytes","Significant"
7.81145652627095e-07,-5.32189973584672,0,0.14,0.0263214839109226,"Primpol","Monocytes","Significant"
3.22157056769377e-06,-1.31110766142601,0.238,0.483,0.108554041849009,"H2-Eb1","Monocytes","Not Significant"
8.33999121776394e-06,-1.11348359985737,0.72,0.818,0.281024344073774,"Cd74","Monocytes","Not Significant"
9.50938896891222e-06,1.15632312148015,0.665,0.51,0.320428370696466,"Pla2g7","Monocytes","Not Significant"
1.13923412778709e-05,-6.91000097383381,0,0.112,0.383876331699137,"Igkv1-110","Monocytes","Not Significant"
1.16891921086688e-05,0.681618176260737,0.86,0.783,0.393879017293705,"Atox1","Monocytes","Not Significant"
1.56617797557818e-05,0.619577640335738,0.994,0.979,0.527739330650822,"Malat1","Monocytes","Not Significant"
1.60099833546956e-05,3.01780224164318,0.213,0.049,0.539472399119823,"Ifit1","Monocytes","Not Significant"
1.96911761076759e-05,0.864482061765373,0.793,0.615,0.663513870124246,"Rnf213","Monocytes","Not Significant"
2.3645743723552e-05,2.63329149208385,0.305,0.112,0.796766980508808,"Marcksl1","Monocytes","Not Significant"
3.33110403893229e-05,0.997943190897852,0.567,0.336,1,"Treml4","Monocytes","Not Significant"
3.79967514583655e-05,0.533615295822138,0.732,0.566,1,"Nupr1","Monocytes","Not Significant"
4.14927954830653e-05,1.12110836553512,0.573,0.385,1,"Rtp4","Monocytes","Not Significant"
4.42342409947013e-05,1.20562654957857,0.445,0.231,1,"H2-Q6","Monocytes","Not Significant"
5.68403486147661e-05,-0.598324473129633,0.055,0.21,1,"Atxn1","Monocytes","Not Significant"
6.48712822078311e-05,1.393726763327,0.445,0.238,1,"Rigi","Monocytes","Not Significant"
7.54575629591237e-05,1.17849793653212,0.476,0.287,1,"Irgm1","Monocytes","Not Significant"
8.96251119989616e-05,-0.925414087026617,0.433,0.636,1,"Myadm","Monocytes","Not Significant"
0.000102411835341308,-2.70303249175185,0.024,0.147,1,"Igkv4-57","Monocytes","Not Significant"
0.000109249041785648,1.72802113961504,0.402,0.224,1,"Ifi205","Monocytes","Not Significant"
0.000112741813755765,-1.38050586166864,0.128,0.315,1,"Chsy1","Monocytes","Not Significant"
0.000156481266087799,-0.443410859430863,0.829,0.881,1,"Flna","Monocytes","Not Significant"
0.000165102827494586,-4.45083125817281,0.018,0.126,1,"Igkv1-117","Monocytes","Not Significant"
0.000175978219145311,-1.1993745662715,0.695,0.79,1,"Il31ra","Monocytes","Not Significant"
0.000180271366780212,-0.741958299037153,0.476,0.65,1,"Ccr2","Monocytes","Not Significant"
0.000222908833795933,0.667077602832578,0.78,0.657,1,"Nfkbia","Monocytes","Not Significant"
0.000250934587320144,-0.876412252081289,0.177,0.357,1,"S100a8","Monocytes","Not Significant"
0.000251271470219111,-0.49699785721308,0.915,0.965,1,"mt-Nd4","Monocytes","Not Significant"
0.000268732872457285,0.419202652872815,0.902,0.895,1,"Ms4a6c","Monocytes","Not Significant"
0.000279862288971727,-1.77802605097568,0.22,0.371,1,"Ppp2cb","Monocytes","Not Significant"
0.000285331924278717,1.07050568074593,0.591,0.399,1,"Tank","Monocytes","Not Significant"
0.000307523410006144,-0.851922326730548,0.287,0.476,1,"Capn2","Monocytes","Not Significant"
0.000310108258857151,2.16507593033076,0.146,0.028,1,"Slfn3","Monocytes","Not Significant"
0.000346710109824489,-0.949928063441198,0.293,0.476,1,"Mpc1","Monocytes","Not Significant"
0.000363096753692383,-1.4139000133977,0.122,0.287,1,"Cirbp","Monocytes","Not Significant"
0.000372234496534839,0.852893278706273,0.634,0.469,1,"Il2rg","Monocytes","Not Significant"
0.000373048136727857,2.13864992521301,0.317,0.161,1,"Ifit2","Monocytes","Not Significant"
0.000416310038760755,1.43250670499728,0.348,0.168,1,"Tgm2","Monocytes","Not Significant"
0.000427065781667397,-1.41016106109518,0.134,0.294,1,"Axin1","Monocytes","Not Significant"
0.000431257641567117,1.08726856963087,0.482,0.322,1,"Rasa4","Monocytes","Not Significant"
0.000496540206128984,1.48646718020645,0.348,0.182,1,"Phf11d","Monocytes","Not Significant"
0.000528866112879982,0.88290031722302,0.335,0.161,1,"Ifi206","Monocytes","Not Significant"
0.000633585622836703,0.653351551726993,0.543,0.35,1,"Xaf1","Monocytes","Not Significant"
0.000652221432152411,0.892146652116997,0.622,0.51,1,"Zbp1","Monocytes","Not Significant"
0.000672190466167877,-0.943892251723165,0.183,0.357,1,"Tle3","Monocytes","Not Significant"
0.000688754444810065,1.20293118865511,0.494,0.343,1,"Ifi211","Monocytes","Not Significant"
0.00078224034245392,1.62716993949775,0.354,0.196,1,"Irgm2","Monocytes","Not Significant"
0.000799879928105507,1.59299481072503,0.238,0.098,1,"Rsad2","Monocytes","Not Significant"
0.000875785460617043,1.18410224452696,0.317,0.161,1,"Oas1g","Monocytes","Not Significant"
0.000914309678329673,1.71696026471612,0.238,0.098,1,"Med17","Monocytes","Not Significant"
0.000946763885515888,-1.9406396572124,0.091,0.224,1,"Lztfl1","Monocytes","Not Significant"
0.000982465816706647,-1.56946390195299,0.061,0.182,1,"Zfp281","Monocytes","Not Significant"
0.00101763877910696,-2.0869577285343,0.024,0.119,1,"Dpep2","Monocytes","Not Significant"
0.00104669170899564,-2.30976126699898,0.073,0.196,1,"Gm15564","Monocytes","Not Significant"
0.0011063170608343,0.912097946832093,0.622,0.517,1,"H2-Q7","Monocytes","Not Significant"
0.00112192414402565,-2.26168906948141,0.055,0.168,1,"Mta1","Monocytes","Not Significant"
0.00116551404643031,-2.09464803289413,0.037,0.14,1,"Cdk2","Monocytes","Not Significant"
0.00120051975371892,-1.60563888269557,0.043,0.154,1,"Szt2","Monocytes","Not Significant"
0.00132807404439461,1.13439152941952,0.378,0.231,1,"Bcl2a1b","Monocytes","Not Significant"
0.00135639039073333,0.853986383470801,0.506,0.35,1,"Lpcat2","Monocytes","Not Significant"
0.00140029230982239,-0.310583397452935,0.97,1,1,"mt-Atp6","Monocytes","Not Significant"
0.00140563915930744,1.84076777551137,0.183,0.063,1,"Oasl1","Monocytes","Not Significant"
0.00142868586418656,-2.17345183467903,0.085,0.21,1,"Ubap2","Monocytes","Not Significant"
0.00150601766682689,0.590618878775474,0.841,0.748,1,"Lcp2","Monocytes","Not Significant"
0.00152943192218828,-0.7660793703789,0.622,0.699,1,"Ahnak","Monocytes","Not Significant"
0.0015444765611448,0.441775850985336,0.854,0.804,1,"Rsrp1","Monocytes","Not Significant"
0.0016474387451982,-0.67056100272627,0.5,0.643,1,"Fcgr3","Monocytes","Not Significant"
0.00166698784817833,-0.587865915902797,0.445,0.601,1,"Hpcal1","Monocytes","Not Significant"
0.00170673089301263,-0.805863431638235,0.445,0.594,1,"Adam10","Monocytes","Not Significant"
