"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
1.93018551704391e-07,-2.34610414997988,0.578,0.879,0.00650395311823115,"Tox","NK cells","Significant"
6.11829371755655e-07,1.97496550655985,0.711,0.288,0.0206162025106785,"Klf2","NK cells","Significant"
8.81883880275495e-07,2.26099637155349,0.644,0.197,0.0297159592297631,"Serpinb9","NK cells","Significant"
1.27634115484294e-06,2.30383006523119,0.622,0.197,0.0430075915535878,"Gzma","NK cells","Significant"
1.31881219579536e-06,1.39033688987347,0.956,0.561,0.0444386957495206,"Ahnak","NK cells","Significant"
1.74854868168231e-06,2.50116714447498,0.533,0.121,0.058919096377967,"Itgam","NK cells","Not Significant"
4.047650281493e-06,7.24107357845314,0.289,0,0.136389623885188,"Igkv19-93","NK cells","Not Significant"
4.9118965410834e-06,1.79279918834175,0.644,0.212,0.165511265848346,"Lgals1","NK cells","Not Significant"
7.18354062994128e-06,2.67117130883954,0.467,0.091,0.242056585066501,"Klrg1","NK cells","Not Significant"
9.407383360624e-06,-2.76592080918875,0.156,0.561,0.316991189719586,"Cd3g","NK cells","Not Significant"
1.7314091999788e-05,1.87691380106239,0.778,0.455,0.583415644024855,"Zeb2","NK cells","Not Significant"
1.79868600993373e-05,-0.826408548307551,0.933,1,0.606085237907268,"Mbnl1","NK cells","Not Significant"
1.94114004787155e-05,-2.32679511251201,0.289,0.667,0.654086550530797,"St6galnac3","NK cells","Not Significant"
2.03718744056905e-05,2.9299100639903,0.444,0.106,0.686450679974148,"S1pr5","NK cells","Not Significant"
2.14547564701e-05,1.41715343036396,0.778,0.333,0.722939474016489,"Kcnq5","NK cells","Not Significant"
2.18889413672189e-05,2.77878661587561,0.489,0.136,0.737569768309808,"Klrb1b","NK cells","Not Significant"
2.23677829939693e-05,2.76191684179159,0.467,0.106,0.75370481576479,"Dipk1a","NK cells","Not Significant"
2.70610861110684e-05,-1.40276268201325,0.6,0.833,0.911850357598562,"Gphn","NK cells","Not Significant"
3.33023486986071e-05,1.64289947388234,0.622,0.258,1,"Il12rb2","NK cells","Not Significant"
3.89074580965393e-05,1.82910897291142,0.511,0.152,1,"Zfc3h1","NK cells","Not Significant"
4.10295406759648e-05,2.31194187747523,0.6,0.288,1,"Irf8","NK cells","Not Significant"
4.54542316540535e-05,-0.903386300392587,0.689,0.848,1,"Shisa5","NK cells","Not Significant"
5.60050542990465e-05,-6.38735159076499,0,0.303,1,"Igkv4-57","NK cells","Not Significant"
5.7787145109924e-05,-1.3708360413321,0.4,0.788,1,"Ighm","NK cells","Not Significant"
5.90611715684137e-05,2.8208538325092,0.378,0.076,1,"Rap2b","NK cells","Not Significant"
7.30557355977708e-05,1.50011347167339,0.711,0.424,1,"Tagln2","NK cells","Not Significant"
7.66590664980303e-05,0.676490542984729,0.978,0.833,1,"Cdc42","NK cells","Not Significant"
7.74078789812716e-05,1.65392307783565,0.711,0.379,1,"Itga2","NK cells","Not Significant"
8.54819422510521e-05,-3.95253344812163,0.044,0.364,1,"Gm30211","NK cells","Not Significant"
0.000168432588854948,5.15457548324705,0.2,0,1,"Gm41790","NK cells","Not Significant"
0.000169408602792785,3.48453692571182,0.244,0.015,1,"Npc1","NK cells","Not Significant"
0.00019317168647193,-1.23485717513983,0.6,0.818,1,"Setbp1","NK cells","Not Significant"
0.000205330725571066,3.57808160201332,0.267,0.03,1,"Nfic","NK cells","Not Significant"
0.000241871482421635,1.6665461449557,0.578,0.227,1,"Crlf3","NK cells","Not Significant"
0.000263955182768976,1.57509063001384,0.578,0.273,1,"Cd9","NK cells","Not Significant"
0.000280708607013143,2.60198467580876,0.378,0.106,1,"Gm10130","NK cells","Not Significant"
0.000293930072776621,1.55710663466528,0.578,0.258,1,"Zmiz1","NK cells","Not Significant"
0.00029614870688817,2.71541924642,0.267,0.03,1,"Fcgr3","NK cells","Not Significant"
0.000312826484001962,1.1810657740147,0.622,0.273,1,"Atp8b4","NK cells","Not Significant"
0.00032923447845778,4.33173707744915,0.222,0.015,1,"Dnajc4","NK cells","Not Significant"
0.000338714679613518,1.13774111569229,0.733,0.409,1,"Arhgef18","NK cells","Not Significant"
0.000392672185417511,-2.29326418083212,0.289,0.606,1,"Igkc","NK cells","Not Significant"
0.000397742451279195,1.51520448940643,0.689,0.364,1,"Dnm2","NK cells","Not Significant"
0.000398737406142928,1.0591737746924,0.778,0.53,1,"Itgb1","NK cells","Not Significant"
0.000407869928457528,2.74686018977457,0.289,0.045,1,"Plekho2","NK cells","Not Significant"
0.000414854409226044,1.24436175344052,0.778,0.455,1,"Il18rap","NK cells","Not Significant"
0.000418885417957379,-0.73586476254901,0.844,0.924,1,"Gimap4","NK cells","Not Significant"
0.000436072425569623,1.49079929773654,0.6,0.303,1,"Sytl3","NK cells","Not Significant"
0.000456868720945822,2.66164697637224,0.311,0.061,1,"Rnf13","NK cells","Not Significant"
0.000470296026481963,-1.20000858342157,0.6,0.879,1,"Rabgap1l","NK cells","Not Significant"
0.000493965213020346,0.807450785119073,0.489,0.197,1,"Adnp","NK cells","Not Significant"
0.000500480224280943,1.54480396025595,0.622,0.288,1,"Vim","NK cells","Not Significant"
0.000502051799526381,0.714533046927154,0.822,0.652,1,"H3f3a","NK cells","Not Significant"
0.000511461315240533,1.92151516518388,0.467,0.182,1,"Dnmt1","NK cells","Not Significant"
0.000532897381116004,1.3552994523367,0.6,0.273,1,"Il18r1","NK cells","Not Significant"
0.000538431859181207,0.896757144540232,0.844,0.652,1,"Selplg","NK cells","Not Significant"
0.000563989759333492,-1.15395599644255,0.533,0.742,1,"Aak1","NK cells","Not Significant"
0.000610756067050653,2.41514062501825,0.4,0.121,1,"Rap1gap2","NK cells","Not Significant"
0.000644919524475421,1.43799386485586,0.667,0.348,1,"S100a6","NK cells","Not Significant"
0.000658542658066821,-6.71786559348068,0,0.227,1,"Igkv12-89","NK cells","Not Significant"
0.000672272623759549,1.33217858575793,0.533,0.242,1,"Cyth1","NK cells","Not Significant"
0.000674456089569794,-1.7657202207699,0.311,0.636,1,"Vmp1","NK cells","Not Significant"
0.000706475505916792,-1.40375243096661,0.511,0.758,1,"Cblb","NK cells","Not Significant"
0.000741325210867893,1.3990649300549,0.622,0.333,1,"Emp3","NK cells","Not Significant"
0.000761777743638875,2.49661947397329,0.356,0.106,1,"Crybg1","NK cells","Not Significant"
0.000791001811699901,5.47115054554243,0.2,0.015,1,"Gm15987","NK cells","Not Significant"
0.00082630055910635,4.11071091225044,0.2,0.015,1,"Nqo2","NK cells","Not Significant"
0.000863055966084402,4.10543700820125,0.2,0.015,1,"Sirt5","NK cells","Not Significant"
0.000865748416585588,1.1581363403792,0.8,0.667,1,"H2az1","NK cells","Not Significant"
0.000868583058481071,1.97984487831016,0.378,0.121,1,"Fam117a","NK cells","Not Significant"
0.000882853961618609,2.01308760307607,0.267,0.045,1,"Gnaq","NK cells","Not Significant"
0.000899286733655361,-1.55811450773955,0.378,0.682,1,"Jmjd1c","NK cells","Not Significant"
0.000959602162511919,1.2092328895727,0.6,0.288,1,"Elf2","NK cells","Not Significant"
0.000982497478072451,1.39727436594857,0.556,0.273,1,"Mark3","NK cells","Not Significant"
0.000987574476914488,1.9935469172373,0.333,0.076,1,"As3mt","NK cells","Not Significant"
0.00101661862263112,4.6965419168408,0.156,0,1,"Anxa4","NK cells","Not Significant"
0.00101661862263112,6.52398730656586,0.156,0,1,"Ighv9-3","NK cells","Not Significant"
0.00105660267450351,-8.40516985185031,0,0.212,1,"Igkv8-24","NK cells","Not Significant"
0.00107931917380231,-2.63075611731103,0.156,0.424,1,"Dscam","NK cells","Not Significant"
0.00107948178371972,-2.02696117516665,0.111,0.394,1,"Dis3l2","NK cells","Not Significant"
0.00111735911857696,0.70259969477098,0.2,0.015,1,"Mkrn2","NK cells","Not Significant"
0.00116823530530322,-1.97460272378413,0.156,0.439,1,"Spata5","NK cells","Not Significant"
0.00117713041658221,2.63546461761104,0.289,0.061,1,"Cmah","NK cells","Not Significant"
0.00129856995857738,1.88053304424458,0.4,0.152,1,"Eri1","NK cells","Not Significant"
0.00130766762816381,-0.64669711223457,0.844,0.879,1,"Rps15a","NK cells","Not Significant"
0.00134581693833316,-4.26919630278906,0.022,0.242,1,"Lrrc8d","NK cells","Not Significant"
0.00136788647038051,1.08173011299921,0.6,0.288,1,"Fgfr1op2","NK cells","Not Significant"
0.00136994851612252,0.843918168937944,0.756,0.424,1,"Atp1b3","NK cells","Not Significant"
0.0014106943007152,2.93321303331666,0.222,0.03,1,"Chmp2b","NK cells","Not Significant"
0.00147630455646859,0.619057121604864,0.933,0.864,1,"Jak1","NK cells","Not Significant"
0.00148450086937001,-1.4776796832934,0.289,0.576,1,"Serpina3g","NK cells","Not Significant"
0.00150912383588105,-2.71134299390925,0.044,0.288,1,"Trgc4","NK cells","Not Significant"
0.00154699219301523,2.05487646298183,0.378,0.121,1,"Pcbd2","NK cells","Not Significant"
0.00156626303764977,-2.26762329883476,0.244,0.5,1,"Trbc2","NK cells","Not Significant"
0.0015829784231416,2.59456233942642,0.222,0.03,1,"Stmn1","NK cells","Not Significant"
0.00160176456673524,1.12972835685944,0.533,0.227,1,"Crebrf","NK cells","Not Significant"
0.00163411879815371,1.0090936524178,0.778,0.545,1,"Clint1","NK cells","Not Significant"
0.00165107574064287,1.07517788096581,0.511,0.212,1,"Nrd1","NK cells","Not Significant"
0.00168524655259528,-6.91414567657961,0,0.197,1,"Trbv19","NK cells","Not Significant"
0.00168524655259528,-7.00267619496012,0,0.197,1,"Igkv1-117","NK cells","Not Significant"
0.00168524655259528,-7.98038033192711,0,0.197,1,"Ighv2-3","NK cells","Not Significant"
0.00170837997264021,1.28843683400294,0.222,0.03,1,"1700037H04Rik","NK cells","Not Significant"
0.00170837997264021,2.5426924234265,0.222,0.03,1,"D5Ertd615e","NK cells","Not Significant"
0.00175062057830064,-1.33686445676035,0.311,0.606,1,"Atxn1","NK cells","Not Significant"
0.00183622760268827,1.28660337894212,0.622,0.348,1,"Mapk1","NK cells","Not Significant"
0.00191271810184758,1.6462636298304,0.356,0.106,1,"Sec61a1","NK cells","Not Significant"
0.00198872271500984,1.13946901895113,0.778,0.485,1,"Rbms1","NK cells","Not Significant"
0.00201586428813551,2.47186229283939,0.311,0.091,1,"Phax","NK cells","Not Significant"
0.00201599741226459,1.68529226362082,0.4,0.136,1,"Elovl5","NK cells","Not Significant"
0.00213588427729944,3.26065152145925,0.178,0.015,1,"Timp2","NK cells","Not Significant"
