"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
8.63871166973978e-76,-4.21270817555006,0.329,0.973,2.91090028423552e-71,"Gsr","Neutrophils","Significant"
5.41225521073448e-22,13.1732451726526,0.213,0.011,1.82371351580909e-17,"Igkv19-93","Neutrophils","Significant"
3.68080877504707e-15,-7.03801495951561,0.006,0.307,1.24028532483986e-10,"Igkv8-24","Neutrophils","Significant"
1.04456467226606e-13,10.5494733672922,0.14,0.009,3.51976511966773e-09,"Ighv9-3","Neutrophils","Significant"
7.87812690745375e-12,2.99390974335105,0.177,0.028,2.65461364273561e-07,"Ifi209","Neutrophils","Significant"
3.46562238062293e-10,-7.93120035094375,0,0.205,1.1677761173747e-05,"Ighv2-3","Neutrophils","Significant"
9.89654668317239e-10,-5.39459894376909,0.006,0.207,3.33474037036177e-05,"Ighg3","Neutrophils","Significant"
1.72735437501366e-09,-6.39124998943801,0.006,0.201,5.82049330204603e-05,"Igkv1-117","Neutrophils","Significant"
3.79870040389882e-09,-0.767321258576282,0.64,0.806,0.000128001008809775,"Lrg1","Neutrophils","Significant"
5.01273324883627e-09,-3.9502942538297,0.03,0.233,0.000168909059552787,"Igkv12-89","Neutrophils","Significant"
1.55142838845599e-08,-5.31924004383846,0.006,0.182,0.000522769309774131,"Igkv4-57","Neutrophils","Significant"
6.83163247235199e-08,-1.63642164151831,0.329,0.537,0.00230198687788373,"Wfdc17","Neutrophils","Significant"
7.35298655827264e-08,2.92935599143588,0.201,0.455,0.00247766235067555,"Igkc","Neutrophils","Significant"
1.00966753344307e-07,-0.780706425236282,0.726,0.856,0.00340217572068977,"Picalm","Neutrophils","Significant"
1.48159106760734e-07,2.53610437297127,0.159,0.042,0.00499236926140971,"Ifi207","Neutrophils","Significant"
1.72047787382202e-07,3.12899799924751,0.116,0.021,0.0057973222436307,"Ifi206","Neutrophils","Significant"
6.20134838552826e-07,-1.20731449602227,0.335,0.554,0.020896063519876,"Atrnl1","Neutrophils","Significant"
7.4727361250654e-07,-7.23075155793495,0,0.135,0.0251801316470204,"Ighv6-3","Neutrophils","Significant"
8.02401632280961e-07,-0.491889925224322,0.72,0.877,0.0270377254013392,"Skap2","Neutrophils","Significant"
9.43387522800687e-07,1.36982795951585,0.329,0.161,0.0317883859682919,"Xaf1","Neutrophils","Significant"
1.07862971150414e-06,2.5009662536208,0.421,0.664,0.0363455067588434,"Ighm","Neutrophils","Significant"
1.61102847238754e-06,-0.599980696828034,0.933,0.956,0.0542852154055706,"Ifitm2","Neutrophils","Not Significant"
1.77456933359319e-06,1.56319359087907,0.232,0.093,0.0597958882647561,"Ppp1r21","Neutrophils","Not Significant"
2.16979443580324e-06,1.98165353946358,0.293,0.146,0.0731133933088261,"Ifit3","Neutrophils","Not Significant"
2.86005109648943e-06,2.63807711218373,0.14,0.04,0.0963722817473077,"Gvin2","Neutrophils","Not Significant"
3.14563886929513e-06,-1.3046003940507,0.207,0.4,0.105995447339769,"Hif1a","Neutrophils","Not Significant"
5.29466968257725e-06,-6.90894771293776,0,0.116,0.178409189624123,"Ighv1-15","Neutrophils","Not Significant"
5.95066368495706e-06,-1.54300065346494,0.177,0.355,0.200513563528313,"Ppp2cb","Neutrophils","Not Significant"
1.25427879698949e-05,-0.908971871050499,0.537,0.691,0.422641783433578,"Neat1","Neutrophils","Not Significant"
1.27371773957314e-05,-0.900451526303182,0.427,0.607,0.429191929526567,"Clec4e","Neutrophils","Not Significant"
1.60530776783366e-05,1.58767328540152,0.232,0.104,0.540924505449231,"Usp18","Neutrophils","Not Significant"
1.62408420866298e-05,-1.5559489403891,0.152,0.319,0.547251414951077,"Wrn","Neutrophils","Not Significant"
1.83734922276678e-05,0.557976056736187,0.854,0.787,0.619113194103495,"Rsrp1","Neutrophils","Not Significant"
2.41146664701181e-05,-1.77689326325308,0.091,0.243,0.812567801377101,"Scrg1","Neutrophils","Not Significant"
2.41208982339649e-05,1.43035041905313,0.622,0.554,0.81277778689168,"Ifi27l2a","Neutrophils","Not Significant"
2.45891847359601e-05,-1.10854476309387,0.506,0.645,0.828557168862913,"Ifitm1","Neutrophils","Not Significant"
2.87447067985604e-05,0.971679784373262,0.39,0.235,0.96858164028429,"Cmpk2","Neutrophils","Not Significant"
6.55783300442637e-05,1.79639666903823,0.226,0.108,1,"Ifi47","Neutrophils","Not Significant"
7.77005176029634e-05,-0.550214493869647,0.518,0.696,1,"Il36g","Neutrophils","Not Significant"
8.35049772901161e-05,1.99618083970913,0.183,0.08,1,"Bst2","Neutrophils","Not Significant"
0.000113069890780844,-0.480637188211884,0.811,0.909,1,"Grina","Neutrophils","Not Significant"
0.000137611482872422,-1.11794931737789,0.372,0.512,1,"Dmxl2","Neutrophils","Not Significant"
0.000144335921259499,-0.568353936626141,0.701,0.791,1,"Lilrb4b","Neutrophils","Not Significant"
0.000175669968681338,-0.659823087016926,0.579,0.71,1,"App","Neutrophils","Not Significant"
0.000176643593344168,-1.43691346146994,0.091,0.22,1,"Vrk3","Neutrophils","Not Significant"
0.000177331574205818,-0.87757881039462,0.299,0.461,1,"Pim1","Neutrophils","Not Significant"
0.000177604880203024,0.934910645416794,0.354,0.218,1,"Gm20559","Neutrophils","Not Significant"
0.000208017785427258,0.936957188879857,0.341,0.203,1,"Ifi204","Neutrophils","Not Significant"
0.000230290570473654,-0.524056634102294,0.707,0.846,1,"Lilrb4a","Neutrophils","Not Significant"
0.000241146899499555,-0.993309773147962,0.171,0.323,1,"Wsb1","Neutrophils","Not Significant"
