"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
9.05330960261936e-07,7.6706427316071,0.351,0.014,0.0305060320369862,"Nrxn1","Stem cells","Significant"
2.07571424702901e-06,7.36371222110375,0.297,0,0.0699432672678896,"Meis1","Stem cells","Not Significant"
3.53778954622034e-06,2.11457220482012,0.811,0.493,0.119209356549441,"Iqgap2","Stem cells","Not Significant"
6.71716243068732e-06,9.72888443997496,0.27,0,0.22634150526444,"Ctla2a","Stem cells","Not Significant"
1.13361433972768e-05,-1.29856595724093,0.649,0.826,0.381982687914639,"Atp5j","Stem cells","Not Significant"
2.53218466220109e-05,-6.31215199828579,0.189,0.652,0.853244943775279,"Igkc","Stem cells","Not Significant"
3.42675363912366e-05,4.37769995561777,0.459,0.13,1,"Rgs18","Stem cells","Not Significant"
4.00349347880148e-05,4.56724824142181,0.27,0.014,1,"Slc22a3","Stem cells","Not Significant"
4.52049179195994e-05,6.38467352767573,0.324,0.043,1,"Kcnq5","Stem cells","Not Significant"
5.5668336870388e-05,1.17942591822917,0.892,0.725,1,"Luc7l2","Stem cells","Not Significant"
6.04824931273556e-05,-3.60830372482037,0,0.348,1,"Primpol","Stem cells","Not Significant"
6.69708827154233e-05,7.2029421395609,0.216,0,1,"Auts2","Stem cells","Not Significant"
6.69708827154233e-05,6.09987771067682,0.216,0,1,"2610307P16Rik","Stem cells","Not Significant"
6.77827925206425e-05,3.25701256842127,0.351,0.058,1,"Kctd1","Stem cells","Not Significant"
8.25888744806435e-05,3.19757050054631,0.405,0.101,1,"Mef2c","Stem cells","Not Significant"
9.39260735518986e-05,-2.34230044477271,0.432,0.71,1,"Mt1","Stem cells","Not Significant"
0.00010541436075036,1.39316647290607,0.757,0.449,1,"Selenow","Stem cells","Not Significant"
0.000109412105652227,1.47979456261443,0.838,0.594,1,"Vps13b","Stem cells","Not Significant"
0.000115485463294239,4.94615383451907,0.243,0.014,1,"Prkg1","Stem cells","Not Significant"
0.000118571357514164,1.93300526518573,0.676,0.391,1,"Fam13b","Stem cells","Not Significant"
0.000147036781076742,4.79466001856725,0.297,0.043,1,"Bcl2","Stem cells","Not Significant"
0.000155380380639158,0.665008457412806,0.838,0.609,1,"Osbpl8","Stem cells","Not Significant"
0.000156169132844506,1.56477453870079,0.919,0.812,1,"Malat1","Stem cells","Not Significant"
0.000177329318817398,-0.980326548109581,0.649,0.797,1,"Atp5mpl","Stem cells","Not Significant"
0.000192394293403707,3.55470791365322,0.27,0.029,1,"Itpkb","Stem cells","Not Significant"
0.000195280380875282,-0.568369560470582,0.919,0.971,1,"Rpl41","Stem cells","Not Significant"
0.000201865148950543,1.46733029626385,0.838,0.667,1,"Hp1bp3","Stem cells","Not Significant"
0.000206945270044029,5.90523189687467,0.189,0,1,"St8sia6","Stem cells","Not Significant"
0.000206945270044029,4.28631785476013,0.189,0,1,"Klk8","Stem cells","Not Significant"
0.000206945270044029,4.08228126862769,0.189,0,1,"Elk3","Stem cells","Not Significant"
0.00022192424279574,1.66109302423117,0.27,0.029,1,"Gm15657","Stem cells","Not Significant"
0.000237657618270059,-0.621399103808713,0.811,0.913,1,"Rpl22","Stem cells","Not Significant"
0.000238903322014954,-0.664102954636997,0.838,0.928,1,"Rpl37","Stem cells","Not Significant"
0.000303664349390579,-1.75207980409349,0.432,0.71,1,"Me2","Stem cells","Not Significant"
0.000333733530031346,-6.54857016573719,0,0.29,1,"Igkv8-24","Stem cells","Not Significant"
0.000345908021087809,5.16474199185347,0.216,0.014,1,"Grk3","Stem cells","Not Significant"
0.000345990167990622,3.61458837847228,0.351,0.087,1,"Gm4258","Stem cells","Not Significant"
0.000357764122819917,-0.708891840509117,0.784,0.841,1,"Atp5g3","Stem cells","Not Significant"
0.000362434764557158,3.05066806471117,0.514,0.232,1,"Cdc14a","Stem cells","Not Significant"
0.000364500308729508,4.49290050148532,0.216,0.014,1,"Tmem176a","Stem cells","Not Significant"
0.000384023733205186,5.25366334971036,0.216,0.014,1,"Dlgap4","Stem cells","Not Significant"
0.00042241390297494,1.62901879001466,0.703,0.449,1,"Tprgl","Stem cells","Not Significant"
0.000426036872171007,3.20340607713668,0.216,0.014,1,"Coro2a","Stem cells","Not Significant"
0.000433505678318779,-0.750168368025047,0.784,0.884,1,"Rpl36al","Stem cells","Not Significant"
0.000454531521626743,4.36368267626912,0.243,0.029,1,"Zpbp","Stem cells","Not Significant"
0.000469632521503983,-0.930660616244898,0.649,0.855,1,"Atp5b","Stem cells","Not Significant"
0.000472311158351849,3.22437823239358,0.216,0.014,1,"Ikzf2","Stem cells","Not Significant"
0.000485586019295513,4.09321659316584,0.297,0.058,1,"Pard3b","Stem cells","Not Significant"
0.000485586019295513,6.39390718501777,0.297,0.058,1,"Nrgn","Stem cells","Not Significant"
0.000488934991456452,-0.510297253196389,0.946,0.928,1,"Rps27a","Stem cells","Not Significant"
0.000505833504678404,3.49893694266175,0.297,0.058,1,"Inpp4b","Stem cells","Not Significant"
