"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
2.50686621930533e-119,4.60331747622591,0.502,0.047,8.44713641257123e-115,"Lgals3","T cells","Significant"
1.48646518934832e-104,4.04452790016798,0.442,0.027,5.0087931020281e-100,"Trbv2","T cells","Significant"
1.41586651708689e-101,4.89131395820264,0.404,0.011,4.77090381597599e-97,"Trav5-4","T cells","Significant"
9.19113767482755e-99,6.72282589938331,0.383,0.006,3.09704575090989e-94,"Slc35f3","T cells","Significant"
2.71384404841649e-96,1.48683639552323,0.807,0.44,9.14456890554422e-92,"Ifi27l2a","T cells","Significant"
5.4597711835876e-92,3.671109509454,0.434,0.049,1.83972449802168e-87,"Slpi","T cells","Significant"
4.90159293247947e-87,1.50345591679551,0.757,0.421,1.65164075452828e-82,"Ly6a","T cells","Significant"
6.06589475901546e-80,1.76798094712342,0.74,0.426,2.04396389799785e-75,"S100a6","T cells","Significant"
9.45785131310038e-79,2.43232929774409,0.478,0.104,3.1869175784623e-74,"Gzmb","T cells","Significant"
1.10879766171107e-78,3.25345373627754,0.39,0.043,3.73620460090161e-74,"Ly6c1","T cells","Significant"
2.70532750515645e-72,-1.83696572396052,0.36,0.712,9.11587156137516e-68,"Ighm","T cells","Significant"
4.42898825777845e-72,1.73004574679607,0.531,0.151,1.49239188334103e-67,"Capg","T cells","Significant"
7.07904235413637e-69,-5.74108701315595,0.014,0.267,2.38535411164979e-64,"Igkv8-24","T cells","Significant"
3.75690931946208e-68,-2.61522770995418,0.212,0.558,1.26592816428594e-63,"Igkc","T cells","Significant"
3.72746174679724e-67,3.09695335222044,0.339,0.035,1.2560055102008e-62,"Socs2","T cells","Significant"
9.00890575019618e-65,2.16862798855065,0.53,0.218,3.03564088158611e-60,"Ly6c2","T cells","Significant"
1.09044668235631e-64,1.32457561925765,0.718,0.385,3.67436914086783e-60,"Id2","T cells","Significant"
2.94260440976472e-64,-3.11201059813437,0.05,0.324,9.91539981914322e-60,"Klrd1","T cells","Significant"
1.93626078919328e-63,1.83317727058549,0.614,0.312,6.52442435526567e-59,"Lgals1","T cells","Significant"
6.31366704925383e-63,1.98036228251077,0.433,0.104,2.12745324891657e-58,"Usp18","T cells","Significant"
1.11239650970798e-59,-8.25517450509347,0.003,0.211,3.74833127911202e-55,"Ighv2-3","T cells","Significant"
2.58392230825264e-59,1.68948096009819,0.42,0.095,8.70678460988811e-55,"Ccr2","T cells","Significant"
5.82848741894276e-59,3.75953890381876,0.276,0.018,1.96396712068695e-54,"Map6","T cells","Significant"
1.09260596262174e-58,1.76739519816468,0.529,0.202,3.6816450516502e-54,"Irf7","T cells","Significant"
3.2568755849228e-58,-5.5268843684954,0.008,0.221,1.09743679709559e-53,"Ighg3","T cells","Significant"
7.02212586919201e-56,-6.74822161558131,0.019,0.236,2.36617553288294e-51,"Igkv12-89","T cells","Significant"
1.14853755151199e-55,-9.36930296783083,0,0.192,3.87011213357479e-51,"Ddx3y","T cells","Significant"
1.05186025582465e-54,3.51615823333575,0.3,0.04,3.54434831802676e-50,"Gm42047","T cells","Significant"
1.45595216172028e-53,1.8409128741342,0.568,0.297,4.90597640413264e-49,"Atp8b4","T cells","Significant"
1.54688838148783e-53,2.12289409626196,0.397,0.102,5.2123950902614e-49,"A330040F15Rik","T cells","Significant"
4.03077497199532e-53,4.02670339051476,0.236,0.008,1.35820993456354e-48,"Pard3","T cells","Significant"
1.58104747980106e-52,-9.42784026080396,0,0.181,5.32749758793765e-48,"Uty","T cells","Significant"
5.05387396007773e-52,1.28101475354815,0.67,0.385,1.70295336958779e-47,"Slfn1","T cells","Significant"
5.66348139623506e-51,2.82536534801347,0.298,0.045,1.90836669127537e-46,"Aqp9","T cells","Significant"
1.17127920525917e-50,-9.16264886309928,0,0.175,3.94674241004129e-46,"Eif2s3y","T cells","Significant"
9.00193886648911e-50,1.25494141121469,0.665,0.382,3.03329332045217e-45,"Hopx","T cells","Significant"
3.41034902310061e-49,1.48952718521806,0.556,0.264,1.14915120682398e-44,"N4bp1","T cells","Significant"
1.22611340350648e-44,-5.49663230457835,0.006,0.171,4.13151172445542e-40,"Igkv1-117","T cells","Significant"
2.62057745955026e-44,1.14436347603358,0.566,0.256,8.83029780770056e-40,"Cxcr3","T cells","Significant"
3.84885535854075e-44,-4.60806431672272,0.009,0.178,1.29691030161389e-39,"Igkv4-57","T cells","Significant"
1.39282305760798e-43,1.76883430784939,0.306,0.061,4.69325657491585e-39,"Oasl2","T cells","Significant"
2.17487061865463e-43,0.72435484942307,0.776,0.413,7.32844403661865e-39,"Xist","T cells","Significant"
2.96300764859843e-43,1.2309112398599,0.491,0.194,9.98415057271726e-39,"Rtp4","T cells","Significant"
4.79134166255284e-43,1.61494717235971,0.426,0.151,1.61449048661381e-38,"1700025G04Rik","T cells","Significant"
6.71519334384104e-43,1.39157413188777,0.449,0.166,2.26275154914068e-38,"Dapl1","T cells","Significant"
1.0801166009803e-42,0.63079281380868,0.91,0.83,3.63956089866322e-38,"Ms4a6b","T cells","Significant"
2.64485396276055e-42,1.42797021477732,0.56,0.305,8.91209991291793e-38,"Sptssa","T cells","Significant"
