"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042113","B cell activation","14/94","319/28905",0.0438871473354232,13.4952978056426,12.8182575391432,2.35794317467769e-12,4.02029311282546e-09,3.23162317203195e-09,"Igkc/Cr2/Ighd/Ccr6/Ptk2b/Bcl11a/Foxp1/Dock10/Icosl/Fcrl1/Ighm/Plcl2/Dock11/Notch2",14
"GO:0030183","B cell differentiation","10/94","182/28905",0.0549450549450549,16.8956043956044,12.2874446747261,4.37282533998063e-10,3.72783360233349e-07,2.99653610139726e-07,"Igkc/Cr2/Ptk2b/Bcl11a/Foxp1/Dock10/Ighm/Plcl2/Dock11/Notch2",10
"GO:0030098","lymphocyte differentiation","14/94","490/28905",0.0285714285714286,8.78571428571428,9.92856325250328,6.80434498160725e-10,3.86713606454679e-07,3.10851128633426e-07,"Igkc/Cr2/Ccr6/Satb1/Ptk2b/Stat4/Bcl11a/Foxp1/Dock10/Zfp608/Ighm/Plcl2/Dock11/Notch2",14
"GO:0002440","production of molecular mediator of immune response","13/94","423/28905",0.0307328605200946,9.45035460992908,10.0005436900358,1.21077245983533e-09,5.16091761004809e-07,4.14848879659368e-07,"Igkv8-24/Igkv12-89/Igkv4-57/Ighd/Igkv1-117/Ccr6/Cd55/Il31ra/Foxp1/Icosl/Igkv1-110/Igkv6-20/Ighm",13
"GO:0002377","immunoglobulin production","11/94","275/28905",0.04,12.3,10.7546888786054,1.62592629545718e-09,5.54440866750897e-07,4.4567495509163e-07,"Igkv8-24/Igkv12-89/Igkv4-57/Ighd/Igkv1-117/Ccr6/Foxp1/Icosl/Igkv1-110/Igkv6-20/Ighm",11
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","13/94","494/28905",0.0263157894736842,8.09210526315789,9.08153209574571,7.75885013830342e-09,2.20480658096789e-06,1.77228471580194e-06,"Cr2/Ighv2-3/Kdm5d/Ighd/Fcer2a/Ighv6-3/Ccr6/Cd55/Ighg3/Stat4/Il31ra/Icosl/Ighm",13
"GO:0002315","marginal zone B cell differentiation","4/94","10/28905",0.4,123,22.0400317661698,2.16949697732292e-08,5.2842747804794e-06,4.2476467134954e-06,"Ptk2b/Dock10/Dock11/Notch2",4
"GO:0002312","B cell activation involved in immune response","7/94","97/28905",0.0721649484536082,22.1907216494845,11.9409476578905,3.10306265918273e-08,6.6134022923832e-06,5.316036292442e-06,"Ccr6/Ptk2b/Dock10/Icosl/Plcl2/Dock11/Notch2",7
"GO:0016064","immunoglobulin mediated immune response","10/94","302/28905",0.033112582781457,10.182119205298,9.16229645947936,5.56972241670345e-08,9.19012919767883e-06,7.38728088617246e-06,"Cr2/Ighv2-3/Ighd/Fcer2a/Ighv6-3/Ccr6/Cd55/Ighg3/Icosl/Ighm",10
"GO:0002449","lymphocyte mediated immunity","12/94","482/28905",0.024896265560166,7.65560165975104,8.41665678433443,5.591843957672e-08,9.19012919767883e-06,7.38728088617246e-06,"Cr2/Ighv2-3/Kdm5d/Ighd/Fcer2a/Ighv6-3/Ccr6/Cd55/Ighg3/Il31ra/Icosl/Ighm",12
"GO:0019724","B cell mediated immunity","10/94","305/28905",0.0327868852459016,10.0819672131148,9.10773881360917,6.10881039699622e-08,9.19012919767883e-06,7.38728088617246e-06,"Cr2/Ighv2-3/Ighd/Fcer2a/Ighv6-3/Ccr6/Cd55/Ighg3/Icosl/Ighm",10
"GO:0002285","lymphocyte activation involved in immune response","9/94","230/28905",0.0391304347826087,12.0326086956522,9.5952027171994,6.46812612153349e-08,9.19012919767883e-06,7.38728088617246e-06,"Ccr6/Ptk2b/Stat4/Foxp1/Dock10/Icosl/Plcl2/Dock11/Notch2",9
"GO:0002335","mature B cell differentiation","5/94","43/28905",0.116279069767442,35.7558139534884,13.0275339992604,2.85128656325221e-07,3.7395719925731e-05,3.00597174522622e-05,"Ptk2b/Dock10/Plcl2/Dock11/Notch2",5
"GO:0043087","regulation of GTPase activity","9/94","309/28905",0.029126213592233,8.95631067961165,8.03159986163879,7.79108326501863e-07,9.48842640489769e-05,7.62706045943929e-05,"Lrrk2/Ralgps2/Rap1gds1/Arhgap15/Dock10/Tns3/Rasgrp3/Rasgef1b/Dock11",9
"GO:0050853","B cell receptor signaling pathway","5/94","56/28905",0.0892857142857143,27.4553571428571,11.3189461904638,1.09435802650693e-06,0.000124392029012955,9.99897649482124e-05,"Tec/Foxp1/Ighm/Stap1/Plcl2",5
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","5/94","59/28905",0.0847457627118644,26.0593220338983,11.0056642159803,1.42331576871235e-06,0.00015167208660341,0.00012191823229365,"Cr2/Fcer2a/Cd55/Ighg3/Ighm",5
"GO:0002366","leukocyte activation involved in immune response","9/94","336/28905",0.0267857142857143,8.23660714285714,7.62115598420639,1.55616439313083e-06,0.000156074134722827,0.000125456720734139,"Ccr6/Ptk2b/Stat4/Foxp1/Dock10/Icosl/Plcl2/Dock11/Notch2",9
"GO:0002263","cell activation involved in immune response","9/94","340/28905",0.0264705882352941,8.13970588235294,7.56425917514627,1.71498514065759e-06,0.000162447203601177,0.000130579570358841,"Ccr6/Ptk2b/Stat4/Foxp1/Dock10/Icosl/Plcl2/Dock11/Notch2",9
"GO:0050851","antigen receptor-mediated signaling pathway","7/94","194/28905",0.0360824742268041,11.0953608247423,8.058649853474,3.44136430599688e-06,0.00030881716535393,0.000248235807557226,"Tec/Foxp1/Icosl/Ighm/Stap1/Plcl2/Prkd2",7
