"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","response to interferon-beta","4/8","72/28905",0.0555555555555556,200.729166666667,28.2332199189409,2.45788505320426e-09,2.88141554752601e-07,5.43860647808902e-08,"Ifi209/Ifi207/Ifi206/Xaf1",4
"GO:0140972","negative regulation of AIM2 inflammasome complex assembly","3/8","13/28905",0.230769230769231,833.798076923077,49.9712456641331,3.97436627244967e-09,2.88141554752601e-07,5.43860647808902e-08,"Ifi209/Ifi207/Ifi206",3
"GO:0140971","regulation of AIM2 inflammasome complex assembly","3/8","16/28905",0.1875,677.4609375,45.0333286191818,7.77894657093881e-09,3.75982417595376e-07,7.09658283664593e-08,"Ifi209/Ifi207/Ifi206",3
"GO:0140970","AIM2 inflammasome complex assembly","3/8","18/28905",0.166666666666667,602.1875,42.4514533074641,1.13320944523268e-08,4.10788423896846e-07,7.75353830948675e-08,"Ifi209/Ifi207/Ifi206",3
"GO:0097202","activation of cysteine-type endopeptidase activity","3/8","25/28905",0.12,433.575,36.0023139826099,3.19119437575999e-08,9.25446368970397e-07,1.74675902673178e-07,"Ifi209/Ifi207/Ifi206",3
"GO:0141086","negative regulation of inflammasome-mediated signaling pathway","3/8","28/28905",0.107142857142857,387.120535714286,34.0113184824455,4.54360095779513e-08,1.09803689813382e-06,2.07251973513462e-07,"Ifi209/Ifi207/Ifi206",3
"GO:0031333","negative regulation of protein-containing complex assembly","4/8","169/28905",0.0236686390532544,85.5177514792899,18.3347806299512,7.75115411062987e-08,1.60559620863047e-06,3.03052641919364e-07,"Ifi209/Ifi207/Ifi206/Xaf1",4
"GO:0030224","monocyte differentiation","3/8","42/28905",0.0714285714285714,258.080357142857,27.740890232012,1.58931054369473e-07,2.88062536044671e-06,5.43711501790304e-07,"Ifi209/Ifi207/Ifi206",3
"GO:0141085","regulation of inflammasome-mediated signaling pathway","3/8","53/28905",0.0566037735849057,204.516509433962,24.674434447784,3.23850532153091e-07,4.77958343911429e-06,9.02135531157688e-07,"Ifi209/Ifi207/Ifi206",3
"GO:0043392","negative regulation of DNA binding","3/8","54/28905",0.0555555555555556,200.729166666667,24.4430571578599,3.42856030179655e-07,4.77958343911429e-06,9.02135531157688e-07,"Ifi209/Ifi207/Ifi206",3
