"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.0019547051922508,0.0640448357956194,0.431707695803346,-0.404422846338343,-1.9270140565787,109,"Kdm5d;Ighg3;Ighv6-3;Ighv1-55;Igkv1-110;Ighv1-15;Igkc;Cr2;Ccr6;Ighm;Il6ra;Jchain;Fcer2a;Igkv14-111;Irf4;Il9r;Prdm1;Cd55;Stat4;Pik3cg;Icosl;Igkv1-117;Slamf7;Samsn1;Ptk2b;Tec"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.00226718877751073,0.06925342034996,0.431707695803346,-0.43350405389997,-1.87210153384753,74,"Kdm5d;Ighg3;Ighv6-3;Ighv1-55;Ighv1-15;Igkc;Cr2;Ccr6;Il6ra;Fcer2a;Irf4;Il9r;Cd55;Stat4"
"GOBP_ADHERENS_JUNCTION_ORGANIZATION",0.0250578899449147,0.21141916667809,0.352487857583619,0.620688483094589,1.63672997783632,10,"Fer;Cdh17;Vcl;Mtss1"
"GOBP_ALCOHOL_METABOLIC_PROCESS",0.00800111386958819,0.111386935227338,0.380730400722792,0.465746025961147,1.82252728063426,44,"Gnb3;Cyp11a1;Lipc;Plpp3;Apoe;Aldh3b1;Aldh2;Cyp39a1;Lipa;Ebp;Naaa;Pgp;Erlin1;Hmgcr;Ldlrap1"
"GOBP_ALPHA_BETA_T_CELL_ACTIVATION",0.012014636099838,0.143555482783252,0.380730400722792,0.42133474196947,1.68816739049009,51,"Cd80;Tnfsf8;Spn;Lgals1;Tbx21;Lgals3;Socs1;Bcl3;Twsg1;Ebi3;Il15;Nfkbid;Myc;Syk"
"GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION",0.000610113792339448,0.0394425769156547,0.477270815362862,0.536323061529431,2.03941855425212,39,"Mcc;Itgb1;Fer;Jun;Zeb2;Dusp10;Pdlim1;Nrp2;Sema7a;Sema5a"
"GOBP_AMINE_METABOLIC_PROCESS",0.025898220747858,0.215707830075108,0.352487857583619,0.613585931474618,1.66320579460521,11,"Itgam;Aldh7a1;Aldh2;Naaa;Itgb2;Sat1"
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",0.00782761031562796,0.109755485648625,0.380730400722792,0.332416549867276,1.5862686428506,149,"Robo1;Itgb1;Bmpr1a;Jun;Zeb2;Plxnd1;Chn2;E2f2;Cacna1s;Nebl;Ptpn14;Capn2;Casp3;Cd9;Nrp2;Knl1;Bcl3;Ceacam1;Ehd1;Dusp2;Sema5a;Twsg1;Leo1;Casp9;Agfg2;Stk3;Syk;Relt;Vegfb;Ext1;Arhgap24;Ehd4;Ssbp3;Cib1;Itgb2;Cd81;Tgif1;Tenm4;Hipk2;Kif20b;H2-Q7;Aggf1;Junb;Sat1;Actn1;Pim1"
"GOBP_APOPTOTIC_PROCESS",0.00581533854342975,0.0969058829260697,0.407017918923954,0.269164041440741,1.43297483073982,358,"Cd5;Itgb1;Trim2;Bmpr1a;Plscr1;Jun;Spn;Lgals1;Zeb2;Plxnd1;Mgmt;E2f2;Fas;Irf7;Ddit4;Apoe;Lgals3;Hck;Tsc22d3;Capn2;Casp3;Ahr;Ifi27l2a;Ptpn1;Fcgr2b;Elmo2;Bcl3;Sik1;Itm2c;Top2a;Cxcr4;Bad;Pycard;Icam1;Casp7;App;Sema5a;St3gal1;Dnase1l3;Rmdn3;Cd2;Tmem109;Casp9;Stk3;Lipa;Myc;Syk;Grk5;Gadd45b;Sirt2;Casp4;Relt;Vegfb;Rrp1b;Xaf1;Emc4;Hells;Srgn;Eef1e1;Hras;Gramd4;Ptms;Zbp1;Bax;Cib1;Itgb2;Traf1;Siah2;Hipk2;Cd44;Ifi27;H2-Q7;Pim2;Atad3a;Atf6;Bcl2l12;Kif1b;Marcks;Ccr7;Cdkn2d;Dmap1;Actn1;Pim1;Ing4;Plac8;Dnaja1;Meaf6;Nfkbiz;Cd38;Ucp2;Plekho2;Tnfaip8;Pirb;Glrx2;Fem1b;Zpr1;Bap1;Fxn;Bloc1s2;Stat1;Cers6;Hcls1;Apip;Rtn3;Ppid;Apex1;Eif2ak2"
"GOBP_APPENDAGE_DEVELOPMENT",0.0179137995962341,0.174327844346342,0.352487857583619,0.56099739457441,1.76215583234591,18,"Fras1;Asph;Bmpr1a;Flvcr1;Ext1;Bax"
