"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_AEROBIC_RESPIRATION",0.000690938554528355,0.135314876948967,0.477270815362862,0.301823799052849,1.67934511218412,103,"Ppif;Cs;Arl2;Ndufs6;Sdhaf4;Ndufb6;Mtfr1l;Uqcrc1;Sdhb;Slc25a33;Ndufc1;Idh2;Cyc1;Ndufs8;Bloc1s1;Atp5b;Ndufv3;Uqcc2;Aco1;Cox7a2l;Dld;Idh3b;Cox5b;Iscu;Cox4i1;Ndufab1;Ndufa12;Uqcr10;Mtfr1;Ndufa2;Stoml2;Ndufa7;Cox6c;Atp5h;Atp5j2;Cox5a;Cox6a1"
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",0.00173035984063898,0.225441167808965,0.45505986738723,-0.407499684069986,-1.73367367202179,75,"Ighg3;Stap1;Lpxn;Cblb;Igkc;Pik3ca;Cd72;Dusp22;Ighm;Gps2;Klhl6;Prkch;Vav3;Rnf31;Dgkz"
"GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1.61967167358954e-05,0.0219547544362676,0.575610261071129,-0.592589625401699,-2.13555982772049,34,"Ighg3;Stap1;Lpxn;Igkc;Cd72;Ighm;Gps2;Klhl6;Prkch;Vav3"
"GOBP_CELLULAR_RESPIRATION",0.0003752307409035,0.128328913388997,0.49849310876659,0.311828783472162,1.79926481118814,116,"Coq10b;Ppif;Oas1g;Cs;Arl2;Ndufs6;Sdhaf4;Ndufb6;Mtfr1l;Uqcrc1;Sdhb;Slc25a33;Ndufc1;Idh2;Cyc1;Cisd1;Ndufs8;Bloc1s1;Atp5b;Ndufv3;Uqcc2;Aco1;Cox7a2l;Dld;Idh3b;Cox5b;Iscu;Cox4i1;Ndufab1;Ndufa12;Uqcr10;Mtfr1;Ndufa2;Etfa;Prelid1;Stoml2;Ndufa7;Cox6c;Atp5h;Atp5j2;Cox5a;Etfdh;Cox6a1"
"GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON",0.00151074983943319,0.211082265456111,0.45505986738723,0.36400661724424,1.80882090580012,52,"Gbp5;Vim;Gbp4;Myo1c;Rab20;Pim1;Ifngr2;Gsn;Was;Vamp3;Cdc37;Gbp9;Irgm2;Stxbp2;Tlr2;Trp53;Gbp2;Tlr3;Nr1h3;Parp9;Casp1;Rps6kb1;Actg1;Jak1;Aif1"
"GOBP_CELL_ADHESION",0.000524854191951657,0.130545551743612,0.477270815362862,-0.303859340569421,-1.53332805618633,335,"Itgam;Negr1;Jak2;Mtss1;Ets1;Tesk1;Swap70;Lpxn;Itgax;Cblb;Nck2;Marchf7;Cyth3;Cd72;Ptpn23;Ambra1;Dusp22;Wdpcp;Unc13d;Bcl2l11;S100a9;Rreb1;Zfhx3;Nfat5;Fpr2;Faf1;Sirpb1b;Tor1a;Tfe3;Actn4;Pnn;Vav3;Aggf1;Lpp;Mad1l1;Ccdc88b;Smarca2;Mkln1;Tesk2;Cdk6;Arid1b;Zbtb1;Ext1;Il15;F11r;Pdpk1;Map3k8;Map2k5;Cytip;Utrn;Afdn;Dlc1;Plekha2;Sdc4;Selplg;Arid2;Dgcr2;Ptk2b;Itgav;Sema6a;Il4ra;Slk;Cyld;Nfkbiz;Myo1g;Golph3;Srgap2;Sash3;S100a8;Brd7;Nrp1;Cadm1;Stat5b;Tnip1;Ppp1cb;Pag1;Itpkb;Nedd9;Ptprm;Cd2ap;Vsir;Dlg1;Piezo1;Slc23a2;Abl2;Mtor;Cited2;Cyth1;Pbrm1;Lrp6;Vmp1;Pkn2;Nptn;Adam10;Sh2b3;Lrp5;Nf1;Ric8a;Ptprj;Ubash3b;Arhgap5;H2-DMa;Apc;Gsk3b;Rtn4;Tenm4;Adamdec1;Cask;Itga9;Flna;Cttn;Adgrl3;Gcnt1;Clasp2;Itga4;Prnp;Itgb5;Map2k1;Cd84;Apba1"
"GOBP_CYTOPLASMIC_TRANSLATION",0.000475655028329678,0.130545551743612,0.49849310876659,0.306854018859381,1.70777453329436,101,"Ythdf2;Alkbh3;Aars;Uba52;Ybx3;Eif3k;Dhx36;Eif2s2;Rwdd1;Eif3l;Rplp0;Eef2;Fmr1;Ybx1;Rpl24;Ncbp2;Rpl12;Rpsa;Rps18;Eif3c;Eif3b;Rpl27a;Rps2;Eif3f;Rpl36a;Rpl7;Rpl35;Slbp;Rps17;Rpl17;Pkm;Mif4gd;Sh3bgrl;Pabpc1;Rpl32;Rps13;Rps27a;Rps25;Syncrip;Rpl13;Rpl10;Rps8;Eif2b5;Drg1;Rps20;Rack1;Rps10;Rpl9;Eif2s3x;Rpl26;Rps7;Rpl19;Eif2b3;Rpl31;Rps15a;Rpl14;Rps28;Rps26;Rpl27;Rpl8;Rps3;Rplp1;Rpl23a;Rps3a1;Rplp2;Rpl7a;Mcts1;Rps5;Rpl36;Rps14;Rpl29;Rps9;Rpl28;Rpl21;Rps12;Rpl13a;Rpl4;Rpl39;Eif3e;Rps19;Rps11;Rpl6;Rps4x;Eif3m;Rpl10a;Csde1"
"GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS",0.00154299901649204,0.211082265456111,0.45505986738723,0.482244204852357,1.91377984129364,26,"Got1;Dglucy;Nit2;Phyh;Adss;Atic;Sdhb;Idh2;Aasdhppt;Dld"
"GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM",0.00200053913545782,0.2487943215733,0.431707695803346,0.534828985631857,1.86250865289619,17,"Cxcl10;Gbp5;Cxcl9;Lyz2;Ninj1;Csnk2b;Lgals3"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",0.000695291675385572,0.135314876948967,0.477270815362862,0.267738396005252,1.6119476429211,147,"Coq10b;Ppif;Phkg2;Acadvl;Oas1g;Cs;Arl2;Ndufs6;Sdhaf4;Ndufb6;Mtfr1l;Uqcrc1;Sdhb;Slc25a33;Ndufc1;Ppp1r2;Idh2;Atg2a;Cyc1;Cisd1;Ndufs8;Bloc1s1;Atp5b;Ndufv3;Uqcc2;Aco1;Cox7a2l;Dld;Idh3b;Cox5b;Iscu;Cox4i1;Ndufab1;Ndufa12;Uqcr10;Mtfr1;Ndufa2;Etfa;Prelid1;Gyg;Stoml2;Ndufa7;Cox6c;Atp5h;Trp53;Pygl;Atp5j2;Cox5a;Etfdh;Cox6a1;Akt1;Rhoa"
