"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",0.00417251121636051,0.154572574606082,0.407017918923954,0.240021767479444,1.56787119700382,204,"Oasl1;Ifi205;Irgm2;Rsad2;Nr1h3;Irf7;Tasl;Rigi;Mapk8;Mavs;Irgm1;Tnfaip3;Oas1g;Nlrx1;Cmtm3;Il1b;Eif2b5;Oas3;Treml4;Smpdl3b;Zdhhc3;H2-Q7;Otud4;Cd274;Lilrb4b;Fpr2;Pira2;Slc39a10;Ipo5;Ikbke;Igkc;Tnip1;Zbp1;Irf1;Ddx60;Nfkbiz;Nlrp3;Eif2ak2;Dhx58;Traf3ip3;Crkl;Trim5;Tlr2;Myd88;Bcl2;Btk;Sec14l1;Peli1;Pqbp1;Lcp2;Birc2;Nfkbid;Nfkbia;Ifih1;Becn1;Znfx1;Birc3;Tifa;Tnip2;Slc15a4;Zdhhc5;Ighm;Lgals9;Oas1a;Trim25;Ifi204;Themis2;Pde4b;Cfb;Tlr9"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",6.81177772063654e-05,0.0087656823826086,0.538434096309916,0.308313796897525,1.89118858609461,143,"Oasl1;Ifi205;Irgm2;Rsad2;Nr1h3;Irf7;Tasl;Rigi;Mapk8;Mavs;Irgm1;Tnfaip3;Oas1g;Nlrx1;Oas3;Treml4;Smpdl3b;Zdhhc3;Otud4;Cd274;Pira2;Ipo5;Ikbke;Tnip1;Zbp1;Irf1;Ddx60;Nfkbiz;Nlrp3;Eif2ak2;Dhx58;Traf3ip3;Trim5;Tlr2;Myd88;Btk;Sec14l1;Peli1;Pqbp1;Birc2;Nfkbia;Ifih1;Becn1;Znfx1;Birc3;Tifa;Tnip2;Slc15a4;Zdhhc5;Lgals9;Oas1a;Trim25;Ifi204"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.00055233898369239,0.0432788092736824,0.477270815362862,-0.330884573867583,-1.84212253577571,136,"Igkv1-110;Ighv6-3;Igkv10-94;Ighg3;Igkv1-117;Clec10a;Cd81;Bach2;H2-Ab1;H2-Aa;Msh2;H2-Eb1;Cd74;Slamf7;Icosl;Lat2;Erap1;Trim27;H2-DMb1;Cracr2a;Clec4b1;Tfe3;Clec4d;Ercc1;Tsc1;Exosc3"
"GOBP_ALPHA_BETA_T_CELL_ACTIVATION",0.00949258048388283,0.243283071918954,0.380730400722792,0.331625552596933,1.65158473271111,61,"Socs1;Adora2a;Rsad2;Cd86;Il18;H2-Q7;Cd274;Lilrb4b;Stat4;Ly9;Irf1;Nfkbiz;Nlrp3;Il2rg;Atf2;Cd83;Bcl2"
"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION",0.0063898809191941,0.196523276931035,0.407017918923954,0.375426288023743,1.73335553372091,45,"Socs1;Rsad2;Cd86;Il18;Lilrb4b;Stat4;Ly9;Irf1;Nfkbiz;Nlrp3;Il2rg;Atf2;Cd83;Bcl2;Nfkbid"
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",1.6949334680093e-05,0.00318777871483288,0.575610261071129,0.562568287813387,2.39247193840691,32,"Ifit1bl1;Ifit2;Ifit3;Oasl1;Mx2;Usp18;Rigi;Mavs;Oas1g;Oas3;Otud4;Zbp1;Eif2ak2;Dhx58"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",4.60564612104836e-06,0.00116148785287316,0.610526878385931,0.242087540738161,1.72945087326537,481,"Ifi44;Ifit1;Ifit1bl1;Traf2;Ifit2;Ifit3;Oasl1;Jpt2;Mx2;Ifi205;Jun;Usp18;Irgm2;Rsad2;Nr1h3;Irf7;Tasl;Kpna6;Mlkl;Jchain;Nt5c3;Siglec1;Rigi;Pml;Cd86;Mapk8;Mavs;Irgm1;Tnfaip3;Itgb3;Tank;Cmpk2;Slfn9;Oas1g;Nlrx1;Gbp7;Il18;Rtp4;Cdc42ep2;Ppp2r3c;Il1b;Oas3;Herc6;Slc1a5;Treml4;Smpdl3b;Zdhhc3;Slc3a2;H2-Q7;Otud4;Cd274;Nfkb2;Fpr2;Kpna3;Pira2;Ctr9;Trim34a;Usp14;Ipo5;Ikbke;Batf3;Stat1;Stxbp3;Tnip1;Axl;Akirin2;Tmem229b;Rnf213;Zbp1;Ly9;Trim14;Irf1;Hdac2;Ddx60;Nfkbiz;Dtx3l;Parp9;Gbp9;Nlrp3;Apobec3;Eif2ak2;Gbp3;Parp14;Plekhm2;Dhx58;Traf3ip3;Stat2;Icam1;Nfkbib;Trim5;Atf2;Srpk1;Tlr2;Casp4;Vps18;Gch1;Myd88;Nrp1;Bcl2;Isg15;Nlrc5;Btk;Sec14l1;Vps37b;Clec5a;Peli1;Pqbp1;Arhgef2;Birc2;Raf1;Ppid;Bcr;Nfkbia;Ifih1;Lias;Ivns1abp;Becn1;Dpp4;Nr4a1;Hif1a;Zmpste24;Cd300e;Slfn8;Pparg;Ncbp3;Ube2l6;Jagn1;Il1rap;Znfx1;Birc3;Tifa;Lyar;Tnip2;Mecp2;N4bp1;Wwp2;Slc15a4;Zdhhc5;Ighm;Lgals9;Tmem33"
"GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",0.00369910492238208,0.145875992503616,0.431707695803346,0.290659320076565,1.69157007536472,113,"Traf2;Usp10;Irgm2;Mavs;Irgm1;Tnfaip3;Traf1;Tank;Nlrx1;Gbp7;Hmox1;Il1b;Nfat5;Per1;Nfkb2;Lilrb4b;Ikbke;Stat1;Tnip1;Rassf2;Nfkbib;Trim5;Tlr2;Ltb;Ube2i;Myd88;Btk;Peli1;Birc2;Nfkbia;Birc3;Tifa;Tnip2;Ripk1;Lgals9"
"GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",0.00183556523862882,0.0934991043426555,0.45505986738723,0.653001497715262,2.01274771231863,11,"Socs1;H2-Q7;Cd274;Lilrb4b;Irf1;Bcl2"
"GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS",0.00160940157454916,0.0855431923863628,0.45505986738723,0.351119942795642,1.84430818493795,72,"Irgm2;Nr1h3;Cd86;Mapk8;Irgm1;Tnfaip3;Cmpk2;Il18;Fbh1;Il1b;Cd274;Pira2;Ctr9;Tnip1;Axl;Nfkbiz;Nlrp3;Nfkbib;Trim5;Tlr2;Myd88;Btk;Bcr;Nfkbia;Zmpste24"
