"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",2.49848313715474e-05,0.0341417720692195,0.575610261071129,-0.352621360856288,-1.80967102634765,188,"Igkv1-117;Trbv19;Ighg3;Ighv6-3;Trgc2;Ighv1-15;Ighv14-1;Cd3e;Tnfsf4;Kmt5c;Camk4;Lag3;Ctss;Cd74;Pdcd1;Cd4;Cd3g;Tfrc;Sh2d1b2;Themis;Igkc;Jchain;Ulbp1;Trbc2"
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",0.00121391658765268,0.219816707371843,0.45505986738723,-0.375133347896461,-1.72822121435884,93,"Ighg3;Trgc2;Cd3e;Cd3g;Themis;Igkc;Trbc2;Thy1;Stoml2;Abl1;Ighm;Slc39a10;Gata3;Rbck1;Sos1;Ptprj;Tec;Nfkbia;Cd3d;Cblb"
"GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",0.000536909264884141,0.164620076114053,0.477270815362862,-0.654899618159663,-2.06498089177054,18,"Ighg3;Jchain;Ppp2r3c;Ccl4;Ighm;Ccl3;S100a9"
"GOBP_B_CELL_MEDIATED_IMMUNITY",0.000204259752859482,0.133108426739197,0.518848077743792,-0.496051429340181,-1.99625781214481,48,"Ighg3;Ighv6-3;Ighv1-15;Ighv14-1;Tnfsf4;Kmt5c;Cd74;Tfrc;Igkc"
"GOBP_EAR_DEVELOPMENT",0.00104372318182182,0.203749675422788,0.45505986738723,-0.513299671497806,-1.94498344917191,36,"Wdpcp;Mcm2;Rbpj;Maf;Notch1;Ece1;Gata3;Sod1;Rest;Dll1;Scrib;Myc"
"GOBP_ENSHEATHMENT_OF_NEURONS",0.000542107824744411,0.164620076114053,0.477270815362862,0.472249241708714,1.89879537902723,44,"Pals1;Nab2;Zfp24;Mios;Large1;Fig4;Eif2b2;Slc25a46;Galc;Cd9;Rarg;Gnpat;Mapk1;Gpc1;Nrd1;Mapk3;B4galt5;Qki;Zpr1;Akt2"
"GOBP_HAIR_CELL_DIFFERENTIATION",0.000263429853601907,0.133108426739197,0.49849310876659,-0.73774343654003,-2.09018985769123,12,"Wdpcp;Rbpj;Notch1;Sod1;Rest;Dll1;Scrib"
"GOBP_HUMORAL_IMMUNE_RESPONSE",0.00040783955506686,0.159232214856818,0.49849310876659,-0.512021909487964,-1.96986990794339,39,"Ighg3;Pdcd1;Rbpj;Jchain;Ppp2r3c;Ccl4;Ighm;Notch1;Gata3;Ccl3;S100a9"
"GOBP_MECHANORECEPTOR_DIFFERENTIATION",0.000983585021137751,0.203749675422788,0.45505986738723,-0.686787792249434,-1.99928792000559,13,"Wdpcp;Rbpj;Notch1;Sod1;Rest;Dll1;Scrib"
"GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT",5.89366776464207e-05,0.0536913133358893,0.557332238758646,-0.701982948397766,-2.17469487742599,17,"Gsto1;Cd4;Thy1;Vmp1;Abl1;F2r;Htt;Ppp3cb;Cxcr3;Stim2;Ppp3cc;Xcl1;P2rx7"
"GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT",7.73923779402064e-06,0.0211513368910584,0.593325476396405,-0.691019652650523,-2.35286883473562,24,"Gsto1;Cd4;Pdgfb;Thy1;Ccl4;Vmp1;Abl1;F2r;Orai1;Htt;Ccl3;Ppp3cb;Cxcr3;Stim2;Ppp3cc;Xcl1;P2rx7"
"GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT",0.00029222486660636,0.133108426739197,0.49849310876659,-0.511489599161518,-1.97206417620406,41,"Gsto1;Ctss;Cd4;Tesc;Pdgfb;Thy1;Ccl4;Vmp1;Abl1;F2r;Orai1;Htt;Ccl3;Ppp3cb;Stk39;Cxcr3;Ano6;Stim2;Akt1;Ppp3cc;Xcl1;Chp1;P2rx7"
"GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",0.00128688888325997,0.219816707371843,0.45505986738723,-0.456541390638983,-1.86929054094085,53,"Gsto1;Ptprm;Acsl1;Ctss;Cd4;Tesc;Thy1;Vmp1;Abl1;Mapk14;F2r;Insr;Htt;Ppp3cb;Stk39;Cxcr3;Ano6;Stim2;C2cd5;Akt1;Ppp3cc;Xcl1;Chp1;P2rx7"
"GOBP_POSITIVE_THYMIC_T_CELL_SELECTION",0.000851896858882371,0.203749675422788,0.477270815362862,-0.745615775298854,-1.98866744097165,10,"Cd3e;Cd74;Cd3g;Tox;Cd3d"
"GOBP_THYMIC_T_CELL_SELECTION",0.000830584523009086,0.203749675422788,0.477270815362862,-0.692045575569623,-2.01459369974817,13,"Cd3e;Cd74;Cd3g;Tox;Gata3;Cd3d"
"GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS",0.00103290185393229,0.203749675422788,0.45505986738723,-0.491789648865219,-1.89203159549643,39,"Cd3e;Camk4;Cd74;Cd3g;Tox;Cdk6;Abl1;Gata3;Sod1;Sos1;Cd3d;Bcl11b"
