"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.0390070921985816,0.244809364160168,0.248911114434702,0.457689182534927,1.49072138077262,36,"Cacnb2;Bin1;Gsn;Myo1g;Myh9;Pde4b;Myl6;Luzp1;Flna;Myo5a"
"GOBP_ACTIN_FILAMENT_BASED_PROCESS",1.72326259178795e-06,0.000389334255558948,0.643551836150722,0.407721487995037,1.66300056155366,298,"Auts2;Plek;Cacnb2;Rab13;Bcl2;Prkg1;Sptbn1;Pdlim7;Bin1;Tpm4;Zyx;Scin;Bcr;Flnb;Stau2;Sptan1;Arhgap26;Nrp1;Rhof;Arhgap25;Elmo1;Gsn;Plek2;Diaph2;Cnn2;Phactr2;Zbed3;Limd2;Mink1;Arhgef18;Tmod1;Dock2;Msrb2;Tmsb4x;Marcksl1;Rhoq;Fchsd2;Arap2;Myo1g;Cyth2;Pdlim2;Plec;Iqgap2;Abi2;S100a10;Atp2c1;Pak1;Cap1;Ppm1f;Actn1;Myh9;Pde4b;Tagln2;Micall2;Ccdc88a;Parvb;Nedd9;Cyfip1;Rap2a;Myl6;Arap1;Twf2;Hip1r;Prkcd;Luzp1;Rufy3;Inpp5k;Arpc1b;Flna;Tmsb10;Cotl1;Arhgap18;Gba2;Myo5a;Rac1;Arhgef2;Kctd13;Vasp;Triobp;Dtnbp1;Csrp1;Ptpn1;Arpc2;Myo1f;Sipa1l1;Add3;Rhob;Washc4;Vps4a;Cdk10;Tgfb1;Bin3;Ptk2b;Csrp2;Capzb;Swap70;Tmod3;Elmo2;Actg1;Limk2;Actb;Fgd3"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.0229922508040246,0.180248224692908,0.352487857583619,0.427299086608666,1.5283635539804,60,"Plek;Zyx;Nrp1;Limd2;Arhgef18;S100a10;Pak1;Ppm1f;Actn1;Ccdc88a;Nedd9;Arap1;Luzp1;Inpp5k;Flna;Rac1;Kctd13"
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.00232913468708932,0.0501468783302908,0.431707695803346,0.586835116789965,1.79640617778178,25,"Plek;Sptbn1;Scin;Sptan1;Gsn;Tmod1;Twf2;Triobp;Add3;Capzb;Swap70;Tmod3"
"GOBP_ACTIN_FILAMENT_ORGANIZATION",5.50913512414263e-06,0.000963955394238733,0.610526878385931,0.442422073897831,1.75461493442342,179,"Plek;Bcl2;Sptbn1;Bin1;Tpm4;Zyx;Scin;Sptan1;Nrp1;Rhof;Arhgap25;Elmo1;Gsn;Diaph2;Cnn2;Zbed3;Limd2;Arhgef18;Tmod1;Msrb2;Tmsb4x;Marcksl1;Rhoq;Fchsd2;Myo1g;Plec;Iqgap2;Abi2;S100a10;Pak1;Cap1;Ppm1f;Actn1;Tagln2;Micall2;Ccdc88a;Nedd9;Cyfip1;Arap1;Twf2;Hip1r;Prkcd;Luzp1;Rufy3;Inpp5k;Arpc1b;Flna;Tmsb10;Cotl1;Arhgap18;Gba2;Myo5a;Rac1;Arhgef2;Kctd13;Vasp;Triobp"
"GOBP_ACTIN_FILAMENT_POLYMERIZATION",0.00110357931514124,0.0351711609242359,0.45505986738723,0.490611012052834,1.76281201186738,65,"Sptbn1;Bin1;Scin;Sptan1;Gsn;Diaph2;Tmod1;Msrb2;Tmsb4x;Fchsd2;Micall2;Cyfip1;Twf2;Hip1r;Prkcd;Cotl1;Arhgap18;Gba2;Rac1;Vasp;Triobp;Arpc2;Add3;Ptk2b;Capzb;Tmod3;Diaph1;Arpc5;Snx9"
"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",0.00755484899957816,0.0939025248222579,0.407017918923954,0.545450277315246,1.66971985794195,25,"Cacnb2;Bin1;Gsn;Pde4b;Myl6;Luzp1;Flna"
"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",0.0021020149999578,0.0481448997171402,0.431707695803346,0.458544292982603,1.69115419365578,78,"Plek;Sptbn1;Bin1;Scin;Sptan1;Gsn;Diaph2;Tmod1;Msrb2;Tmsb4x;Fchsd2;Abi2;Micall2;Cyfip1;Twf2;Hip1r;Prkcd;Cotl1;Arhgap18;Gba2;Rac1;Vasp;Triobp;Arpc2;Add3;Ptk2b;Capzb;Swap70;Tmod3;Diaph1;Arpc5;Snx9"
"GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY",0.023024353604015,0.180248224692908,0.352487857583619,0.571687251581583,1.61077429301272,18,"Acvr2a;Fkbp1a;Tgfbr2;Bmpr2;Tgif2;Smurf1;Zc3h3;Tgif1"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.0178753536583609,0.150834191907461,0.352487857583619,-0.400198786873686,-1.64014571002861,29,"Ighg3;Lcn2;Hp;Pik3cg;Il31ra"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.0295315682281059,0.208204796047307,0.266350657088526,0.345339463082091,1.36246147370378,169,"Cd27;Tec;Lat;Relb;H2-Ob;Mef2c;Clec4d;Lat2;Bach2;Ccr2;Cd74;Jak3;Ripk3;H2-Oa;Ripk2;Il6st;Irf7;Arid5a;Ighv9-3;Cd84;Il27ra;H2-Aa;Klhl6;Cd79b;Myo1g;Tfeb;C2;H2-Ab1;Ly9;H2-Eb1;Prkcq;Syk;Batf;Card9;Prkd2;Tnfrsf21;Tap2;Nfkbid;Trp53bp1;Eif2ak4;Prkcd;Ufl1;Otud7b;Prkcb;Tnfrsf13b;6030468B19Rik;Socs5;Ptprc;Il6ra;Mcoln1"
"GOBP_AEROBIC_RESPIRATION",0.0367629629753226,0.237740986570269,0.321775918075361,-0.245585173791914,-1.32747154721458,90,"Dnajc30;Slc25a33;Aco1;Slc25a14;Cs;Mfn2;Coa6;Ndufc1;Atp5j;Bid;Ndufv1;Mtch2;Msh2;Idh1;Idh3b;Fxn;Atp5b;Ndufa3;Bloc1s1;Ndufb10;Dlst;Dnajc15;Slc25a51;Idh3a;Atp5k;Cox10;Uqcr11;Ndufc2;Atpsckmt;Atp5a1;Atp5c1;Uqcrb;Mdh2;Sdhc;Cyc1;Ndufs8;Cox6b2;Ccnb1;Dlat;Atp5l;Ndufs5;Uqcrh;Chchd10;Cox5b;Cox7b;Uqcrfs1;Atp5e;Ndufv3;Atp7a;Ndufab1;Atp5j2;Ndufb1;Bcl2l13;Cox6b1;Ndufb7;Ndufa12;Ndufb6;Pdha1;Ndufs6;1700066M21Rik;Ndufa9;Cbfa2t3;Mrps36;mt-Nd2;mt-Co1;Ndufa6;mt-Nd6;Cox7a2l;Mtfr1l;Pank2;Abcd1;Mtfr1"
"GOBP_ALPHA_BETA_T_CELL_ACTIVATION",0.000133864369403669,0.00814255770045778,0.518848077743792,0.505121260958377,1.86320369693919,76,"Zbtb16;Tox;Bcl2;Wdfy4;Relb;Il15;Sh3rf1;Ccr2;Itpkb;Jak3;Ripk2;Il6st;Dock2;Tgfbr2;Il2rg;Socs1;Ly9;H2-Eb1;Prkcq;Syk;Batf;Nfkbid;Elf4;Socs5;Ptprc;Il6ra;Men1;Klhl25"
"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION",0.00298474700830777,0.0586382284924067,0.431707695803346,0.484869045194297,1.71515569133227,57,"Zbtb16;Tox;Bcl2;Relb;Sh3rf1;Itpkb;Jak3;Ripk2;Il6st;Tgfbr2;Il2rg;Socs1;Ly9;H2-Eb1;Syk;Batf;Nfkbid;Socs5;Il6ra;Men1;Klhl25"
"GOBP_ALPHA_BETA_T_CELL_PROLIFERATION",0.0233230512787644,0.180359242737432,0.352487857583619,0.561268239146421,1.61666115628972,20,"Il15;Sh3rf1;Ccr2;Ripk2;Dock2;Tgfbr2;Prkcq;Syk;Elf4;Ptprc"
"GOBP_AMINO_SUGAR_METABOLIC_PROCESS",0.0248365907925222,0.187938126020927,0.352487857583619,0.536198191409163,1.59608693533253,22,"Renbp;Csgalnact1;Npl;Large1;Fn3k;Nagk;Gnpda2;Uap1l1"
"GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS",0.0055221267403317,0.0804907229477841,0.407017918923954,0.540748344332295,1.70795823594263,29,"Bin1;Adam9;Gsap;Aph1c;Abca2;Fkbp1a;Dhcr24;Ranbp9;Apoe"
"GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS",0.0354609929078014,0.231264166118301,0.261663521711573,0.465521049936738,1.51295534060782,35,"Bin1;Adam9;Gsap;Aph1c;Abca2;Fkbp1a;Dhcr24;Soat1;Ranbp9;Itm2c;Apoe"
