"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION",0.000526859707203813,0.181367254557586,0.477270815362862,-0.410218087128962,-1.92420438090717,47,"Mllt3;Zbtb16;Hipk1;Smad3;Lef1;Acvr2a;Pbx1;Rarg;Tmed2;Bhlhe40;Mib1;Tgfbr1;Smad4;Pbx3;Tshz1;Rbpj;Atm;Prkdc;Taf10;Trp53;Med12;Ski;Bmpr2;Grsf1"
"GOBP_CELLULAR_RESPONSE_TO_ALKALOID",0.00126172264135023,0.226671168758512,0.45505986738723,0.686249966661576,1.95941714171557,13,"Mdm2;Rad51;Ryr1;Tmem38b;Ehmt2;Abcb1a;Casp6;Bcl2l1"
"GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING",0.000583480994276146,0.181367254557586,0.477270815362862,-0.471319411501835,-2.06952882737098,35,"Hsp90ab1;Ppib;Hspe1;Pdia4;Dnajb6;Cct6a;Csnk2a1;Pdcd5;Dnajc5;Cct2;Bag1;Fkbp4;Tcp1;Pfdn4;Cct4;Cct5;Cct8;Pfdn2;Dffa;Fkbp5;Hspa9;Cct7;St13;Ptges3;Pfdn1;Ppid"
"GOBP_CYTOPLASMIC_TRANSLATION",9.95149391447987e-11,2.92872465903143e-07,0.839088935621274,-0.430741835120448,-2.54323996427768,122,"Rpl11;Rps18;Rpl22;Rpl7;Rpl15;Cpeb2;Eif4a1;Cnbp;Eif5;Rps28;Rps19;Gtpbp1;Rplp0;Eef1d;Eif4a2;Rps2;Eif4g1;Rpl36a;Eif3c;Eif4h;Nemf;Akt2;Rpl12;Rps14;Rpl8;Drg1;Rpl35;Eif3j1;Rps6;Rps24;Ybx3;Nck1;Ncbp1;Rps26;Rpl27a;Eif3f;Rps15;Rps3;Eif3i;Rpl19;Rpl6;Rpl39;Rps11;Rps27a;Rpl10a;Rack1;Rpl7a;Rps29;Rplp1;Eif2s2;Rps9;Rpl4;Rpl9;Rps4x;Rpl13;Rps7;Rps5;Sars;Rps12;Rpl30;Rpl3;Rpl37;Eif3d;Rpl26;Uba52;Sh3bgrl;Eif3a;Rpl32;Rpl21;Eif2b4;Rps15a;Rps13;Rps27;Rps23;Rpl23a;Rps10;Rpsa;Fau;Rplp2;Rpl10;Rps21;Rpl36;Rpl29;Alkbh3;Rps20;Ybx1;Rpl23;Rps3a1;Rpl13a;Ythdf2;Rpl18a;Rpl14;Rpl31"
"GOBP_DENDRITIC_SPINE_MAINTENANCE",0.000616266580216058,0.181367254557586,0.477270815362862,-0.709693760329002,-2.17104691702773,11,"Apoe;Tanc1;Abhd17b;Zmynd8;Igf1r;Cfl1;App;Insr"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",0.000830827236309728,0.22228405058723,0.477270815362862,-0.252168949257716,-1.55470898970716,166,"Immp2l;Cox8a;Ndufa4;Gsk3b;Atp5e;Ndufb1;Cox4i1;Dnajc15;Pik3ca;Uqcrq;Suclg2;Cox10;Atp5c1;Phkb;Atg3;Ldha;Mdh2;Atp5j2;Cox7a2;Mdh1;Cs;Ndufa9;Ndufa11;Macroh2a1;Selenos;Msh2;Uqcc2;Uqcrb;Ghitm;Ndufa7;Akt2;Idh3b;Uqcrfs1;Ndufc2;Ndufc1;Ifnar1;Park7;Oas1a;Iscu;Ndufv3;Chchd10;Sorbs1;Atpif1;Ugp2;Trp53;Oxa1l;Pygl;Ndufa6;Ndufa1;Atg2b;Insr"
"GOBP_GLAND_DEVELOPMENT",0.00130934755993704,0.226671168758512,0.45505986738723,-0.270330463640984,-1.59517321037225,128,"Ar;Smad3;Upf2;Lef1;Pik3ca;Tgfbr2;Pbx1;Sp3;Abl1;Xdh;Rarg;Lmo4;Tspo;Asxl1;Tgfbr1;Atf2;Smad4;Dkk3;Notch2;Ass1;Rbpj;Sec63;Pcna;Rara;Atm;Plxnd1;Akt2;Pml;Igf2r;Nf1;Srsf1;Taf10;Rps6ka1;Ptcd2;Insr;Zmpste24;Oas2;Prmt5;Arhgap5;Fkbp4;Rps15;Deaf1;Kdm5b;Smarcb1;Map2k1;Gfer;Sod1;Cela1;Cebpg;Etv5;Crkl"
"GOBP_POSITIVE_REGULATION_OF_D_GLUCOSE_IMPORT",0.000348036445692498,0.181367254557586,0.49849310876659,-0.661948300693623,-2.16061395958844,13,"Mef2a;Pik3r1;Mapk14;Appl1;Rnasel;Akt2;Sorbs1;Insr"
"GOBP_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS",0.0011870653955751,0.226671168758512,0.45505986738723,0.691363455663837,1.97401744552869,13,"Thbs1;Csf1;C5ar1;Mospd2;Akirin1;Dapk2;Ptk2"
"GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT",0.0012133593116321,0.226671168758512,0.45505986738723,-0.367623887641645,-1.84663143998189,57,"Smad3;Gsk3b;Ubr5;Anp32b;Ywhab;Pik3r1;Mapk14;Rbm10;Sumo1;Nup214;Khdrbs1;Flna;Riok2;Ifi27;Nf1;Ppm1a;Rbm22;Park7"
