"CellType","WT_count","KO_count","WT_percent","KO_percent","log2FC","p_value","p_adj"
"Neutrophils",527,164,16.3360198388097,5.73025856044724,-1.67807190511264,1.27375431790986e-40,1.7832560450738e-39
"T cells",971,1182,30.0991940483571,41.2997903563941,0.283421854734007,7.77884424631813e-20,5.44519097242269e-19
"Macrophages",167,52,5.17668939863608,1.81691125087351,-1.66439696821556,7.85479397415372e-13,3.66557052127174e-12
"B cells",1091,1124,33.8189708617483,39.2732354996506,0.0429521451845468,1.06169231504825e-05,3.71592310266888e-05
"Tgd",26,5,0.805951642901426,0.174703004891684,-2.16992500144231,0.000443266868434703,0.00124114723161717
"NKT",65,35,2.01487910725356,1.22292103424179,-0.874469117916141,0.0153772649824991,0.0307545299649983
"Stem cells",69,37,2.13887166769994,1.29280223619846,-0.881355503501381,0.0137904776502569,0.0307545299649983
"Monocytes",140,162,4.33973961562306,5.66037735849057,0.209176801832284,0.0180811422542389,0.0316419989449181
"ILC",15,4,0.4649721016739,0.139762403913347,-1.67807190511264,0.0354575841042217,0.0551562419399004
"DC",78,48,2.41785492870428,1.67714884696017,-0.689070904061895,0.0470712392579367,0.0658997349611114
"NK cells",67,42,2.07687538747675,1.46750524109015,-0.661198086548242,0.0812787552252079,0.103445688468446
"B cells, pro",0,1,0,0.0349406009783368,1,0.470105124835742,0.548455978975033
"Basophils",9,6,0.27898326100434,0.209643605870021,-0.514573172829758,0.616540211151534,0.663966381240114
"Eosinophils",1,0,0.0309981401115933,0,-1,1,1
