"gene","log2FC_Spleen","padj_Spleen","log2FC_BM","padj_BM","CellType"
"0610010K14Rik",-1.25163357344191,1,1.59406027506021,1,"NKT"
"0610030E20Rik",-1.41689213415132,1,-0.340784446138133,1,"NKT"
"1110038F14Rik",0.73799050418427,1,1.12273978152561,1,"NKT"
"1110059E24Rik",-2.63585656897713,1,-0.256067381119942,1,"NKT"
"1500011B03Rik",-0.761597762134579,1,-2.57205032111917,1,"NKT"
"1600014C10Rik",-0.404100775865719,1,0.312204686211705,1,"NKT"
"1600020E01Rik",0.982674748395145,1,1.45354717696153,1,"NKT"
"1700028E10Rik",-1.97998062874742,1,-2.28146587540019,1,"NKT"
"1810006J02Rik",0.487947090789252,1,-0.989360954108077,1,"NKT"
"1810009A15Rik",0.27867662174982,1,0.503521441429927,1,"NKT"
"1810030O07Rik",-0.509613994914889,1,1.00896201854557,1,"NKT"
"1810037I17Rik",-0.550738512204052,1,0.340143923675607,1,"NKT"
"2010016I18Rik",0.739331484992303,1,1.03794934171446,1,"NKT"
"2010315B03Rik",0.887813218543393,1,-3.33170723780159,1,"NKT"
"2310001H17Rik",-0.268118277395944,1,-0.466843648988101,1,"NKT"
"2310011J03Rik",1.05569168088484,1,-0.470510590050159,1,"NKT"
"2310033P09Rik",0.803741809254815,1,-0.595852130082497,1,"NKT"
"2410002F23Rik",0.393874544604763,1,-0.930807995547914,1,"NKT"
"2410006H16Rik",-1.10138157834632,1,-0.407033682031963,1,"NKT"
"2510002D24Rik",0.379465095133098,1,0.533528691431994,1,"NKT"
"2510039O18Rik",0.437093036400235,1,0.807954569895331,1,"NKT"
"2610035D17Rik",-1.24249142491243,1,-1.44854247536683,1,"NKT"
"2700062C07Rik",0.801312870308693,1,1.87346180887358,1,"NKT"
"2810001G20Rik",-0.513926071597684,1,-0.487230062412114,1,"NKT"
"2810403D21Rik",-0.590641448817683,1,-0.729564071821834,1,"NKT"
"3110040N11Rik",1.56654861798062,1,2.19259616036974,1,"NKT"
"3110056K07Rik",0.900774640425352,1,0.670803883326292,1,"NKT"
"4632427E13Rik",0.594416244839118,1,-1.21440493274355,1,"NKT"
"4921524J17Rik",-1.22534785004681,1,-0.621460975394456,1,"NKT"
"4930453N24Rik",0.62254241598421,1,0.885708094445735,1,"NKT"
"4930523C07Rik",-0.573286910433768,1,-0.879715414749993,1,"NKT"
"4933406I18Rik",0.663169198314512,1,-1.81057947544359,1,"NKT"
"4933434E20Rik",0.518881751714157,1,-0.938628748292001,1,"NKT"
"5031425E22Rik",0.931649857994354,1,-0.789574007426221,1,"NKT"
"5430405H02Rik",1.26630659053907,1,3.42819021519109,1,"NKT"
