"CellType","CLR_difference_Spleen","CLR_difference_BoneMarrow","Consistent"
"B cells",0.566871379852242,-0.0736298277497118,FALSE
"B cells, pro",6.27641007063659,-0.34256144986149,FALSE
"Basophils",0.43814520988643,-0.393909555070008,FALSE
"DC",0.0194608486941954,0.745327415110471,FALSE
"Eosinophils",-5.30969630068342,-0.56455540454926,TRUE
"ILC",-0.77774211826941,0.414780346720515,FALSE
"Macrophages",-0.68022650906883,0.14817682536634,FALSE
"Monocytes",0.700690433841592,-0.23182357751034,FALSE
"Neutrophils",-0.620010034659087,-0.505019524298583,TRUE
"NK cells",0.160532973966115,0.410157681985171,FALSE
"NKT",-0.120614686187997,-0.534987382555981,FALSE
"Stem cells",-0.108219436907434,-0.11380930019593,FALSE
"T cells",0.742879339259594,0.210038592606244,FALSE
"Tgd",-1.28848117036059,-2.57869226809211,TRUE
