"gene","log2FC_T1","padj_T1","log2FC_T2","padj_T2"
"Igkc",-1.67564135704275,7.30134786839797e-71,-3.88555489415036,3.24562728627464e-36
"Eif2s3y",-9.95431286913277,8.87544274388665e-67,-0.896456461509651,2.96751796476862e-30
"Cr2",-1.83913849090511,7.39235350814064e-61,-8.57854831067523,3.39589564545573e-19
"Ddx3y",-9.72684269114951,1.00709224340089e-57,-1.05070037964337,4.09241346885047e-19
"Igkv12-89",-5.89252720508203,6.27158374114866e-53,-8.68892347785636,8.62509877576908e-19
"Uty",-9.53639767106419,8.21289135473816e-44,-8.17793539077379,1.40014314133923e-15
"Kdm5d",-9.09171477638511,1.95591150185632e-36,-7.91858951656693,5.01763301663141e-12
"Fchsd2",-0.775946057355225,2.41231705413187e-20,-0.79364294449048,4.45596102208554e-10
"Cdk8",-1.38064831411316,1.4484025812068e-18,-0.644400030826872,8.59800321714995e-07
"Xylt1",-1.02121507117173,8.11086613753407e-15,-1.08082594317897,4.1308651458312e-06
"Lrrk2",-0.603735435197935,2.31181900462582e-13,-1.56837597836309,0.00014095099114224
"Mbnl1",-0.314474309157738,1.22750179992932e-12,-0.980492712821031,0.000162414101433563
"Rap1gds1",-0.762549013746193,2.22407986527783e-08,-1.2019591338919,0.00115089385091841
"Dock10",-0.366383464787083,4.00583627179401e-08,-1.15212340597384,0.00148435539898302
"Arhgap15",-0.261814065031815,1.14648239094592e-07,-2.09348143693368,0.00485568251112811
"Lars2",-0.927707196944578,2.68700587560888e-07,-0.536821057324351,0.0242197998868804
"Rasgrp3",-0.621265521440967,6.37800018317653e-05,-0.907599263766865,0.0414193464534542
