"gene","log2FC_T1","padj_T1","log2FC_T2","padj_T2"
"Igkc",-2.61522770995418,1.26592816428594e-63,-2.13675951737976,3.06609090145899e-42
"Klrd1",-3.11201059813437,9.91539981914322e-60,-2.40547261004061,1.35731473982416e-36
"Igkv12-89",-6.74822161558131,2.36617553288294e-51,-1.955194723489,1.61474078952059e-33
"Uty",-9.42784026080396,5.32749758793765e-48,-5.93056173018618,2.05945731444066e-29
"Eif2s3y",-9.16264886309928,3.94674241004129e-46,-2.64040686776493,2.42985162421857e-18
"Cd8a",-2.0871369575259,6.38074154285985e-35,-2.56611481517891,1.55905504395132e-13
"Cd8b1",-2.07824633081093,1.02480693604477e-33,-2.74855990715406,2.14105355654016e-13
"Klre1",-3.74517675146741,6.28799004317102e-32,-2.18624294271338,1.02534035529471e-11
"Gm44174",-1.74485293693055,1.5339661427129e-29,-1.27027536539684,6.81914474950674e-10
"mt-Atp6",-0.373029530720226,2.84596255387971e-27,-1.47910681661159,3.02046980244566e-09
"Primpol",-5.22100378776252,4.33317150046261e-26,-6.97336446543949,1.90350499770287e-08
"Klrk1",-3.15719998341456,4.51224145565732e-26,-5.37005407022904,3.59638020481713e-08
"Prkch",-0.769406125461189,3.40150543173607e-24,-1.53248868407234,4.88265969638361e-08
"mt-Nd4",-0.410022311592396,5.33620450046575e-23,-1.16383584750425,1.00772145231422e-07
"Gm30211",-2.13621029571813,8.01973605338652e-19,-0.768835214188626,1.43401657775611e-07
"Zbtb20",-0.60264977370745,1.51753723459303e-13,-1.84679535310699,5.72651253147935e-07
"Arhgap15",-0.384515231448458,2.81211500965358e-13,-7.02226783817546,2.2472740233138e-06
"Osbpl3",-1.16354491790706,5.55255716418239e-11,-0.761733302115621,3.14622225614323e-05
"Airn",-0.983450010783058,9.95887122094686e-09,-0.536356416911556,0.000153740592076814
"S100a9",-1.17858107816365,4.12907814964172e-07,-0.308325838290346,0.0046842291919211
"Mbnl1",-0.285585634056133,0.000117544286491816,-1.12106582141554,0.00541806878350473
"S100a8",-1.06234914381604,0.000618047797972786,-1.74280006056567,0.00574070730598227
"Lars2",-1.19166576473877,0.000978219081784747,-1.17927159966993,0.00910153499150731
"Eml5",-0.918950591035229,0.00123159953257814,-0.556145627922902,0.0159610714216454
