"gene","log2FC_T1","padj_T1","log2FC_T2","padj_T2"
"Xist",1.67860881093491,3.19290691977177e-143,2.15844517720489,5.42974546311085e-25
"Igkv19-93",4.94100500210848,1.40804267524324e-73,2.77318129887962,7.07030047940311e-24
"Zeb2",1.74381309061496,5.27111600734207e-56,0.533301166056839,8.17669026931049e-24
"ENSMUSG00000121482",2.61870888382508,1.41658522386332e-37,1.88564355870577,8.22360683321712e-23
"Igkv14-111",1.18255560947327,4.44298099298397e-31,1.63396128042037,1.26045672067454e-22
"Rassf4",1.44189904593188,1.64140362702237e-29,1.1354229805201,4.15799209414837e-22
"Rac2",0.628320495015243,9.31322574013537e-29,1.37399966986036,3.7902005470206e-20
"Napsa",0.64227448305566,1.9493004594064e-25,1.05542389865511,1.05945124602969e-18
"Tsc22d3",1.21813797454539,3.77854063234809e-25,1.57356386723258,3.61611380969294e-18
"Ifi27l2a",1.22622914783115,5.23581724560944e-23,1.57772190504651,3.84421423343706e-17
"Gm56906",1.87404552393263,1.99351276137587e-22,1.05014213691415,4.80976916681928e-17
"Cd2",0.762364399279314,6.63052870442367e-20,1.13088285426409,2.58099901610947e-15
"Pycard",0.972789194971849,1.66209751670846e-19,0.952430197697538,3.83053588927039e-15
"Gm56626",1.08677912668945,3.00199223393819e-17,0.900566797669796,7.81764499354763e-15
"Ucp2",0.537271041068347,4.39427863121264e-17,1.29562977557291,9.56196004204315e-15
"Syk",0.640541649976111,7.72197397204985e-17,1.01968153094968,1.26145763843648e-14
"Coro1b",0.879811773066551,1.30428062472343e-15,1.67889447582065,8.83581600898764e-14
"Actb",0.348860954376209,1.42828835531419e-15,1.03286114819129,2.01173534856098e-13
"Sub1",0.657273864828563,3.03165570951174e-15,1.47049131151002,2.70153846048023e-13
"Ifi30",0.756718390426355,4.36187634122874e-15,1.08096075840323,4.04142803902804e-13
"Zfp706",0.532967452250007,6.75994944693645e-15,0.987155046306274,4.58336795553269e-13
"Hspa8",0.576398043853667,1.20344676045864e-14,1.09973374519662,8.35552234922324e-13
"Mtss1",0.66257216562102,6.26557552201823e-14,1.23624195819196,1.19313255026481e-12
"Septin1",0.567465544080134,7.78086236965838e-14,0.87817619229156,1.53752022649682e-12
"Mdh1",0.734236850099113,1.78660471819544e-13,0.81997227864236,1.6059865591659e-12
"Pdlim1",1.13317396496138,6.12847412061272e-13,0.654170622279281,2.48117817015992e-12
"Acp5",0.624151453078396,1.0334785621012e-12,1.96702075215814,5.62899075792952e-12
"Cxcr4",0.984731465429539,2.13149345749705e-12,0.930128339626272,9.12062950723577e-12
"Cd1d1",0.970678628137899,1.18854183696131e-11,1.08412337706388,9.59755770667412e-12
"Hsp90b1",0.571088117332844,2.09750729139532e-11,1.16417468655363,1.1497547272584e-11
"Sys1",0.624452151702984,3.5026558822169e-11,1.13060384728198,4.73046479309008e-11
"E2f2",1.6502184462536,5.15824496029354e-11,1.00614281888679,1.21797882788107e-10
"H2-Q7",0.583833741156875,6.66740910316074e-11,0.98706391293008,2.05621635826133e-10
"Gm2848",1.14092825569518,7.53010370937475e-11,1.06795500140792,3.18498940617036e-10
"H2-K1",0.356594946025726,8.40302670121182e-11,1.26117336623524,3.4261197563315e-10
"Rsrp1",0.441041342686898,8.77809365381857e-11,0.827143610471855,4.67090304173161e-10
"Bax",0.60578833201585,4.031711783937e-10,1.2900473546848,6.99933311698151e-10
"Cib1",0.602350834999691,5.956766807904e-10,1.08080501575704,7.02375980468083e-10
"Ubb",0.324090621545611,7.58502593814174e-10,1.5261204321458,9.71456269806201e-10
"Psap",0.382856863996227,9.56747783793028e-10,0.752946178334815,9.99854457982353e-10
"Actg1",0.425093573042644,1.49578326462884e-09,1.00892231897447,2.05796325877069e-09
"Psmb8",0.419368883001248,1.85773634734343e-09,0.880439187169598,1.11983459722332e-08
"Irf9",0.792992978793748,1.94831746772672e-09,0.775752171276487,1.20238432877532e-08
"Btg2",0.621373256418095,5.32626465805293e-09,0.991921599366144,1.50502991711164e-08
"Ldha",0.578820753915328,6.53810460788349e-09,0.882862201909058,2.03888009185923e-08
"Ifi27",0.623093243687268,6.79145661529653e-09,0.648706320956613,5.44870034172855e-08
"Psmb9",0.478828343691355,1.1473885492803e-08,1.03707493894786,6.09250673013056e-08
"Gpx4",0.426350806953087,1.17166355064929e-08,0.637435983083348,6.52947009958489e-08
"Vim",0.893330506209585,1.45600834079976e-08,0.720880909056755,8.53697340571513e-08
"Iglc1",0.682715083915256,1.5779355812276e-08,1.34978063051172,1.09535441169304e-07
"Clic1",0.351754927281621,2.04687577298335e-08,0.923672936707484,1.32419058683359e-07
"Arhgap24",0.561371252552907,2.40791574959076e-08,0.917605984993076,1.32595433917038e-07
"Ctsz",0.490525284010245,3.06462085733491e-08,1.06596316497748,1.63732905875593e-07
"Smdt1",0.42316797498183,3.07705721421219e-08,1.16206916723387,2.2584803614064e-07
"Jpt1",0.541246347269906,4.52615229023423e-08,0.780913321634365,2.59099874833525e-07
"Mzb1",0.430296750216264,4.56943166407252e-08,0.890420525528916,2.76564940752446e-07
"Gnas",0.362256904653099,6.74201378103039e-08,0.659124164817793,2.7794246835435e-07
"mt-Atp8",0.372303775519587,1.54213585834716e-07,1.84193072276664,3.33169863855656e-07
"Dnajc7",0.473637616374245,1.7635170042622e-07,1.35296750671216,4.4474640807202e-07
"Psma7",0.3934212217093,1.93818421452466e-07,2.24842023605609,6.74539142286557e-07
"Mxd4",0.611692491462938,1.95965220350071e-07,1.26179988708066,6.97011450620721e-07
"Ifi47",0.79143933343862,3.36716194205524e-07,0.692965476206484,1.05868081178379e-06
"Tmem256",0.735549469737566,3.39173267551331e-07,0.917560209332197,1.20108089921734e-06
"Cd72",0.88071457838854,3.42617703414267e-07,0.954968941078877,1.37795583601234e-06
"H2aj",0.491981086904533,3.87257288626648e-07,1.02831591675977,1.43780029947573e-06
"Eif3h",0.37383394217484,4.67878482062551e-07,0.743692596964062,1.93307650823021e-06
"Pebp1",0.487591247663988,6.15101532164704e-07,1.05360250736346,2.12350185648192e-06
"Irag2",0.462095049604584,1.05320214357132e-06,0.986706386056526,2.144336079949e-06
"Psmb1",0.337219201370643,1.20932298888928e-06,1.27223276474163,2.49535784367251e-06
"Mrpl12",0.541980460246472,1.60091722887043e-06,0.995661998999678,3.99280147613649e-06
"Niban3",0.776467234628375,1.72120975298415e-06,1.18152202108486,4.12212319692469e-06
"Dnaja1",0.526183853730453,2.10172264115542e-06,1.0922125503895,4.54089853782305e-06
"Cox6c",0.360058628208695,2.21727960212847e-06,0.910480359479399,4.60907158717564e-06
"Tmem14c",0.476860318828996,2.23379831786354e-06,0.897418413477989,5.24566102573822e-06
"ENSMUSG00000095742",0.615431870340947,2.60903352894097e-06,1.72090529843846,5.26592340203346e-06
"Lsp1",0.3665332538794,2.99996400394974e-06,0.813278650053536,5.88223903420582e-06
"Psme2",0.450232185397713,3.04457091761824e-06,1.66129723126642,5.9111298165359e-06
"Puf60",0.445682914008816,4.2692786541866e-06,0.788572169447264,6.24223247945364e-06
"Cfl1",0.256155923304877,4.58621950670317e-06,0.997423215315005,6.52725144254144e-06
"Rps27l",0.492965434608182,4.66342452954344e-06,0.644918539743059,6.73725878075862e-06
"H2-D1",0.33032468452501,5.93164399415063e-06,0.61460162293619,7.48853418623693e-06
"Mrpl36",0.615704365464969,5.95967819643706e-06,1.03485144474393,7.60322345230118e-06
"Atp6v0e",0.458770263371456,7.41291512447866e-06,0.9062213619858,8.61714326657853e-06
"1110038B12Rik",0.685048006628892,1.01903067616056e-05,1.27569354961628,9.09379495136855e-06
"Ppp1ca",0.378643706171902,1.21321354819373e-05,1.35344090134367,1.0215981889241e-05
"Ssna1",0.435985422431485,1.3093350673195e-05,1.33120414245052,1.07099340285572e-05
"Erp29",0.419263385240147,1.31496166977848e-05,0.358248136949867,1.27422292025201e-05
"Tagln2",0.636919363674049,1.34244436141759e-05,0.555185685898837,1.59185333974023e-05
"Prdx1",0.291515449513794,1.35716033798207e-05,1.11860281290388,1.77065735380789e-05
"Snu13",0.395588044819813,1.48280143539059e-05,1.12407925055909,2.12118207571542e-05
"Sat1",0.55801041633702,1.48317430947179e-05,0.464382028398061,2.53163427049715e-05
"Tmem147",0.632604079323716,1.56329259873727e-05,0.973300972630412,2.79296042698886e-05
"H2-T22",0.498232906035394,1.60811752283496e-05,0.91709725469622,3.00167612753953e-05
"Ech1",0.410587453966943,1.83498684062671e-05,1.41592183790751,3.32254251337176e-05
"Arl5a",0.511192748424646,2.24165864095649e-05,1.34868280247358,3.56968152779583e-05
"Pafah1b3",0.705069121792395,2.66115952190132e-05,0.67469116847619,3.7435816149047e-05
"Prps2",0.483772736421163,3.39442030963852e-05,0.950888103449102,4.20408114093599e-05
"Snrpa",0.623617323681195,4.72494726343906e-05,0.619135471117453,5.19565729665189e-05
"Dusp2",0.822073949307033,4.79492218182676e-05,1.50383946006034,5.2912752873053e-05
"Mvb12a",0.699361030820353,4.93006633582496e-05,0.930295808107012,5.77050147405799e-05
"Psmg4",0.414162146568694,6.33611468805667e-05,0.756121152225416,8.7086683405657e-05
"Colgalt1",0.545563474241098,6.59891168137689e-05,1.3371159558611,0.000116857914070832
"Arpc4",0.334287374302318,7.78024853347067e-05,0.640239909884901,0.000121215048652157
"Btf3",0.279667224156348,0.000115677264859345,0.711228973803239,0.000124851242117275
"Cd38",0.39382337786333,0.000120788499981774,0.616398304201598,0.000146215623088398
"Sumo2",0.30315230837207,0.000122889374177964,1.40807465665678,0.000169323155630585
"Ube2a",0.428877995433326,0.000135066909308453,1.09452901591535,0.000194436837811826
"Psmb7",0.516382962398403,0.000135319247111819,0.801062724250411,0.000207380710458774
"Dok3",0.373911252840908,0.000168676246468636,0.621972075243239,0.000236543077194296
"Psme1",0.280659161828715,0.000188799431006908,1.49154665146697,0.000250822562067577
"Vcp",0.392578477085675,0.000214820343823471,0.878187746195495,0.000253821414043989
"Prdx2",0.323045466165444,0.000222238202389679,1.15306412352415,0.000255479342620505
"Herpud1",0.379484548546669,0.00024484110975887,0.592084468434116,0.000301889030198115
"Cnp",0.341910644187988,0.000245489288894519,2.17806646620044,0.000312059802389493
"Atox1",0.308799953885576,0.000249591986964293,7.29999265024461,0.000355122813267435
"Snap29",0.374335431048448,0.000257429135292228,1.34490540406857,0.000361791642736303
"Ndufb11",0.270349928692315,0.000553382390544803,0.880064284284388,0.000396159063513427
"Edf1",0.283292473426078,0.000567491199215178,0.817878885042299,0.000525788722823943
"Myl6",0.283414041692097,0.00058798327294506,0.585011396747048,0.000536998690934144
"Exosc5",0.329835834866684,0.000646095731192501,0.735403792456892,0.000537244492330951
"Nudt21",0.361322667371335,0.000654910256144306,0.684200992133027,0.000553613175352677
"Arpc5l",0.328016552589867,0.000666393667589657,0.77015578537557,0.000682615144744867
"Polr1d",0.344644388965771,0.000781486199678482,1.82610258474902,0.000705976524462619
"Snrpc",0.421464900255283,0.000790483983686532,0.78634259950847,0.000793833110345657
"Gnb2",0.315444474121288,0.000848662567249692,0.967216225391287,0.000832664828245624
"Ube2m",0.278125651718893,0.000930963236051019,0.835799628903048,0.000856956721418101
"Cops6",0.43379549734736,0.000995412979376585,0.760686324847195,0.00101647477059015
"Gtf2h5",0.299991103241003,0.00102363556898533,1.42708187392758,0.00104361994627284
"Ptma",0.277399280108059,0.00111901931043071,0.521559499982693,0.00114133353703056
"Stk4",0.327494297399317,0.00113580157934414,0.959783546484668,0.0012514006054431
"Pgp",0.7017402514944,0.0014586854407594,1.09116761280377,0.0015465468131924
"Prelid1",0.317140225998271,0.00158620157195323,1.22262725459347,0.00154725018278926
"Psmd7",0.345545780687333,0.00170860226504767,0.668474805198058,0.00156084977221361
"Mrps16",0.367517909252016,0.00172775573513849,1.19876163966131,0.00157251461255014
"Bag1",0.271154314482908,0.00179266280270438,1.23674379716773,0.00158068799851702
"Mrps36",0.315799146233435,0.00243865536673495,0.750317426950641,0.00166525204078544
"Nol7",0.31613710526917,0.00248296971872752,0.761067540345634,0.00184865827926243
"Cct5",0.296963255585568,0.00268445013383534,1.76550555239863,0.00188688250497836
"Ifi35",0.36561609816052,0.00324775211511869,0.98235130692044,0.00200666805909912
"Hmgb1",0.294990706630334,0.0033092877399191,1.00330068433801,0.00227194771368999
"Nipsnap3b",0.575728534050983,0.00353781405568072,1.3323152755406,0.00243262795146915
"Dynlrb1",0.405641643811478,0.00373204187021773,1.39537951716662,0.00291712179000717
"Ghitm",0.344595868304662,0.00378366961701174,0.945045514918449,0.00353566016563306
