"gene","log2FC_T1","padj_T1","log2FC_T2","padj_T2"
"Lgals3",4.60331747622591,8.44713641257123e-115,2.44055795149914,2.8317450980521e-23
"Trbv2",4.04452790016798,5.0087931020281e-100,1.8890369126561,2.95762121621522e-20
"Trav5-4",4.89131395820264,4.77090381597599e-97,3.7686881232452,9.57173092184085e-09
"Slc35f3",6.72282589938331,3.09704575090989e-94,2.02073103099726,2.98444682496815e-08
"Ifi27l2a",1.48683639552323,9.14456890554422e-92,0.598029946041335,5.92320789597528e-08
"Ly6a",1.50345591679551,1.65164075452828e-82,2.39745948576035,1.41346647278785e-07
"Ly6c1",3.25345373627754,3.73620460090161e-74,0.601322363477611,4.40635561372263e-07
"Socs2",3.09695335222044,1.2560055102008e-62,7.18760647775323,4.6142329241623e-07
"Id2",1.32457561925765,3.67436914086783e-60,3.91084540688886,6.6526193120088e-07
"Usp18",1.98036228251077,2.12745324891657e-58,6.4580535788409,1.03501660467721e-05
"Ccr2",1.68948096009819,8.70678460988811e-55,0.701231204091653,2.04344706109585e-05
"Irf7",1.76739519816468,3.6816450516502e-54,0.766541481599048,2.41991459498312e-05
"Gm42047",3.51615823333575,3.54434831802676e-50,0.700634423988532,6.41839086518258e-05
"Pard3",4.02670339051476,1.35820993456354e-48,2.64138503217751,0.000140418829264235
"Slfn1",1.28101475354815,1.70295336958779e-47,0.800757658867868,0.00014125312947751
"Cxcr3",1.14436347603358,8.83029780770056e-40,2.50642953483228,0.000211266250455097
"Rtp4",1.2309112398599,9.98415057271726e-39,1.13371016781555,0.000224966154002325
"Dapl1",1.39157413188777,2.26275154914068e-38,0.559629767986524,0.000244238140404103
"Ms4a6b",0.63079281380868,3.63956089866322e-38,0.566614639914768,0.00028929892616692
"Sptssa",1.42797021477732,8.91209991291793e-38,0.66841814304535,0.000367024965149136
"Tesc",1.82840229480655,2.13459174587099e-37,3.06323349260451,0.000587668509665818
"Il2rg",0.811022823375268,5.49466849126837e-34,2.148076528046,0.000661663303943658
"Bst2",1.10249174530193,3.86158556490103e-33,0.448198198127721,0.000821004234194091
"Ucp2",0.590099344102804,3.6088147950325e-28,0.925699027074974,0.000863692941002885
"Ms4a4b",0.488974693990869,4.56533822207454e-28,0.826996827025831,0.002315508800538
"Hspa8",0.617329309022892,3.21968624507647e-27,0.556673802457439,0.00294896551142009
"Ifi47",0.813813740177238,9.43645935618036e-25,2.06742511360968,0.00387298344469787
"Tmsb4x",0.531915019993904,1.16899637846636e-23,1.15059609269903,0.00476468258800067
"Slfn2",0.613548859092097,7.51105197327854e-19,0.501343589039386,0.00561507442151335
"Rpl29",0.395037493981392,6.45065381352056e-15,0.78865867609357,0.0145854159968802
"Ubb",0.359974932268839,2.12798560132353e-14,0.499796405906102,0.0160152817737029
"Mvb12a",0.726857373466845,9.36989715708332e-14,1.10954107537641,0.0169214773031055
"Rpl10",0.467505376305055,1.84925980771185e-12,1.20747469327341,0.0189956038629164
"S100a10",0.410074185111973,1.76641027132404e-11,0.507238708270816,0.0211128919016824
"Btg2",0.719337221600679,8.9029851309482e-11,0.543752256203909,0.0214092094004809
"Crip1",0.544847604429308,9.30253018161517e-11,0.679535794054215,0.0216509248714276
"Psme2",0.352817691350008,1.54477215736619e-07,0.925743983843729,0.0249779126862965
"Rps11",0.251827469786427,3.66859149690991e-07,0.654865155248947,0.0264248262096786
"Coro1b",0.484414513218979,4.55924032262992e-07,0.823701789341174,0.0284652394419364
"Tmsb10",0.277602665327124,9.03395210708397e-07,1.57431390918992,0.0334821342553306
"Rps4x",0.320613540039979,3.23889199120815e-06,1.81606284617681,0.0397532644121017
"Gmfg",0.315125211021785,6.69956495603396e-06,2.06977650178572,0.0397598229311968
"Rac2",0.255710211327734,3.85528419239814e-05,0.627740086597832,0.0399742625061366
